Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: regular customers,45674,45513,45037,44054,42697,41065,39442,37922,36524,35310,34359,33688,33240,32923,32691,32531,32429,32378,32370,32397,32449,32514,32590,32678,32778,32888,33008,33137,33276,33423,33577,33735,33896,34062,34231,34405
2: regular customers,45674,44406,42818,40998,39217,37529,35998,34692,33677,32979,32522,32183,31939,31777,31679,31633,31634,31667,31715,31775,31846,31929,32024,32131,32249,32377,32514,32656,32802,32954,33110,33270,33436,33606,33780,33959
3: regular customers,45674,45513,45037,44054,42697,41065,39442,37922,36524,35310,34359,33688,33240,32923,32692,32531,32429,32378,32370,32397,32449,32513,32589,32677,32776,32886,33006,33136,33274,33422,33575,33733,33894,34060,34230,34403
4: regular customers,45674,44406,42818,40998,39217,37529,35998,34692,33677,32979,32522,32183,31939,31777,31679,31634,31634,31667,31715,31775,31846,31929,32024,32131,32249,32377,32513,32655,32801,32953,33109,33270,33435,33605,33779,33958
5: regular customers,45674,43836,40501,35614,31605,29930,29160,28767,28502,28340,28234,28163,28126,28125,28152,28202,28271,28357,28457,28571,28696,28833,28982,29141,29309,29486,29671,29863,30062,30266,30476,30692,30912,31136,31365,31596
6: regular customers,45674,38681,32535,29914,28872,28384,28072,27884,27755,27665,27615,27599,27614,27654,27715,27795,27892,28005,28132,28270,28419,28578,28748,28926,29112,29306,29507,29713,29925,30142,30361,30583,30806,31031,31257,31486
7: regular customers,45674,43836,40501,35614,31605,29930,29160,28767,28502,28340,28234,28163,28127,28125,28153,28203,28273,28359,28460,28574,28699,28836,28985,29145,29313,29491,29676,29868,30067,30272,30483,30698,30918,31143,31372,31604
8: regular customers,45674,38681,32535,29914,28872,28384,28072,27884,27755,27665,27615,27599,27614,27655,27716,27796,27894,28007,28134,28273,28422,28581,28751,28930,29116,29310,29511,29717,29929,30146,30366,30588,30812,31038,31265,31495
9: regular customers,45674,45513,45037,44054,42697,41065,39442,37922,36524,35310,34359,33688,33240,32923,32691,32531,32429,32378,32370,32397,32449,32513,32589,32676,32775,32884,33003,33131,33268,33415,33567,33722,33882,34046,34212,34382
10: regular customers,45674,44406,42818,40998,39217,37529,35998,34692,33677,32979,32522,32183,31939,31777,31679,31633,31634,31667,31715,31774,31842,31920,32010,32111,32223,32346,32476,32611,32750,32894,33043,33196,33354,33516,33683,33855
11: regular customers,45674,45513,45037,44054,42697,41065,39442,37922,36524,35310,34359,33688,33240,32923,32692,32531,32428,32376,32366,32393,32443,32504,32579,32664,32761,32868,32986,33112,33248,33393,33543,33697,33854,34015,34180,34349
12: regular customers,45674,44406,42818,40998,39217,37529,35998,34692,33677,32979,32522,32183,31939,31777,31679,31633,31633,31665,31712,31770,31837,31914,32003,32103,32215,32337,32465,32599,32737,32880,33028,33180,33337,33499,33665,33836
13: regular customers,45674,43836,40501,35614,31605,29930,29160,28767,28502,28340,28234,28163,28126,28125,28152,28202,28271,28357,28457,28571,28696,28832,28981,29140,29308,29485,29670,29862,30060,30264,30474,30690,30910,31134,31362,31593
14: regular customers,45674,38681,32535,29914,28872,28384,28072,27884,27755,27665,27615,27599,27614,27654,27715,27795,27892,28005,28131,28269,28417,28576,28744,28922,29108,29302,29502,29708,29919,30136,30354,30575,30797,31021,31247,31475
15: regular customers,45674,43836,40501,35614,31605,29930,29160,28767,28502,28340,28234,28163,28127,28125,28153,28203,28272,28358,28458,28571,28696,28833,28981,29140,29309,29486,29671,29863,30062,30266,30477,30692,30912,31137,31366,31597
16: regular customers,45674,38681,32535,29914,28872,28384,28072,27884,27755,27665,27615,27599,27614,27655,27716,27796,27893,28006,28133,28271,28419,28578,28747,28924,29110,29304,29504,29710,29922,30139,30358,30579,30802,31027,31254,31482
17: regular customers,45674,45504,44989,43937,42483,40785,39133,37580,36165,34944,34028,33395,32968,32655,32428,32273,32177,32134,32134,32165,32206,32259,32325,32403,32492,32592,32701,32820,32943,33070,33200,33333,33469,33609,33752,33898
18: regular customers,45674,44396,42774,40930,39121,37402,35844,34514,33505,32820,32365,32024,31779,31617,31520,31479,31482,31506,31543,31592,31653,31727,31814,31913,32023,32138,32257,32380,32507,32639,32774,32913,33056,33204,33355,33511
19: regular customers,45674,45504,44989,43937,42483,40785,39133,37580,36165,34944,34028,33395,32968,32655,32428,32273,32177,32134,32135,32165,32206,32259,32325,32403,32492,32592,32702,32820,32944,33071,33201,33334,33470,33610,33753,33899
20: regular customers,45674,44396,42774,40930,39121,37402,35844,34514,33505,32820,32365,32024,31779,31617,31521,31479,31483,31506,31543,31592,31653,31727,31814,31914,32024,32139,32258,32381,32509,32640,32775,32914,33058,33206,33357,33513
21: regular customers,45674,43792,40280,35165,31266,29733,29032,28645,28388,28229,28116,28041,28001,27997,28021,28066,28131,28214,28314,28426,28551,28688,28837,28996,29165,29342,29528,29720,29919,30123,30328,30533,30739,30945,31152,31359
22: regular customers,45674,38635,32428,29848,28820,28333,28018,27827,27691,27595,27540,27520,27530,27567,27625,27703,27798,27909,28035,28173,28322,28481,28651,28830,29016,29210,29409,29609,29810,30012,30215,30419,30623,30829,31035,31242
23: regular customers,45674,43792,40280,35165,31266,29733,29032,28645,28388,28229,28116,28041,28001,27997,28021,28067,28132,28216,28315,28429,28554,28692,28842,29001,29171,29349,29534,29727,29927,30132,30338,30545,30753,30961,31169,31378
24: regular customers,45674,38635,32428,29848,28820,28333,28018,27827,27691,27595,27540,27520,27530,27567,27626,27704,27799,27911,28037,28175,28325,28485,28655,28834,29021,29215,29415,29617,29819,30023,30227,30432,30638,30845,31053,31262
25: regular customers,45674,45504,44989,43937,42483,40785,39133,37580,36165,34944,34028,33395,32968,32655,32428,32273,32177,32134,32134,32163,32198,32243,32298,32365,32442,32531,32628,32733,32841,32951,33064,33179,33297,33418,33542,33669
26: regular customers,45674,44396,42774,40930,39121,37402,35844,34514,33505,32820,32365,32024,31779,31615,31511,31461,31454,31465,31489,31524,31571,31631,31706,31794,31887,31985,32086,32192,32301,32415,32533,32655,32783,32915,33053,33194
27: regular customers,45674,45504,44989,43937,42483,40785,39133,37580,36165,34944,34028,33395,32968,32655,32428,32273,32177,32134,32134,32163,32198,32242,32297,32363,32440,32528,32625,32730,32837,32947,33059,33174,33292,33413,33537,33665
28: regular customers,45674,44396,42774,40930,39121,37402,35844,34514,33505,32820,32365,32024,31779,31615,31511,31461,31454,31465,31489,31525,31571,31631,31706,31793,31887,31984,32085,32191,32300,32414,32532,32654,32782,32914,33052,33194
29: regular customers,45674,43792,40280,35165,31266,29733,29032,28645,28388,28229,28116,28041,28001,27997,28021,28066,28131,28214,28313,28425,28548,28683,28830,28988,29156,29332,29516,29708,29906,30108,30311,30514,30716,30920,31123,31327
30: regular customers,45674,38635,32428,29848,28820,28333,28018,27827,27691,27595,27540,27520,27529,27564,27621,27697,27790,27899,28023,28160,28307,28466,28635,28813,28999,29193,29390,29587,29786,29985,30185,30386,30587,30790,30993,31197
31: regular customers,45674,43792,40280,35165,31266,29733,29032,28645,28388,28229,28116,28041,28001,27997,28021,28067,28132,28216,28315,28427,28551,28687,28835,28993,29162,29339,29523,29716,29915,30118,30322,30527,30732,30937,31143,31349
32: regular customers,45674,38635,32428,29848,28820,28333,28018,27827,27691,27595,27540,27520,27529,27564,27621,27697,27791,27901,28026,28163,28311,28470,28640,28819,29005,29199,29398,29597,29797,29998,30199,30402,30605,30809,31014,31220
33: regular customers,45674,45490,44915,43760,42190,40434,38749,37167,35749,34551,33691,33109,32691,32380,32152,31997,31907,31872,31874,31890,31919,31963,32022,32095,32181,32278,32381,32489,32602,32719,32841,32968,33100,33236,33377,33523
34: regular customers,45674,44380,42705,40829,38985,37229,35645,34305,33314,32651,32197,31847,31588,31416,31318,31279,31272,31282,31309,31351,31408,31479,31564,31658,31757,31861,31971,32086,32206,32331,32462,32598,32738,32884,33035,33190
35: regular customers,45674,45490,44915,43760,42190,40434,38749,37167,35749,34551,33691,33109,32690,32378,32150,31994,31904,31869,31870,31885,31914,31958,32016,32088,32174,32271,32373,32480,32592,32708,32830,32956,33086,33222,33362,33507
36: regular customers,45674,44380,42705,40829,38985,37229,35645,34305,33314,32651,32197,31846,31587,31415,31316,31278,31270,31280,31306,31348,31404,31475,31560,31653,31751,31855,31964,32078,32198,32323,32453,32588,32728,32873,33023,33177
37: regular customers,45674,43724,39967,34621,30951,29539,28900,28523,28277,28117,28002,27919,27871,27858,27871,27909,27969,28048,28146,28258,28385,28524,28676,28838,29010,29191,29376,29562,29749,29937,30126,30316,30507,30700,30894,31090
38: regular customers,45674,38568,32280,29765,28760,28275,27959,27765,27622,27519,27455,27424,27421,27448,27501,27575,27669,27780,27907,28046,28197,28359,28531,28711,28893,29076,29261,29446,29632,29820,30009,30200,30391,30585,30780,30976
39: regular customers,45674,43724,39967,34621,30951,29539,28900,28523,28277,28117,28002,27919,27870,27857,27870,27907,27967,28046,28143,28255,28381,28520,28672,28834,29006,29187,29371,29557,29743,29930,30119,30309,30500,30693,30887,31082
40: regular customers,45674,38568,32280,29765,28760,28275,27959,27765,27622,27519,27455,27424,27421,27448,27500,27574,27667,27778,27905,28044,28194,28356,28528,28707,28889,29072,29255,29440,29626,29814,30003,30193,30384,30577,30772,30969
41: regular customers,45674,45490,44915,43760,42190,40434,38749,37167,35749,34551,33691,33109,32690,32376,32146,31987,31893,31853,31844,31846,31859,31886,31928,31985,32055,32132,32213,32299,32389,32484,32583,32687,32797,32912,33032,33158
