Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,1674,2168,3000,4350,6045,7819,9249,10040,10076,9762,9312,8797,8299,7842,7433,7080,6768,6483,6225,5991,5781,5592,5422,5271,5135,5018,4917,4830,4755,4690,4627,4567,4510,4456,4405,4358
2: customers with PV,1674,3294,5277,7427,9294,10603,11026,10738,10213,9607,9012,8464,7966,7528,7152,6825,6527,6258,6015,5796,5600,5424,5266,5129,5011,4909,4821,4745,4678,4614,4553,4495,4440,4388,4340,4295
3: customers with PV,1674,2168,3000,4349,6042,7811,9228,9999,10016,9692,9234,8712,8212,7757,7351,7001,6690,6406,6150,5919,5712,5526,5360,5212,5081,4967,4870,4786,4715,4649,4585,4524,4466,4411,4360,4312
4: customers with PV,1674,3294,5277,7423,9282,10574,10974,10668,10132,9521,8922,8373,7876,7442,7072,6746,6449,6182,5942,5727,5534,5361,5208,5075,4960,4862,4778,4705,4637,4572,4510,4451,4395,4343,4294,4249
5: customers with PV,1674,3668,6912,9777,9256,8101,7217,6590,6112,5733,5427,5175,4965,4786,4636,4500,4374,4258,4151,4050,3956,3868,3789,3718,3654,3598,3547,3502,3462,3426,3395,3367,3342,3321,3302,3287
6: customers with PV,1674,8583,11191,9420,8041,7143,6532,6059,5681,5378,5126,4915,4738,4594,4460,4336,4220,4112,4011,3917,3830,3753,3684,3622,3567,3518,3474,3435,3400,3369,3342,3318,3298,3280,3265,3252
7: customers with PV,1674,3668,6907,9739,9193,8032,7155,6531,6056,5682,5380,5134,4928,4754,4604,4466,4340,4223,4115,4014,3920,3833,3754,3683,3620,3564,3514,3470,3430,3395,3364,3337,3313,3292,3274,3259
8: customers with PV,1674,8576,11131,9346,7967,7079,6472,6002,5630,5332,5085,4879,4707,4561,4426,4301,4185,4077,3976,3881,3795,3718,3650,3589,3534,3485,3442,3404,3369,3339,3313,3290,3270,3252,3237,3225
9: customers with PV,1674,2538,3970,6145,8143,7882,6805,5868,5183,4730,4399,4096,3824,3589,3393,3230,3098,2989,2902,2831,2773,2729,2694,2667,2646,2630,2619,2610,2604,2600,2597,2596,2595,2595,2596,2598
