Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
1: RETAIL PRICE,0.1246,0.126506,0.128693,0.131292,0.134082,0.137197,0.140635,0.144169,0.147713,0.151183,0.154448,0.157448,0.160217,0.162849,0.165395,0.167868,0.170279,0.172637,0.174946,0.177214,0.179455,0.181688,0.183913,0.186131,0.188339,0.190539,0.19273,0.194913,0.197087,0.199252,0.201411,0.203569,0.205727,0.207884,0.21004,0.212195
2: RETAIL PRICE,0.1246,0.127468,0.130464,0.133583,0.137037,0.140655,0.144268,0.14778,0.151073,0.154071,0.156827,0.159473,0.162027,0.164491,0.166887,0.169224,0.17151,0.17376,0.176001,0.178235,0.180462,0.18268,0.184889,0.187088,0.189278,0.191458,0.193632,0.195804,0.197974,0.200143,0.202309,0.204473,0.206634,0.208794,0.210952,0.213107
3: RETAIL PRICE,0.1246,0.126506,0.128693,0.131292,0.134082,0.137197,0.140635,0.144169,0.147713,0.151183,0.154442,0.157429,0.160181,0.162798,0.165329,0.167783,0.170173,0.172507,0.174792,0.177033,0.179245,0.181448,0.18364,0.185824,0.187997,0.190159,0.192311,0.194453,0.196585,0.198706,0.200821,0.202932,0.205041,0.207147,0.20925,0.21135
4: RETAIL PRICE,0.1246,0.127468,0.130464,0.133583,0.137037,0.140655,0.144268,0.14778,0.151073,0.15407,0.156817,0.159448,0.161985,0.164434,0.166813,0.16913,0.171392,0.173619,0.175835,0.178041,0.180238,0.182424,0.184599,0.186764,0.188917,0.191059,0.193192,0.195322,0.19745,0.199575,0.201695,0.203811,0.205923,0.20803,0.210133,0.212231
5: RETAIL PRICE,0.1246,0.127842,0.132011,0.138455,0.144849,0.148999,0.152176,0.154932,0.157559,0.160076,0.162542,0.164969,0.167325,0.169625,0.171884,0.174108,0.176304,0.178478,0.180629,0.182754,0.184855,0.186933,0.188991,0.191031,0.193051,0.19505,0.197028,0.198986,0.200927,0.202853,0.204765,0.206661,0.208545,0.210416,0.212277,0.214131
6: RETAIL PRICE,0.1246,0.131788,0.139779,0.144821,0.148252,0.151084,0.153738,0.156262,0.158735,0.161177,0.163584,0.165948,0.16824,0.170487,0.172705,0.174891,0.177049,0.179184,0.181297,0.183383,0.185445,0.187486,0.189509,0.191515,0.193502,0.195469,0.197417,0.199347,0.201262,0.203164,0.205057,0.206942,0.20882,0.210692,0.212559,0.214419
7: RETAIL PRICE,0.1246,0.127842,0.132011,0.138455,0.144849,0.148999,0.152176,0.154932,0.157557,0.160038,0.162432,0.164773,0.167055,0.169277,0.17144,0.173557,0.175642,0.177697,0.179723,0.181716,0.183679,0.185617,0.187533,0.189427,0.191301,0.193154,0.194985,0.196797,0.198593,0.200372,0.202134,0.203878,0.205608,0.207325,0.20903,0.210727
8: RETAIL PRICE,0.1246,0.131788,0.139779,0.144821,0.148252,0.151084,0.153738,0.156262,0.158731,0.161131,0.163463,0.165739,0.167957,0.170124,0.172241,0.174319,0.176361,0.178375,0.180359,0.182311,0.184233,0.186132,0.18801,0.189868,0.191708,0.193528,0.195328,0.197111,0.198879,0.200632,0.202372,0.204102,0.205824,0.207539,0.209248,0.210951
9: RETAIL PRICE,0.1246,0.126506,0.128693,0.131292,0.134082,0.137197,0.140635,0.144169,0.147713,0.151183,0.154448,0.157448,0.160217,0.162849,0.165394,0.167864,0.170272,0.172625,0.174928,0.177189,0.179421,0.181644,0.183858,0.186062,0.188255,0.190438,0.19261,0.19477,0.196919,0.199057,0.201186,0.203311,0.205431,0.207546,0.209658,0.211766
10: RETAIL PRICE,0.1246,0.127468,0.130464,0.133583,0.137037,0.140655,0.144268,0.14778,0.151073,0.154071,0.156827,0.159473,0.162027,0.164491,0.166885,0.169219,0.171501,0.173747,0.175982,0.17821,0.180433,0.182649,0.184854,0.187049,0.189232,0.191404,0.193569,0.19573,0.197888,0.200042,0.20219,0.204332,0.206469,0.208599,0.210723,0.21284
11: RETAIL PRICE,0.1246,0.126506,0.128693,0.131292,0.134082,0.137197,0.140635,0.144169,0.147713,0.151183,0.154442,0.157427,0.160176,0.162787,0.16531,0.167755,0.170133,0.172454,0.174723,0.176945,0.179135,0.181312,0.183476,0.185626,0.187761,0.189881,0.191984,0.19407,0.19614,0.198192,0.20023,0.202257,0.204272,0.206273,0.208261,0.210236
12: RETAIL PRICE,0.1246,0.127468,0.130464,0.133583,0.137037,0.140655,0.144268,0.14778,0.151073,0.15407,0.156817,0.159446,0.161979,0.164423,0.166794,0.169101,0.171352,0.173565,0.175765,0.177953,0.180132,0.182299,0.184452,0.18659,0.188713,0.190818,0.192913,0.194998,0.197074,0.19914,0.201193,0.203233,0.205258,0.207269,0.209264,0.211241
13: RETAIL PRICE,0.1246,0.127842,0.132011,0.138455,0.144849,0.148999,0.152176,0.154932,0.157559,0.160076,0.162542,0.164969,0.167325,0.169622,0.171878,0.174096,0.176284,0.178447,0.180585,0.182693,0.184773,0.186826,0.188855,0.190861,0.192843,0.194799,0.196727,0.198629,0.200508,0.202363,0.204194,0.206001,0.207786,0.20955,0.211293,0.213019
14: RETAIL PRICE,0.1246,0.131788,0.139779,0.144821,0.148252,0.151084,0.153738,0.156262,0.158735,0.161177,0.163584,0.165948,0.168239,0.170485,0.172699,0.17488,0.17703,0.179155,0.181255,0.183326,0.185369,0.187388,0.189383,0.191357,0.193307,0.195233,0.197132,0.199006,0.200859,0.202691,0.204506,0.206303,0.208085,0.209852,0.211602,0.213336
15: RETAIL PRICE,0.1246,0.127842,0.132011,0.138455,0.144849,0.148999,0.152176,0.154932,0.157557,0.160038,0.16243,0.164767,0.16704,0.16925,0.171396,0.17349,0.175546,0.177566,0.179549,0.181489,0.183388,0.185251,0.187081,0.188877,0.190639,0.192365,0.194054,0.195706,0.197324,0.198907,0.200452,0.201957,0.203426,0.20486,0.206259,0.207628
16: RETAIL PRICE,0.1246,0.131788,0.139779,0.144821,0.148252,0.151084,0.153738,0.156262,0.158731,0.16113,0.163461,0.165734,0.167943,0.170099,0.172201,0.174256,0.176271,0.17825,0.180192,0.182092,0.183951,0.185776,0.187568,0.189329,0.191057,0.19275,0.194407,0.196029,0.197619,0.199175,0.200699,0.20219,0.203652,0.205084,0.206487,0.20786
17: RETAIL PRICE,0.1246,0.1275,0.130787,0.134615,0.138749,0.143413,0.148601,0.154054,0.159703,0.16545,0.171068,0.176512,0.181842,0.187189,0.192585,0.198044,0.203579,0.2092,0.214916,0.220762,0.226796,0.233019,0.239439,0.246066,0.252909,0.25998,0.267292,0.274859,0.282716,0.290889,0.299395,0.308258,0.3175,0.327147,0.337229,0.347775
18: RETAIL PRICE,0.1246,0.128487,0.132634,0.137031,0.141954,0.147235,0.152699,0.158236,0.163661,0.168882,0.173972,0.179084,0.184229,0.189414,0.19466,0.199977,0.205381,0.21093,0.216644,0.222532,0.228603,0.234861,0.241311,0.247963,0.254831,0.26195,0.269334,0.277001,0.284966,0.293249,0.301869,0.310848,0.320209,0.329976,0.340178,0.350847
19: RETAIL PRICE,0.1246,0.1275,0.130787,0.134615,0.138749,0.143413,0.148601,0.154054,0.159703,0.16545,0.171068,0.176512,0.18184,0.18718,0.192563,0.198002,0.203512,0.209106,0.214794,0.220607,0.226602,0.232787,0.239169,0.245759,0.252566,0.259604,0.266885,0.274424,0.282253,0.290393,0.298864,0.307689,0.31689,0.326492,0.336523,0.347015
20: RETAIL PRICE,0.1246,0.128487,0.132634,0.137031,0.141954,0.147235,0.152699,0.158236,0.163661,0.168882,0.173972,0.179084,0.184224,0.189399,0.194628,0.199921,0.205295,0.210814,0.216494,0.222344,0.228372,0.234584,0.240989,0.247597,0.254423,0.261499,0.268844,0.276474,0.284403,0.292646,0.301224,0.310156,0.319466,0.329178,0.339319,0.349921
21: RETAIL PRICE,0.1246,0.128897,0.134408,0.142744,0.151021,0.156988,0.162109,0.166976,0.171831,0.176703,0.18167,0.18675,0.191943,0.197245,0.202673,0.208242,0.213961,0.219838,0.225881,0.232103,0.238514,0.245121,0.251934,0.258965,0.266226,0.273733,0.2815,0.289544,0.297882,0.306539,0.31556,0.324972,0.334804,0.345086,0.355851,0.367136
22: RETAIL PRICE,0.1246,0.132948,0.142544,0.149266,0.154485,0.159209,0.163875,0.168527,0.173262,0.178099,0.183033,0.188075,0.193231,0.198509,0.203921,0.209475,0.215178,0.221039,0.227065,0.233269,0.239661,0.24625,0.253045,0.260059,0.267307,0.274804,0.282568,0.290637,0.299032,0.307776,0.316891,0.326404,0.336343,0.346739,0.357626,0.369044
23: RETAIL PRICE,0.1246,0.128897,0.134408,0.142744,0.151021,0.156988,0.162109,0.166976,0.171831,0.176703,0.18167,0.186728,0.191841,0.197027,0.202306,0.207696,0.213211,0.218863,0.224659,0.230602,0.236702,0.242974,0.249431,0.256091,0.262975,0.2701,0.277483,0.285144,0.293121,0.30143,0.310073,0.319073,0.328455,0.338246,0.348473,0.35917
24: RETAIL PRICE,0.1246,0.132948,0.142544,0.149266,0.154485,0.159209,0.163875,0.168527,0.173262,0.178099,0.183033,0.188043,0.193109,0.198261,0.203515,0.20888,0.21437,0.219994,0.225761,0.231672,0.237739,0.243976,0.250398,0.257021,0.263869,0.27096,0.278311,0.285966,0.293965,0.302329,0.311041,0.320113,0.329571,0.339441,0.349753,0.360538
25: RETAIL PRICE,0.1246,0.1275,0.130787,0.134615,0.138749,0.143413,0.148601,0.154054,0.159703,0.16545,0.171068,0.176512,0.181842,0.187189,0.192585,0.198044,0.203579,0.2092,0.214916,0.220767,0.22682,0.233074,0.239533,0.246205,0.253101,0.260231,0.267609,0.275259,0.283218,0.291506,0.300146,0.309161,0.318575,0.328415,0.338711,0.349496
26: RETAIL PRICE,0.1246,0.128487,0.132634,0.137031,0.141954,0.147235,0.152699,0.158236,0.163661,0.168882,0.173972,0.179084,0.184229,0.189419,0.19468,0.20002,0.205453,0.21104,0.216797,0.222735,0.228863,0.235182,0.241695,0.248413,0.255374,0.262597,0.270099,0.277895,0.286004,0.294444,0.303236,0.312401,0.321963,0.331948,0.342385,0.353313
27: RETAIL PRICE,0.1246,0.1275,0.130787,0.134615,0.138749,0.143413,0.148601,0.154054,0.159703,0.16545,0.171068,0.176512,0.18184,0.18718,0.192562,0.198001,0.203509,0.209102,0.214788,0.220604,0.226617,0.23283,0.23925,0.245885,0.252745,0.25984,0.267185,0.274807,0.282735,0.29099,0.299593,0.308567,0.317937,0.327727,0.337968,0.348692
28: RETAIL PRICE,0.1246,0.128487,0.132634,0.137031,0.141954,0.147235,0.152699,0.158236,0.163661,0.168882,0.173972,0.179084,0.184224,0.189404,0.194647,0.199961,0.205363,0.210916,0.216638,0.222534,0.228615,0.234885,0.241349,0.248021,0.254935,0.262114,0.269572,0.277327,0.285396,0.293792,0.302537,0.311649,0.321154,0.331076,0.341443,0.352295
29: RETAIL PRICE,0.1246,0.128897,0.134408,0.142744,0.151021,0.156988,0.162109,0.166976,0.171831,0.176703,0.18167,0.18675,0.191943,0.197245,0.202673,0.208242,0.213961,0.219838,0.225883,0.232109,0.238526,0.24514,0.251961,0.258999,0.266268,0.273782,0.281556,0.289607,0.297953,0.306625,0.315667,0.325104,0.334964,0.345278,0.35608,0.367407
30: RETAIL PRICE,0.1246,0.132948,0.142544,0.149266,0.154485,0.159209,0.163875,0.168527,0.173262,0.178099,0.183033,0.188075,0.193233,0.198515,0.203932,0.209492,0.215203,0.22107,0.227103,0.233314,0.239713,0.246308,0.253109,0.26013,0.267383,0.274884,0.282664,0.290753,0.299171,0.307941,0.317085,0.32663,0.336605,0.347042,0.357975,0.369443
