Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
1: customers with PV,1674,2115,2872,4138,5778,7697,9610,11426,13123,14642,15903,16890,17654,18279,18810,19266,19662,20007,20307,20567,20799,21016,21220,21411,21590,21757,21911,22053,22185,22306,22418,22522,22621,22716,22806,22893
2: customers with PV,1674,3223,5093,7199,9269,11251,13080,14689,16013,17025,17802,18462,19022,19489,19884,20221,20509,20763,21001,21222,21429,21621,21800,21966,22120,22262,22394,22518,22636,22747,22851,22948,23040,23127,23209,23288
3: customers with PV,1674,2115,2872,4138,5778,7697,9610,11426,13123,14642,15891,16849,17578,18170,18668,19085,19435,19731,19981,20188,20361,20518,20660,20787,20900,20998,21083,21155,21216,21265,21304,21336,21361,21380,21393,21400
4: customers with PV,1674,3223,5093,7199,9269,11251,13080,14689,16013,17023,17780,18407,18930,19364,19723,20016,20255,20460,20645,20809,20955,21084,21198,21298,21385,21457,21518,21570,21616,21654,21685,21707,21722,21731,21734,21731
5: customers with PV,1674,3613,7066,12110,16344,18305,19382,20089,20672,21154,21582,21954,22191,22343,22439,22483,22486,22459,22403,22306,22172,22014,21836,21642,21430,21198,20944,20673,20391,20101,19803,19499,19190,18881,18572,18264
6: customers with PV,1674,8782,15113,18004,19348,20148,20776,21283,21733,22144,22518,22824,22995,23093,23143,23141,23100,23032,22934,22797,22624,22429,22218,21992,21749,21488,21208,20913,20609,20300,19987,19671,19355,19041,18728,18417
7: customers with PV,1674,3613,7066,12110,16344,18305,19382,20089,20667,21063,21321,21485,21549,21523,21402,21211,20976,20706,20401,20050,19663,19258,18840,18414,17980,17536,17085,16627,16169,15712,15253,14791,14333,13880,13434,12996
8: customers with PV,1674,8782,15113,18004,19348,20148,20776,21283,21724,22030,22219,22313,22306,22216,22037,21795,21506,21185,20831,20434,20004,19559,19105,18646,18180,17709,17232,16752,16274,15798,15323,14851,14384,13927,13478,13039
9: customers with PV,1674,2115,2872,4138,5778,7697,9610,11426,13123,14642,15903,16890,17654,18278,18807,19257,19646,19981,20269,20514,20728,20923,21102,21266,21413,21545,21659,21758,21842,21910,21965,22006,22036,22057,22068,22071
10: customers with PV,1674,3223,5093,7199,9269,11251,13080,14689,16013,17025,17802,18462,19022,19488,19880,20211,20491,20736,20960,21167,21357,21531,21689,21832,21958,22068,22165,22250,22325,22388,22438,22475,22501,22517,22523,22518
11: customers with PV,1674,2115,2872,4138,5778,7697,9610,11426,13123,14642,15890,16845,17567,18147,18629,19025,19348,19615,19830,19995,20119,20221,20300,20358,20393,20407,20397,20363,20309,20233,20137,20019,19883,19728,19554,19361
12: customers with PV,1674,3223,5093,7199,9269,11251,13080,14689,16013,17023,17780,18402,18917,19339,19681,19953,20166,20340,20490,20612,20711,20787,20842,20875,20886,20875,20844,20794,20727,20642,20536,20409,20262,20095,19909,19702
13: customers with PV,1674,3613,7066,12110,16344,18305,19382,20089,20672,21154,21582,21954,22190,22337,22424,22454,22438,22388,22303,22169,21991,21781,21545,21285,21001,20689,20348,19980,19594,19189,18766,18326,17873,17410,16938,16459
14: customers with PV,1674,8782,15113,18004,19348,20148,20776,21283,21733,22144,22518,22824,22994,23087,23129,23114,23055,22964,22838,22666,22451,22205,21937,21647,21333,20993,20626,20234,19825,19402,18965,18514,18053,17585,17110,16628
15: customers with PV,1674,3613,7066,12110,16344,18305,19382,20089,20667,21063,21316,21470,21514,21459,21300,21058,20759,20414,20021,19564,19055,18511,17940,17345,16727,16083,15414,14722,14015,13293,12552,11792,11019,10239,9452,8660
16: customers with PV,1674,8782,15113,18004,19348,20148,20776,21283,21724,22029,22214,22299,22274,22157,21940,21649,21298,20903,20462,19960,19408,18825,18217,17588,16938,16265,15569,14853,14124,13382,12624,11851,11069,10282,9490,8695
17: customers with PV,1674,2124,2920,4255,5994,7980,9925,11774,13490,15019,16249,17201,17952,18593,19150,19639,20071,20455,20797,21112,21418,21715,22002,22281,22550,22811,23065,23311,23556,23800,24044,24287,24529,24770,25011,25251
18: customers with PV,1674,3233,5138,7268,9367,11381,13238,14872,16192,17195,17971,18636,19208,19700,20129,20506,20841,21158,21463,21757,22041,22315,22578,22832,23078,23322,23564,23804,24043,24281,24517,24751,24984,25216,25447,25677
19: customers with PV,1674,2124,2920,4255,5994,7980,9925,11774,13490,15019,16249,17201,17950,18581,19123,19589,19996,20355,20673,20962,21242,21515,21783,22045,22302,22555,22805,23050,23295,23539,23782,24024,24266,24507,24748,24988
20: customers with PV,1674,3233,5138,7268,9367,11381,13238,14872,16192,17195,17971,18636,19202,19680,20089,20439,20744,21033,21310,21575,21830,22077,22317,22552,22784,23017,23252,23490,23729,23966,24202,24436,24669,24901,25132,25361
21: customers with PV,1674,3657,7288,12564,16696,18520,19531,20233,20810,21291,21728,22129,22497,22831,23140,23429,23701,23958,24201,24433,24654,24866,25069,25264,25451,25633,25810,25982,26150,26317,26484,26654,26826,27000,27176,27354
22: customers with PV,1674,8829,15221,18073,19404,20205,20837,21348,21806,22226,22606,22953,23271,23565,23840,24096,24337,24564,24779,24984,25180,25368,25549,25723,25893,26057,26220,26383,26548,26715,26884,27055,27227,27402,27579,27757
23: customers with PV,1674,3657,7288,12564,16696,18520,19531,20233,20810,21291,21728,22095,22351,22534,22668,22763,22837,22899,22951,22989,23017,23044,23076,23119,23179,23256,23351,23465,23606,23770,23937,24106,24277,24450,24625,24803
24: customers with PV,1674,8829,15221,18073,19404,20205,20837,21348,21806,22226,22606,22905,23094,23223,23310,23364,23398,23422,23437,23439,23433,23430,23433,23448,23482,23536,23610,23709,23841,24003,24171,24341,24513,24687,24863,25041
25: customers with PV,1674,2124,2920,4255,5994,7980,9925,11774,13490,15019,16249,17201,17952,18593,19150,19639,20071,20455,20797,21113,21426,21732,22029,22319,22600,22872,23137,23398,23658,23918,24178,24438,24698,24957,25215,25473
26: customers with PV,1674,3233,5138,7268,9367,11381,13238,14872,16192,17195,17971,18636,19208,19702,20138,20524,20869,21199,21517,21825,22123,22411,22687,22953,23215,23476,23736,23994,24250,24504,24757,25008,25257,25503,25748,25991
27: customers with PV,1674,2124,2920,4255,5994,7980,9925,11774,13490,15019,16249,17201,17950,18581,19122,19588,19993,20350,20666,20955,21239,21519,21796,22068,22337,22600,22860,23119,23378,23638,23897,24156,24414,24672,24930,25186
28: customers with PV,1674,3233,5138,7268,9367,11381,13238,14872,16192,17195,17971,18636,19202,19682,20097,20454,20768,21067,21355,21630,21896,22154,22405,22650,22897,23146,23398,23652,23907,24161,24412,24662,24910,25156,25399,25642
29: customers with PV,1674,3657,7288,12564,16696,18520,19531,20233,20810,21291,21728,22129,22497,22831,23140,23429,23701,23958,24202,24435,24658,24871,25075,25271,25460,25643,25821,25994,26163,26331,26501,26673,26847,27024,27203,27384
30: customers with PV,1674,8829,15221,18073,19404,20205,20837,21348,21806,22226,22606,22953,23272,23568,23844,24102,24345,24574,24791,24997,25195,25383,25565,25740,25910,26075,26239,26405,26573,26743,26914,27088,27263,27441,27620,27802
31: customers with PV,1674,3657,7288,12564,16696,18520,19531,20233,20810,21291,21728,22095,22350,22531,22660,22749,22814,22868,22911,22940,22959,22979,23005,23044,23102,23180,23276,23391,23533,23698,23866,24037,24211,24386,24564,24744
32: customers with PV,1674,8829,15221,18073,19404,20205,20837,21348,21806,22226,22606,22905,23094,23222,23306,23355,23383,23399,23406,23400,23385,23372,23369,23378,23409,23461,23537,23639,23774,23938,24109,24281,24455,24632,24810,24990
33: customers with PV,1674,2138,2993,4430,6283,8324,10299,12174,13889,15389,16536,17392,18057,18593,19022,19356,19609,19795,19932,20036,20109,20154,20172,20163,20127,20067,19987,19888,19770,19635,19480,19306,19113,18902,18674,18428
34: customers with PV,1674,3248,5206,7367,9499,11547,13427,15068,16365,17334,18071,18681,19173,19558,19855,20072,20241,20378,20484,20556,20596,20608,20593,20557,20502,20427,20332,20218,20085,19933,19762,19570,19360,19132,18885,18622
35: customers with PV,1674,2138,2993,4430,6283,8324,10299,12174,13876,15347,16466,17280,17893,18371,18737,19004,19190,19308,19375,19408,19410,19382,19326,19243,19133,18997,18840,18663,18468,18254,18020,17766,17493,17201,16891,16563
36: customers with PV,1674,3248,5206,7367,9499,11547,13427,15066,16342,17278,17983,18546,18981,19305,19535,19683,19783,19850,19884,19884,19851,19789,19699,19588,19456,19304,19132,18939,18727,18496,18244,17972,17680,17370,17041,16694
37: customers with PV,1674,3725,7601,13112,17023,18726,19672,20361,20913,21264,21487,21570,21478,21249,20881,20389,19803,19150,18434,17652,16818,15952,15066,14167,13259,12347,11438,10540,9660,8799,7959,7140,6348,5585,4851,4146
38: customers with PV,1674,8895,15370,18157,19464,20260,20889,21399,21844,22121,22273,22280,22116,21821,21389,20836,20192,19485,18719,17891,17015,16112,15193,14265,13337,12413,11496,10589,9701,8833,7985,7159,6360,5590,4850,4139
39: customers with PV,1674,3725,7601,13112,17023,18726,19672,20286,20647,20826,20830,20633,20242,19710,19057,18303,17477,16608,15701,14755,13782,12804,11829,10863,9912,8978,8069,7191,6347,5538,4762,4019,3310,2639,2005,1409
40: customers with PV,1674,8895,15370,18157,19464,20260,20889,21303,21546,21645,21562,21277,20804,20198,19477,18658,17773,16849,15893,14901,13889,12876,11871,10881,9915,8974,8061,7178,6331,5518,4739,3992,3280,2606,1969,1371
41: customers with PV,1674,2138,2993,4430,6283,8324,10299,12174,13889,15389,16535,17384,18036,18552,18952,19245,19446,19568,19630,19644,19606,19517,19375,19176,18919,18603,18226,17783,17271,16683,16009,15242,14376,13402,12312,11095
42: customers with PV,1674,3248,5206,7367,9499,11547,13427,15068,16365,17334,18069,18675,19164,19540,19817,20003,20133,20216,20252,20234,20161,20034,19857,19631,19353,19016,18616,18146,17605,16985,16277,15472,14566,13552,12418,11155
43: customers with PV,1674,2138,2993,4430,6283,8324,10299,12174,13875,15342,16450,17247,17830,18268,18577,18770,18861,18864,18797,18669,18476,18216,17885,17480,16996,16432,15781,15034,14186,13225,12138,10910,9530,7983,6251,4309
44: customers with PV,1674,3248,5206,7367,9499,11547,13427,15066,16340,17271,17965,18512,18928,19220,19403,19485,19502,19464,19366,19202,18968,18665,18296,17860,17349,16757,16074,15292,14405,13402,12268,10990,9556,7953,6160,4150
45: customers with PV,1674,3725,7601,13112,17023,18726,19672,20361,20913,21263,21478,21543,21417,21137,20694,20096,19368,18535,17596,16535,15364,14100,12751,11321,9809,8217,6549,4804,2979,1070,221,220,218,217,215,213
