Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
1: defectors,1,100,203,307,412,517,622,726,828,929,1027,1122,1221,1331,1453,1583,1717,1855,1998,2149,2307,2472,2640,2814,2992,3176,3366,3562,3763,3969,4183,4404,4630,4861,5095,5334
2: defectors,1,100,200,301,401,499,597,692,785,876,965,1055,1154,1267,1392,1525,1665,1809,1959,2116,2281,2452,2627,2807,2991,3181,3377,3579,3785,3998,4217,4442,4672,4906,5143,5384
3: defectors,1,100,203,307,412,517,622,726,828,929,1039,1163,1297,1440,1595,1763,1944,2131,2324,2529,2745,2970,3202,3440,3684,3936,4195,4461,4734,5012,5298,5592,5892,6199,6511,6828
4: defectors,1,100,200,301,401,499,597,692,785,878,986,1110,1246,1392,1552,1730,1919,2113,2315,2529,2755,2988,3228,3475,3727,3987,4253,4527,4806,5092,5384,5684,5991,6302,6620,6942
5: defectors,1,280,545,774,939,1044,1133,1217,1302,1387,1473,1584,1797,2065,2363,2694,3051,3423,3814,4237,4688,5155,5633,6121,6621,7137,7669,8216,8771,9332,9898,10471,11045,11621,12196,12772
6: defectors,1,265,464,580,667,747,826,906,988,1071,1156,1277,1506,1786,2097,2443,2816,3203,3609,4046,4512,4994,5486,5986,6499,7026,7570,8127,8690,9257,9829,10407,10987,11567,12148,12729
7: defectors,1,280,545,774,939,1044,1133,1217,1306,1477,1734,2052,2439,2885,3399,3965,4559,5174,5814,6490,7194,7907,8625,9345,10067,10793,11524,12257,12987,13714,14442,15171,15896,16614,17326,18030
8: defectors,1,265,464,580,667,747,826,906,997,1186,1455,1788,2195,2662,3202,3789,4409,5048,5710,6407,7130,7861,8595,9329,10064,10801,11542,12283,13021,13755,14488,15221,15951,16673,17389,18097
9: defectors,1,100,203,307,412,517,622,726,828,929,1027,1122,1221,1332,1456,1591,1733,1880,2036,2202,2379,2566,2760,2962,3172,3392,3623,3864,4114,4374,4647,4932,5229,5536,5852,6179
10: defectors,1,100,200,301,401,499,597,692,785,876,965,1055,1154,1268,1396,1535,1683,1837,1999,2172,2357,2551,2752,2961,3179,3406,3643,3891,4149,4417,4697,4990,5292,5605,5927,6259
11: defectors,1,100,203,307,412,517,622,726,828,929,1039,1167,1308,1463,1634,1824,2031,2249,2478,2726,2994,3276,3572,3882,4206,4546,4903,5277,5666,6073,6498,6945,7411,7895,8399,8922
12: defectors,1,100,200,301,401,499,597,692,785,878,987,1115,1259,1417,1594,1794,2009,2235,2473,2731,3008,3300,3606,3925,4259,4609,4976,5360,5760,6177,6614,7071,7548,8044,8559,9094
13: defectors,1,280,545,774,939,1044,1133,1217,1302,1387,1473,1584,1799,2071,2378,2723,3099,3495,3915,4374,4870,5388,5925,6479,7051,7646,8267,8911,9570,10246,10937,11645,12365,13094,13832,14579
14: defectors,1,265,464,580,667,747,826,906,988,1071,1156,1277,1507,1792,2111,2470,2861,3271,3705,4178,4688,5220,5770,6335,6919,7526,8157,8811,9479,10161,10859,11572,12297,13032,13776,14528
15: defectors,1,280,545,774,939,1044,1133,1217,1306,1478,1739,2067,2475,2949,3502,4119,4776,5467,6196,6978,7805,8657,9529,10418,11325,12252,13200,14168,15147,16139,17149,18176,19215,20261,21313,22372
16: defectors,1,265,464,580,667,747,826,906,997,1186,1459,1802,2227,2721,3298,3935,4616,5330,6081,6883,7729,8599,9488,10391,11312,12252,13211,14189,15178,16178,17195,18230,19275,20328,21387,22452
17: defectors,1,100,202,306,410,515,617,719,819,917,1012,1104,1195,1286,1377,1468,1559,1651,1744,1837,1932,2027,2123,2220,2318,2418,2519,2621,2724,2828,2934,3041,3150,3259,3370,3483
18: defectors,1,100,200,300,399,497,593,687,778,866,952,1040,1128,1216,1305,1394,1485,1576,1670,1765,1862,1960,2058,2158,2259,2360,2463,2568,2673,2780,2888,2997,3107,3218,3330,3443
19: defectors,1,100,202,306,410,515,617,719,819,917,1012,1104,1197,1297,1404,1518,1635,1751,1868,1987,2108,2227,2343,2456,2566,2673,2778,2881,2985,3089,3195,3303,3411,3521,3632,3744
20: defectors,1,100,200,300,399,497,593,687,778,866,952,1040,1134,1236,1345,1462,1581,1701,1822,1946,2073,2197,2319,2438,2552,2665,2774,2880,2986,3093,3201,3310,3421,3532,3644,3757
21: defectors,1,280,544,769,925,1026,1112,1195,1277,1360,1444,1530,1617,1705,1794,1884,1975,2067,2160,2254,2350,2447,2545,2644,2744,2845,2947,3050,3154,3260,3366,3474,3583,3693,3805,3918
22: defectors,1,265,463,576,662,741,820,898,978,1060,1143,1228,1314,1401,1490,1580,1673,1766,1861,1957,2054,2152,2251,2351,2452,2554,2656,2760,2866,2972,3079,3187,3297,3407,3519,3632
23: defectors,1,280,544,769,925,1026,1112,1195,1277,1360,1444,1564,1763,2002,2266,2549,2838,3124,3408,3696,3985,4265,4533,4784,5011,5215,5399,5560,5691,5797,5903,6010,6118,6227,6338,6450
24: defectors,1,265,463,576,662,741,820,898,978,1060,1143,1275,1491,1743,2019,2312,2610,2907,3201,3499,3798,4086,4362,4622,4857,5070,5260,5426,5563,5673,5780,5887,5996,6106,6217,6329
25: defectors,1,100,202,306,410,515,617,719,819,917,1012,1104,1195,1286,1377,1468,1559,1651,1744,1837,1932,2027,2123,2220,2318,2418,2519,2621,2725,2830,2936,3044,3153,3264,3376,3489
26: defectors,1,100,200,300,399,497,593,687,778,866,952,1040,1128,1216,1305,1394,1485,1576,1669,1765,1861,1959,2058,2157,2258,2360,2463,2567,2673,2780,2888,2998,3108,3220,3332,3446
27: defectors,1,100,202,306,410,515,617,719,819,917,1012,1104,1197,1297,1404,1519,1638,1756,1874,1996,2119,2240,2358,2472,2584,2693,2799,2903,3008,3114,3222,3331,3441,3553,3666,3780
28: defectors,1,100,200,300,399,497,593,687,778,866,952,1040,1134,1236,1346,1464,1586,1708,1831,1958,2088,2216,2340,2460,2577,2690,2802,2910,3017,3124,3234,3344,3456,3568,3681,3796
29: defectors,1,280,544,769,925,1026,1112,1195,1277,1360,1444,1530,1617,1705,1794,1884,1975,2067,2160,2254,2350,2447,2545,2644,2744,2845,2947,3051,3155,3260,3367,3475,3584,3695,3806,3920
30: defectors,1,265,463,576,662,741,820,898,978,1060,1143,1228,1314,1401,1490,1580,1673,1766,1861,1956,2054,2152,2251,2351,2451,2553,2656,2760,2865,2971,3079,3187,3297,3407,3519,3632
31: defectors,1,280,544,769,925,1026,1112,1195,1277,1360,1444,1564,1764,2005,2274,2564,2861,3156,3449,3747,4046,4336,4611,4867,5097,5302,5485,5646,5777,5883,5989,6096,6205,6315,6426,6538
32: defectors,1,265,463,576,662,741,820,898,978,1060,1143,1275,1492,1747,2027,2327,2634,2939,3243,3551,3860,4159,4442,4707,4946,5160,5350,5516,5653,5763,5870,5978,6087,6197,6309,6421
33: defectors,1,101,203,308,414,521,627,732,836,941,1061,1199,1367,1561,1780,2027,2292,2572,2869,3188,3527,3884,4257,4647,5052,5475,5917,6376,6852,7345,7857,8387,8936,9501,10083,10681
34: defectors,1,100,201,302,403,504,603,701,796,895,1020,1172,1354,1558,1782,2028,2295,2579,2882,3206,3552,3915,4294,4689,5102,5533,5982,6449,6933,7434,7954,8493,9049,9623,10213,10820
35: defectors,1,101,203,308,414,521,627,732,850,983,1132,1311,1532,1784,2068,2381,2714,3063,3430,3820,4232,4661,5109,5573,6054,6554,7072,7610,8164,8737,9329,9940,10570,11217,11881,12563
36: defectors,1,100,201,302,403,504,603,702,819,951,1109,1307,1547,1813,2104,2418,2755,3110,3484,3881,4300,4738,5192,5664,6153,6662,7189,7735,8299,8881,9481,10102,10740,11396,12070,12760
37: defectors,1,280,544,766,913,1014,1102,1189,1285,1498,1799,2211,2766,3426,4202,5081,6036,7041,8095,9203,10353,11525,12709,13899,15091,16283,17472,18652,19817,20965,22096,23208,24297,25359,26395,27405
38: defectors,1,265,462,575,663,745,827,910,1010,1240,1560,1996,2578,3264,4064,4969,5947,6975,8049,9176,10344,11531,12727,13929,15131,16332,17529,18718,19892,21048,22186,23306,24401,25469,26510,27525
39: defectors,1,280,544,766,913,1014,1102,1264,1552,1937,2457,3148,4002,4967,6028,7170,8364,9585,10831,12104,13393,14678,15951,17207,18443,19657,20846,22008,23138,24235,25303,26341,27348,28320,29257,30159
