Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: regular customers,3361031,3263043,3148288,3017164,2879983,2745722,2619011,2506567,2411275,2340415,2291342,2255683,2227489,2205750,2189106,2176718,2167895,2161728,2156607,2152316,2148790,2146002,2143867,2142335,2141349,2140736,2140215,2139788,2139450,2139194,2139010,2138873,2138744,2138617,2138487,2138345
2: regular customers,3361031,3344503,3312510,3260895,3186832,3092767,2984922,2866372,2745544,2631475,2531119,2445531,2381108,2335369,2301972,2275115,2253662,2236678,2223465,2213432,2206121,2200654,2195889,2191773,2188258,2185301,2182868,2180939,2179479,2178421,2177472,2176546,2175608,2174657,2173687,2172694
3: regular customers,3361031,3263043,3148288,3017164,2879962,2745638,2618847,2506331,2410983,2340115,2291051,2255375,2227169,2205423,2188775,2176389,2167572,2161390,2156246,2151935,2148392,2145587,2143440,2141897,2140903,2140271,2139726,2139276,2138916,2138639,2138436,2138281,2138136,2137995,2137851,2137698
4: regular customers,3361031,3228131,3019421,2727335,2414844,2202033,2101394,2049607,2018036,1995628,1979990,1967296,1957115,1949333,1943580,1939529,1936756,1935101,1934443,1934650,1935625,1937292,1939538,1942283,1945456,1948991,1952838,1956964,1961322,1965725,1969980,1974070,1977961,1981655,1985152,1988450
5: regular customers,3361031,2839313,2377961,2142787,2051011,2006140,1976765,1956951,1941849,1929704,1920332,1913321,1908346,1905017,1903080,1902371,1902738,1904032,1906137,1908929,1912319,1916224,1920533,1925177,1930091,1935067,1939892,1944584,1949143,1953570,1957862,1961998,1965948,1969709,1973283,1976668
6: regular customers,3361031,3228131,3019421,2727332,2414782,2201954,2101313,2049531,2017947,1995527,1979873,1967154,1956948,1949143,1943371,1939300,1936511,1934843,1934177,1934379,1935354,1937025,1939277,1942031,1945215,1948761,1952622,1956761,1961134,1965530,1969780,1973864,1977751,1981441,1984933,1988228
7: regular customers,3361031,2839313,2377961,2142781,2050995,2006120,1976741,1956921,1941808,1929651,1920266,1913241,1908250,1904906,1902954,1902233,1902591,1903880,1905981,1908772,1912163,1916072,1920387,1925037,1929959,1934928,1939746,1944432,1948986,1953408,1957695,1961828,1965774,1969532,1973104,1976486
8: regular customers,3361031,3344503,3312470,3260488,3185395,3089192,2977598,2853355,2724647,2601195,2491681,2400997,2336190,2291293,2256123,2228574,2207339,2191459,2180102,2171017,2163043,2156203,2150426,2145652,2141808,2138633,2135660,2132890,2130328,2127969,2125808,2123821,2121975,2120268,2118694,2117248
9: regular customers,3361031,3262628,3146237,3011405,2868076,2725079,2587192,2463898,2362310,2291550,2243287,2205979,2177678,2157038,2142535,2132040,2123164,2115764,2109736,2104937,2101275,2098350,2095715,2093365,2091287,2089469,2087909,2086615,2085581,2084793,2084236,2083846,2083528,2083275,2083081,2082939
10: regular customers,3361031,3344503,3312470,3260488,3185329,3088833,2976797,2852036,2722743,2598713,2488685,2397944,2333323,2288481,2253239,2225672,2204469,2188678,2177382,2168118,2159989,2153019,2147142,2142295,2138409,2135044,2131874,2128921,2126191,2123684,2121393,2119298,2117367,2115599,2113989,2112513
11: regular customers,3361031,3262628,3146237,3011405,2867971,2724660,2586382,2462737,2361010,2290298,2242007,2204665,2176355,2155735,2141279,2130703,2121721,2114228,2108121,2103258,2099548,2096481,2093709,2091228,2089026,2087092,2085426,2084036,2082918,2082059,2081443,2080977,2080593,2080288,2080056,2079889
12: regular customers,3361031,3228131,3019132,2725046,2408555,2195321,2094621,2043459,2011393,1988856,1972682,1959363,1948717,1940645,1934729,1930448,1927540,1925853,1925255,1925600,1926783,1928723,1931295,1934410,1937984,1941942,1946227,1950645,1954929,1959080,1963094,1966953,1970627,1974115,1977419,1980537
13: regular customers,3361031,2837556,2370352,2135124,2043751,1999024,1969284,1949207,1933377,1920741,1911110,1904005,1898879,1895529,1893687,1893169,1893808,1895441,1897934,1901152,1904992,1909366,1914152,1919166,1924052,1928789,1933386,1937862,1942218,1946455,1950569,1954540,1958337,1961959,1965407,1968678
14: regular customers,3361031,3228131,3019132,2725034,2408246,2194945,2094247,2043113,2010992,1988412,1972152,1958725,1947974,1939805,1933801,1929432,1926455,1924721,1924099,1924441,1925640,1927613,1930230,1933399,1937034,1941056,1945407,1949791,1954044,1958165,1962154,1965990,1969643,1973113,1976401,1979506
15: regular customers,3361031,2837556,2370352,2135094,2043679,1998935,1969183,1949086,1933222,1920547,1910870,1903715,1898528,1895120,1893225,1892664,1893270,1894882,1897367,1900587,1904440,1908835,1913648,1918642,1923494,1928199,1932767,1937216,1941548,1945762,1949856,1953809,1957590,1961199,1964634,1967896
16: regular customers,3361031,3343487,3308807,3249510,3165329,3061570,2942430,2817353,2694346,2578922,2478795,2398375,2340659,2300232,2268479,2243223,2223350,2207996,2196504,2188195,2181299,2175250,2169983,2165455,2161623,2158440,2155876,2153605,2151403,2149269,2147203,2145186,2143186,2141205,2139242,2137298
17: regular customers,3361031,3261998,3143308,3007795,2869437,2734033,2605485,2490076,2393486,2323420,2275592,2239594,2211382,2189792,2173514,2161689,2153407,2146588,2140778,2135885,2131849,2128638,2126167,2124312,2122622,2121021,2119517,2118124,2116840,2115662,2114584,2113582,2112623,2111704,2110820,2109927
18: regular customers,3361031,3343487,3308807,3249510,3165325,3061529,2942315,2817149,2694052,2578544,2478349,2397936,2340251,2299840,2268088,2242842,2222984,2207652,2196186,2187898,2181002,2174956,2169696,2165179,2161360,2158193,2155648,2153386,2151196,2149079,2147031,2145035,2143059,2141103,2139166,2137249
