Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,14344,124978,252325,396056,542820,683045,813252,929921,1030168,1106865,1162074,1203172,1235597,1260694,1279771,1293665,1303277,1309685,1314355,1317330,1318759,1318830,1317633,1315246,1311719,1307195,1301942,1296003,1289471,1282344,1274583,1266186,1257220,1247741,1237773,1227335
2: customers with PV,14344,43490,87973,151967,238318,343176,458131,579984,701833,817225,918886,1005073,1069782,1115672,1148662,1174128,1193358,1207457,1217164,1222946,1225352,1225366,1224043,1221467,1217686,1212735,1206665,1199555,1191560,1182786,1173470,1163672,1153454,1142875,1131958,1120726
3: customers with PV,14344,124978,252325,396056,542814,682877,812642,928529,1027235,1101631,1154044,1191973,1220998,1242552,1257986,1268170,1274032,1276688,1277601,1276823,1274511,1270859,1265961,1259906,1252751,1244660,1235898,1226507,1216580,1206122,1195104,1183600,1171702,1159474,1146942,1134135
4: customers with PV,14344,146622,355483,649555,965776,1179366,1279209,1328346,1353207,1362597,1359918,1346575,1324594,1297044,1265068,1229736,1192940,1156386,1120419,1084703,1049701,1015997,983780,953741,925831,899815,875526,852871,831844,812413,794497,777642,761684,746597,732318,718787
5: customers with PV,14344,536371,1002458,1245727,1346646,1400532,1432324,1450146,1456964,1453519,1441274,1418367,1386898,1350736,1311093,1268920,1225925,1183423,1142040,1101596,1062498,1025292,990042,957342,927264,899628,874335,851165,830009,810622,792732,775862,759884,744774,730468,716908
6: customers with PV,14344,146622,355483,649555,964934,1171822,1263340,1300410,1310034,1303645,1284966,1257313,1222960,1184886,1144873,1104175,1064340,1026227,989703,955211,923285,894038,867267,842729,820170,799358,779879,761328,743751,727223,711746,697214,683585,670812,658822,647548
7: customers with PV,14344,536371,1002458,1245726,1340337,1382717,1403824,1406852,1396049,1374934,1345370,1307537,1263873,1217768,1170360,1123337,1078099,1035412,995019,957153,922524,891141,862702,836882,813359,791972,772201,753753,736588,720570,705546,691420,678152,665700,653996,642976
8: customers with PV,14344,43490,88013,152374,239769,346788,465365,592474,721471,845174,954629,1044496,1108162,1151422,1183443,1206123,1221049,1229466,1232115,1230727,1226393,1219335,1209660,1197469,1182914,1166290,1148019,1128209,1107081,1084693,1061044,1036219,1010445,984012,957614,931524
9: customers with PV,14344,125393,254377,401821,554738,703648,844864,971948,1077768,1153359,1206058,1246012,1274953,1294615,1306431,1312385,1314944,1314515,1311097,1304522,1294973,1283064,1269217,1253458,1235768,1216108,1194473,1171128,1146441,1120495,1093310,1065018,1035921,1006242,976324,946963
10: customers with PV,14344,43490,88013,152374,239769,346777,465284,592155,720527,842874,949952,1035890,1094700,1132701,1159052,1175545,1183763,1185007,1180194,1171275,1159179,1144226,1126631,1106612,1084353,1060298,1034819,1008088,980534,952925,925464,898349,871870,846260,821664,798212
11: customers with PV,14344,125393,254377,401821,554729,703425,843971,969685,1072863,1144712,1192990,1227798,1251075,1264602,1269845,1268930,1264216,1256103,1244604,1229569,1211214,1190292,1167415,1142789,1116518,1088698,1059468,1029045,997768,966252,935195,904864,875578,847565,820950,795829
