Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: regular customers,3361031,3343137,3308203,3249376,3165989,3061744,2941320,2813084,2686691,2570523,2469995,2390614,2334139,2294555,2263383,2238786,2219588,2204910,2194056,2186270,2179766,2174163,2169384,2165371,2162069,2159422,2157387,2155734,2154202,2152785,2151477,2150254,2149080,2147949,2146857,2145796
2: regular customers,3361031,3261498,3142147,3005418,2863320,2723714,2591529,2475487,2379781,2311812,2265672,2230427,2203085,2182373,2166987,2156026,2148223,2141679,2136210,2131711,2128108,2125356,2123360,2121918,2120646,2119517,2118534,2117705,2117024,2116482,2116068,2115755,2115504,2115308,2115158,2115039
3: regular customers,3361031,3343137,3308203,3249376,3165975,3061673,2941165,2812837,2686345,2570091,2469491,2390127,2333697,2294139,2262975,2238394,2219216,2204561,2193733,2185959,2179453,2173849,2169072,2165063,2161767,2159127,2157101,2155445,2153911,2152494,2151186,2149964,2148792,2147665,2146577,2145521
4: regular customers,3361031,3261498,3142147,3005418,2863299,2723632,2591371,2475263,2379529,2311563,2265427,2230179,2202844,2182142,2166772,2155829,2148029,2141484,2136016,2131519,2127920,2125173,2123184,2121743,2120471,2119344,2118362,2117536,2116858,2116320,2115911,2115603,2115359,2115169,2115025,2114914
5: regular customers,3361031,3223829,3002065,2686136,2361555,2169343,2078791,2033816,2003932,1983161,1967692,1955043,1945022,1937488,1932017,1928096,1925510,1924099,1923734,1924278,1925626,1927691,1930350,1933520,1937122,1941087,1945361,1949663,1953836,1957881,1961795,1965562,1969149,1972558,1975789,1978841
6: regular customers,3361031,2834301,2363482,2133862,2043974,1999827,1970399,1950519,1934905,1922422,1912859,1905779,1900664,1897268,1895340,1894708,1895207,1896680,1898998,1902034,1905691,1909878,1914479,1919337,1924084,1928687,1933156,1937508,1941745,1945866,1949868,1953733,1957431,1960960,1964320,1967510
7: regular customers,3361031,3223829,3002065,2686134,2361495,2169275,2078730,2033761,2003877,1983109,1967637,1954987,1944967,1937433,1931963,1928042,1925455,1924045,1923681,1924225,1925574,1927640,1930301,1933473,1937078,1941045,1945321,1949621,1953793,1957837,1961751,1965517,1969104,1972514,1975745,1978798
8: regular customers,3361031,2834301,2363482,2133856,2043959,1999808,1970377,1950495,1934879,1922395,1912831,1905753,1900639,1897244,1895318,1894687,1895188,1896661,1898980,1902018,1905675,1909864,1914465,1919324,1924070,1928672,1933141,1937494,1941731,1945852,1949856,1953722,1957420,1960951,1964313,1967505
9: regular customers,3361031,3342629,3306235,3244163,3154664,3040184,2904744,2757027,2607887,2471234,2362095,2289618,2238557,2200612,2172949,2153647,2139744,2128000,2118229,2110247,2103917,2098837,2094254,2090136,2086467,2083230,2080418,2078031,2076053,2074464,2073176,2072104,2071209,2070480,2069904,2069469
10: regular customers,3361031,3259815,3134496,2986003,2825951,2662946,2505473,2370397,2277223,2216651,2172404,2140634,2119008,2103795,2091177,2080954,2072921,2066835,2061761,2057291,2053402,2050100,2047337,2045088,2043324,2042013,2041062,2040413,2040053,2039964,2040128,2040508,2041057,2041759,2042597,2043551
11: regular customers,3361031,3342629,3306235,3244163,3154595,3039826,2903963,2755779,2606169,2469163,2360186,2288023,2237038,2199219,2171709,2152572,2138711,2126980,2117235,2109290,2103005,2097932,2093346,2089233,2085574,2082352,2079560,2077197,2075248,2073690,2072425,2071381,2070515,2069818,2069277,2068878
12: regular customers,3361031,3259815,3134496,2986002,2825844,2662537,2504726,2369483,2276374,2215833,2171624,2139927,2118396,2103183,2090578,2080379,2072377,2066317,2061247,2056784,2052908,2049623,2046881,2044657,2042920,2041638,2040712,2040091,2039760,2039701,2039895,2040306,2040886,2041620,2042488,2043473
