Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,14344,44966,92506,163837,259669,374860,502696,634791,763693,883670,989550,1076145,1141692,1191636,1233425,1268476,1297985,1322922,1343954,1361700,1377908,1392965,1406897,1419764,1431584,1442379,1452187,1461255,1469870,1478023,1485683,1492836,1499506,1505720,1511484,1516805
2: customers with PV,14344,126633,258693,408163,559976,705727,841856,963333,1066213,1143454,1200372,1247066,1286293,1319143,1346327,1368607,1387373,1404626,1420511,1435076,1448468,1460757,1471973,1482291,1492056,1501266,1509919,1518035,1525670,1532819,1539452,1545559,1551167,1556308,1560991,1565230
3: customers with PV,14344,44966,92506,163837,259669,374859,502689,634769,763642,883563,989349,1075167,1139172,1187161,1226814,1259788,1287209,1309993,1328731,1343999,1357443,1369533,1380335,1389919,1398369,1405735,1412072,1417638,1422713,1427282,1431253,1434594,1437363,1439608,1441339,1442567
4: customers with PV,14344,126633,258693,408163,559976,705722,841836,963282,1066095,1143254,1199876,1245233,1282413,1312846,1337683,1357716,1374240,1389134,1402516,1414296,1424570,1433546,1441337,1448190,1454447,1460105,1465165,1469649,1473593,1476960,1479693,1481778,1483278,1484246,1484697,1484649
5: customers with PV,14344,151038,373122,691415,1020126,1215686,1313033,1368054,1409348,1442279,1470279,1495594,1517707,1533629,1543479,1548873,1551560,1552559,1551939,1549317,1544740,1538803,1531748,1523714,1514744,1504835,1494026,1482656,1471084,1459202,1446807,1433865,1420587,1407115,1393472,1379732
6: customers with PV,14344,541501,1017281,1255457,1354935,1410000,1451518,1484162,1512773,1538392,1561198,1581574,1598718,1609839,1615283,1616624,1615574,1613055,1609113,1603223,1595552,1586731,1577008,1566587,1555774,1544516,1532779,1520613,1508211,1495463,1482189,1468355,1454181,1439814,1425274,1410577
7: customers with PV,14344,151038,373122,691415,1020118,1215622,1312929,1367925,1409205,1441548,1463608,1477375,1485514,1488778,1487279,1481248,1471781,1459858,1445434,1428428,1409831,1390277,1370044,1349197,1327777,1305761,1283196,1260471,1238064,1215903,1193787,1171852,1150404,1129565,1109318,1089645
8: customers with PV,14344,541501,1017281,1255456,1354928,1409986,1451499,1484138,1512745,1537220,1552600,1560075,1562281,1560214,1553736,1542839,1528532,1512037,1493338,1472536,1450400,1427531,1403988,1380054,1356175,1332262,1308271,1284294,1260672,1237331,1214062,1190848,1168112,1146052,1124649,1103882
9: customers with PV,14344,45475,94475,169054,271006,396368,538992,690034,841215,981347,1096223,1177114,1238036,1286621,1324989,1354703,1378694,1400212,1419378,1436292,1451177,1464470,1476788,1488162,1498578,1508004,1516430,1523900,1530517,1536275,1541186,1545276,1548605,1551210,1553094,1554270
10: customers with PV,14344,128316,266349,427598,597386,766577,928420,1069783,1171916,1243297,1299163,1343091,1377289,1405036,1429454,1450639,1469109,1485299,1500062,1513721,1526325,1537880,1548410,1557947,1566492,1574027,1580641,1586423,1591465,1595756,1599247,1601917,1603802,1604970,1605440,1605232
11: customers with PV,14344,45475,94475,169054,271006,396362,538957,689914,840906,980687,1094708,1173785,1232086,1277335,1312053,1337972,1358093,1375494,1390235,1402202,1411599,1419089,1425395,1430544,1434520,1437295,1438851,1439148,1438299,1436283,1433069,1428661,1423166,1416671,1409196,1400760
12: customers with PV,14344,128316,266349,427598,597384,766549,928300,1069399,1171129,1242227,1297415,1339276,1370442,1394734,1415605,1433130,1447675,1459698,1469996,1478607,1485650,1491417,1495953,1499288,1501425,1502346,1502046,1500566,1498052,1494481,1489751,1483835,1476847,1468882,1459964,1450117
13: customers with PV,14344,152294,380180,711221,1054462,1242992,1336115,1389694,1430871,1463647,1492521,1518245,1540176,1555418,1564455,1568683,1569871,1569107,1566458,1561356,1553941,1544932,1534635,1523213,1510844,1497778,1483975,1469483,1454533,1438985,1422599,1405322,1387445,1369254,1350787,1332072
14: customers with PV,14344,548232,1042582,1278006,1374629,1429806,1471254,1504658,1534151,1560110,1582821,1603094,1619720,1629915,1634104,1633922,1631158,1626749,1620723,1612417,1602059,1590695,1578750,1566268,1553189,1539404,1524859,1509591,1493795,1477385,1460118,1441945,1423140,1403895,1384268,1364393
15: customers with PV,14344,152294,380180,711221,1054417,1242693,1335617,1389098,1430202,1462214,1484645,1497973,1504680,1505766,1501526,1491902,1478012,1461089,1441098,1418029,1392744,1366161,1338515,1310004,1280831,1251216,1221133,1190707,1160673,1131116,1101810,1072748,1044228,1016434,989399,963577
16: customers with PV,14344,548232,1042582,1278002,1374594,1429747,1471167,1504555,1534029,1558573,1573340,1579933,1580591,1576292,1566821,1552163,1533393,1511960,1487876,1461212,1432652,1403138,1373042,1342701,1312064,1280997,1249464,1217592,1185851,1154538,1123535,1092835,1062748,1033463,1004989,977496
17: customers with PV,14344,45838,96135,174919,280662,407889,547212,686180,818890,940812,1046516,1128409,1189295,1238135,1279507,1314681,1344669,1370223,1392308,1412979,1432548,1450996,1468325,1484581,1499813,1514377,1528564,1542380,1555822,1568885,1581568,1593854,1605723,1617172,1628200,1638815
18: customers with PV,14344,127686,263304,416773,571528,720771,860788,985597,1089533,1166276,1223156,1270396,1309904,1342936,1370687,1394163,1415705,1435945,1454949,1472797,1489558,1505240,1520217,1534769,1548894,1562592,1575870,1588738,1601198,1613252,1624901,1636134,1646954,1657424,1667544,1677314
19: customers with PV,14344,45838,96135,174919,280662,407889,547207,686160,818846,940716,1046334,1128111,1188897,1237672,1278980,1314093,1344024,1369523,1391571,1412218,1431763,1450187,1467491,1483723,1498931,1513482,1527655,1541457,1554885,1567934,1580602,1592873,1604727,1616161,1627174,1637775
