Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: regular customers,3361031,3344503,3312510,3260895,3186845,3092839,2985080,2866630,2745910,2631951,2531686,2446141,2381702,2335930,2302539,2275693,2254244,2237260,2224039,2213991,2206661,2201209,2196469,2192375,2188881,2185939,2183518,2181599,2180146,2179102,2178180,2177281,2176368,2175439,2174490,2173517
2: regular customers,3361031,3263043,3148288,3017164,2879983,2745722,2619011,2506568,2411276,2340416,2291343,2255684,2227489,2205750,2189105,2176716,2167893,2161724,2156602,2152310,2148783,2145994,2143858,2142325,2141338,2140725,2140203,2139775,2139436,2139179,2138995,2138857,2138727,2138600,2138469,2138327
3: regular customers,3361031,3344503,3312510,3260895,3186832,3092767,2984922,2866372,2745543,2631473,2531113,2445519,2381088,2335343,2301938,2275072,2253611,2236621,2223403,2213366,2206052,2200580,2195807,2191685,2188164,2185201,2182763,2180830,2179367,2178305,2177348,2176416,2175472,2174515,2173540,2172542
4: regular customers,3361031,3263043,3148288,3017164,2879962,2745639,2618847,2506332,2410984,2340114,2291050,2255372,2227163,2205414,2188764,2176374,2167555,2161370,2156224,2151909,2148363,2145556,2143406,2141861,2140865,2140230,2139682,2139229,2138867,2138587,2138382,2138224,2138077,2137933,2137788,2137634
5: regular customers,3361031,3228131,3019421,2727335,2414844,2202033,2101394,2049607,2018036,1995626,1979987,1967292,1957109,1949325,1943570,1939515,1936740,1935082,1934421,1934625,1935598,1937264,1939507,1942252,1945425,1948959,1952807,1956934,1961293,1965694,1969948,1974036,1977926,1981620,1985115,1988413
6: regular customers,3361031,2839313,2377961,2142787,2051011,2006140,1976765,1956951,1941849,1929703,1920332,1913320,1908344,1905015,1903076,1902366,1902731,1904025,1906128,1908919,1912308,1916212,1920521,1925164,1930078,1935052,1939876,1944566,1949125,1953551,1957842,1961977,1965926,1969688,1973261,1976646
7: regular customers,3361031,3228131,3019421,2727332,2414783,2201954,2101312,2049528,2017943,1995520,1979863,1967140,1956929,1949120,1943342,1939266,1936471,1934798,1934128,1934327,1935299,1936968,1939219,1941973,1945157,1948705,1952568,1956710,1961085,1965479,1969727,1973810,1977695,1981384,1984876,1988171
8: regular customers,3361031,2839313,2377961,2142781,2050995,2006120,1976741,1956921,1941807,1929649,1920263,1913236,1908243,1904896,1902942,1902218,1902573,1903860,1905958,1908748,1912138,1916046,1920360,1925010,1929932,1934899,1939715,1944399,1948952,1953373,1957659,1961791,1965736,1969495,1973066,1976448
9: regular customers,3361031,3344503,3312470,3260488,3185395,3089192,2977598,2853355,2724646,2601192,2491669,2400970,2336146,2291229,2256035,2228463,2207207,2191312,2179945,2170832,2162830,2155963,2150162,2145365,2141502,2138296,2135288,2132483,2129885,2127493,2125298,2123278,2121401,2119667,2118070,2116603
10: regular customers,3361031,3262628,3146237,3011405,2868076,2725079,2587192,2463899,2362314,2291555,2243292,2205983,2177679,2157035,2142528,2132029,2123146,2115740,2109706,2104901,2101233,2098300,2095656,2093297,2091211,2089384,2087815,2086512,2085469,2084673,2084107,2083709,2083382,2083121,2082921,2082773
11: regular customers,3361031,3344503,3312470,3260488,3185329,3088833,2976797,2852035,2722738,2598693,2488632,2397847,2333183,2288290,2252994,2225378,2204134,2188315,2176992,2167669,2159482,2152459,2146532,2141642,2137719,2134280,2131037,2128012,2125214,2122643,2120294,2118146,2116170,2114367,2112731,2111226
12: regular customers,3361031,3262628,3146237,3011405,2867971,2724661,2586383,2462739,2361010,2290293,2241994,2204641,2176318,2155686,2141218,2130623,2121622,2114110,2107984,2103103,2099375,2096281,2093481,2090971,2088741,2086779,2085084,2083667,2082524,2081641,2081003,2080513,2080108,2079786,2079541,2079365
13: regular customers,3361031,3228131,3019132,2725046,2408555,2195321,2094621,2043459,2011391,1988852,1972674,1959349,1948696,1940616,1934689,1930397,1927476,1925777,1925167,1925502,1926676,1928610,1931177,1934290,1937864,1941824,1946112,1950522,1954799,1958942,1962950,1966804,1970473,1973958,1977259,1980375
14: regular customers,3361031,2837556,2370352,2135124,2043751,1999024,1969284,1949207,1933378,1920742,1911111,1904005,1898877,1895525,1893680,1893159,1893794,1895424,1897914,1901128,1904966,1909337,1914122,1919131,1924012,1928744,1933337,1937809,1942163,1946396,1950508,1954477,1958272,1961894,1965341,1968612
15: regular customers,3361031,3228131,3019132,2725034,2408246,2194945,2094242,2043104,2010975,1988386,1972113,1958669,1947897,1939706,1933679,1929283,1926281,1924526,1923885,1924213,1925404,1927373,1929992,1933168,1936812,1940846,1945204,1949578,1953823,1957937,1961920,1965751,1969400,1972867,1976153,1979257
16: regular customers,3361031,2837556,2370352,2135094,2043679,1998936,1969184,1949086,1933222,1920544,1910864,1903703,1898509,1895094,1893189,1892617,1893213,1894818,1897296,1900510,1904360,1908753,1913567,1918555,1923400,1928098,1932660,1937104,1941431,1945642,1949733,1953683,1957463,1961070,1964506,1967767
17: regular customers,3361031,3343487,3308807,3249510,3165329,3061570,2942430,2817353,2694346,2578922,2478796,2398375,2340660,2300233,2268481,2243225,2223353,2208000,2196508,2188200,2181305,2175257,2169991,2165465,2161633,2158452,2155889,2153619,2151419,2149287,2147223,2145207,2143209,2141229,2139268,2137325
18: regular customers,3361031,3261998,3143308,3007795,2869437,2734033,2605485,2490076,2393486,2323420,2275593,2239595,2211384,2189794,2173517,2161692,2153411,2146593,2140783,2135891,2131857,2128646,2126176,2124323,2122634,2121034,2119531,2118140,2116858,2115681,2114604,2113604,2112646,2111728,2110845,2109953
