Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,14344,43490,87973,151967,238318,343183,458174,580104,702138,817888,920116,1007397,1073529,1121048,1155761,1183038,1204213,1220418,1232285,1240222,1244760,1246847,1247563,1246990,1245165,1242107,1237853,1232473,1226096,1218768,1210697,1201944,1192570,1182629,1172159,1161226
2: customers with PV,14344,124978,252325,396056,542820,683045,813206,929592,1029425,1105560,1160063,1200299,1231756,1255808,1273772,1286489,1294883,1300052,1303452,1305107,1305173,1303849,1301227,1297384,1292365,1286306,1279469,1271896,1263684,1254827,1245278,1235030,1224154,1212708,1200712,1188185
3: customers with PV,14344,43490,87973,151967,238318,343173,458096,579845,701381,816036,916425,1001121,1064145,1108252,1139389,1162942,1180229,1192398,1200158,1203944,1204306,1202241,1198804,1194074,1188093,1180889,1172533,1163141,1152856,1141748,1130045,1117801,1105084,1091956,1078438,1064555
4: customers with PV,14344,124978,252325,396056,542810,682786,812278,927542,1025400,1098733,1149931,1186479,1214038,1234064,1247903,1256427,1260580,1261500,1260634,1258013,1253798,1248195,1241300,1233199,1223941,1213686,1202688,1190990,1178689,1165844,1152463,1138551,1124184,1109427,1094308,1078852
5: customers with PV,14344,146622,355483,649555,965776,1179322,1278371,1326278,1349504,1356795,1351639,1335174,1309485,1277789,1241217,1200839,1158720,1116870,1075437,1034046,993273,954508,917982,883579,851112,820598,792594,766929,743490,722139,702711,684973,668780,653701,639526,626182
6: customers with PV,14344,536371,1002458,1245727,1346646,1400417,1431569,1448452,1453950,1448761,1434422,1408918,1374409,1334551,1290589,1243557,1195269,1147300,1100390,1054157,1009079,966302,926409,889189,854374,822010,792788,766440,742733,721306,701811,684012,667756,652597,638344,624925
7: customers with PV,14344,146622,355483,649555,964564,1169947,1259514,1294003,1300393,1290200,1267174,1234477,1194429,1150321,1104079,1056837,1010276,965926,924266,884729,847459,813115,782343,754705,729764,707140,686550,667770,650284,633973,618810,604673,591503,579238,567795,557097
8: customers with PV,14344,536371,1002458,1245726,1339654,1380907,1400581,1401667,1388353,1364101,1330627,1288072,1238927,1186753,1132967,1079283,1027136,977685,931691,888559,848330,811593,778974,749935,723947,700715,680010,661401,644268,628404,613637,599850,586988,574995,563790,553302
9: customers with PV,14344,43490,88013,152374,239769,346788,465363,592422,721214,844336,952755,1041282,1103252,1144591,1174461,1194769,1207136,1212801,1212464,1207802,1199862,1188872,1174930,1158232,1138887,1117105,1093268,1067460,1039909,1010651,979921,948189,915782,882992,850029,817379
10: customers with PV,14344,125393,254377,401821,554738,703648,844806,971562,1076857,1151709,1203477,1242295,1269867,1287985,1298067,1302072,1302476,1299700,1293708,1284269,1271541,1256136,1238449,1218474,1196149,1171391,1144396,1115343,1084491,1051898,1017545,981758,945442,908941,872481,836281
