Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: regular customers,3361031,3343137,3308203,3249376,3165989,3061744,2941320,2813084,2686691,2570523,2469995,2390614,2334139,2294555,2263383,2238786,2219589,2204910,2194057,2186271,2179768,2174165,2169385,2165374,2162072,2159425,2157390,2155738,2154206,2152790,2151482,2150259,2149086,2147956,2146863,2145803
2: regular customers,3361031,3261498,3142147,3005418,2863320,2723714,2591529,2475487,2379781,2311812,2265672,2230427,2203085,2182373,2166987,2156026,2148224,2141679,2136210,2131712,2128109,2125357,2123362,2121920,2120648,2119521,2118538,2117709,2117029,2116487,2116073,2115761,2115511,2115315,2115165,2115047
3: regular customers,3361031,3343137,3308203,3249376,3165975,3061673,2941165,2812837,2686345,2570091,2469491,2390128,2333697,2294140,2262976,2238395,2219218,2204563,2193736,2185962,2179456,2173854,2169076,2165068,2161773,2159133,2157107,2155452,2153919,2152502,2151196,2149975,2148803,2147677,2146589,2145535
4: regular customers,3361031,3261498,3142147,3005418,2863299,2723632,2591371,2475263,2379529,2311563,2265427,2230179,2202844,2182143,2166773,2155831,2148032,2141487,2136019,2131523,2127925,2125179,2123190,2121749,2120478,2119352,2118371,2117546,2116869,2116332,2115923,2115617,2115373,2115184,2115041,2114931
5: regular customers,3361031,3223829,3002065,2686136,2361555,2169343,2078791,2033816,2003932,1983161,1967692,1955043,1945022,1937488,1932017,1928097,1925510,1924099,1923735,1924278,1925626,1927691,1930350,1933520,1937123,1941087,1945362,1949663,1953837,1957881,1961796,1965563,1969150,1972560,1975791,1978843
6: regular customers,3361031,2834301,2363482,2133862,2043974,1999827,1970399,1950519,1934905,1922422,1912859,1905779,1900664,1897268,1895340,1894708,1895207,1896680,1898998,1902034,1905691,1909879,1914479,1919338,1924084,1928688,1933157,1937509,1941746,1945867,1949870,1953735,1957432,1960961,1964322,1967512
7: regular customers,3361031,3223829,3002065,2686134,2361495,2169275,2078730,2033761,2003877,1983109,1967637,1954987,1944967,1937433,1931963,1928042,1925455,1924045,1923681,1924225,1925574,1927640,1930301,1933473,1937078,1941045,1945321,1949621,1953793,1957837,1961751,1965517,1969105,1972515,1975747,1978800
8: regular customers,3361031,2834301,2363482,2133856,2043959,1999808,1970377,1950495,1934879,1922395,1912831,1905753,1900639,1897244,1895318,1894688,1895188,1896662,1898981,1902018,1905676,1909864,1914466,1919324,1924071,1928673,1933142,1937495,1941732,1945854,1949858,1953724,1957423,1960954,1964317,1967510
9: regular customers,3361031,3342629,3306235,3244163,3154664,3040184,2904744,2757027,2607887,2471234,2362095,2289618,2238557,2200612,2172950,2153648,2139745,2128001,2118231,2110250,2103920,2098842,2094260,2090143,2086475,2083239,2080429,2078043,2076067,2074479,2073192,2072122,2071228,2070501,2069926,2069492
