Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,14344,44966,92506,163837,259669,374860,502696,634791,763693,883670,989550,1076145,1141692,1191636,1233378,1268312,1297662,1322425,1343274,1360823,1376833,1391701,1405450,1418135,1429769,1440372,1449983,1458847,1467254,1475196,1482639,1489570,1496013,1501999,1507533,1512621
2: customers with PV,14344,126633,258693,408163,559976,705727,841856,963333,1066213,1143454,1200372,1247066,1286293,1319133,1346250,1368409,1387030,1404139,1419874,1434276,1447498,1459614,1470655,1480794,1490376,1499397,1507856,1515773,1523207,1530155,1536589,1542496,1547905,1552851,1557341,1561390
3: customers with PV,14344,44966,92506,163837,259669,374859,502689,634769,763642,883563,989342,1075006,1138732,1186405,1225714,1258311,1285331,1307709,1326029,1340855,1353835,1365459,1375804,1384939,1392950,1399882,1405777,1410894,1415516,1419627,1423128,1425986,1428262,1430008,1431235,1431952
4: customers with PV,14344,126633,258693,408163,559976,705722,841836,963282,1066095,1143254,1199839,1245022,1281958,1312121,1336658,1356359,1372539,1387093,1400139,1411561,1421451,1430030,1437416,1443861,1449703,1454941,1459573,1463622,1467126,1470044,1472317,1473929,1474946,1475426,1475382,1474834
5: customers with PV,14344,151038,373122,691415,1020126,1215686,1313033,1368054,1409348,1442279,1470279,1495594,1517667,1533341,1542751,1547586,1549668,1550053,1548802,1545503,1540189,1533475,1525604,1516711,1506854,1496038,1484296,1471970,1459430,1446561,1433149,1419160,1404814,1390263,1375524,1360616
6: customers with PV,14344,541501,1017281,1255457,1354935,1410000,1451518,1484162,1512773,1538392,1561198,1581574,1598673,1609611,1614753,1615714,1614252,1611309,1606924,1600548,1592342,1582940,1572585,1561479,1549924,1537859,1525245,1512134,1498760,1485022,1470725,1455836,1440585,1425128,1409485,1393674
7: customers with PV,14344,151038,373122,691415,1020118,1215622,1312929,1367925,1409205,1441510,1463189,1476239,1483495,1485749,1483095,1475748,1464849,1451426,1435417,1416731,1396399,1375074,1352901,1329934,1306280,1281905,1256853,1231518,1206412,1181460,1156549,1131820,1107517,1083783,1060608,1037982
8: customers with PV,14344,541501,1017281,1255456,1354928,1409986,1451499,1484138,1512745,1537158,1552172,1559055,1560548,1557665,1550229,1538190,1522553,1504588,1484331,1461882,1438039,1413428,1388107,1362308,1336329,1310154,1283756,1257236,1230968,1204878,1178743,1152679,1127096,1102139,1077798,1054058
9: customers with PV,14344,45475,94475,169054,271006,396368,538992,690034,841215,981347,1096223,1177114,1238036,1286614,1324915,1354493,1378311,1399651,1418629,1435331,1449987,1463040,1475107,1486218,1496359,1505493,1513610,1520754,1527039,1532460,1537022,1540751,1543709,1545935,1547428,1548202
10: customers with PV,14344,128316,266349,427598,597386,766577,928420,1069783,1171916,1243297,1299163,1343091,1377289,1405016,1429364,1450426,1468742,1484767,1499348,1512808,1525199,1536535,1546846,1556164,1564488,1571799,1578185,1583735,1588542,1592598,1595846,1598265,1599890,1600789,1600981,1600484
11: customers with PV,14344,45475,94475,169054,271006,396362,538957,689914,840906,980687,1094690,1173573,1231550,1276420,1310697,1336111,1355680,1372514,1386675,1398026,1406761,1413547,1419117,1423495,1426664,1428590,1429251,1428602,1426758,1423695,1419370,1413781,1407040,1399239,1390393,1380519
12: customers with PV,14344,128316,266349,427598,597384,766549,928300,1069399,1171129,1242227,1297365,1339035,1369944,1393946,1414495,1431641,1445760,1457326,1467129,1475187,1481626,1486756,1490624,1493261,1494665,1494816,1493697,1491347,1487919,1483383,1477628,1470619,1462478,1453300,1443109,1431924
13: customers with PV,14344,152294,380180,711221,1054462,1242992,1336115,1389694,1430871,1463647,1492521,1518245,1540130,1555131,1563755,1567455,1568065,1566701,1563421,1557612,1549400,1539520,1528277,1515829,1502374,1488172,1473178,1457438,1441194,1424297,1406489,1387710,1368246,1348293,1327908,1307156
14: customers with PV,14344,548232,1042582,1278006,1374629,1429806,1471254,1504658,1534151,1560110,1582821,1603094,1619672,1629692,1633593,1633048,1629885,1625054,1618577,1609758,1598818,1586812,1574145,1560858,1546882,1532093,1516426,1499946,1482889,1465161,1446504,1426859,1406516,1385678,1364367,1342611
15: customers with PV,14344,152294,380180,711221,1054417,1242693,1335617,1389098,1430202,1462168,1484201,1496787,1502551,1502531,1496991,1485843,1470246,1451484,1429504,1404268,1376662,1347452,1316828,1285069,1252356,1218885,1184609,1149803,1115289,1081008,1046707,1012376,978617,946042,914643,884405
16: customers with PV,14344,548232,1042582,1278002,1374594,1429747,1471167,1504555,1534029,1558507,1572932,1578979,1578958,1573856,1563399,1547507,1527231,1504047,1478044,1449291,1418487,1386591,1353880,1320511,1286532,1251791,1216231,1179975,1143740,1107780,1071837,1035903,1000356,965892,932718,900817
17: customers with PV,14344,45838,96135,174919,280662,407889,547212,686180,818890,940812,1046516,1128409,1189295,1238135,1279507,1314681,1344669,1370223,1392308,1412979,1432548,1450996,1468325,1484581,1499813,1514377,1528564,1542380,1555822,1568885,1581568,1593854,1605723,1617172,1628200,1638815
18: customers with PV,14344,127686,263304,416773,571528,720771,860788,985597,1089533,1166276,1223156,1270396,1309904,1342936,1370687,1394163,1415705,1435945,1454949,1472797,1489558,1505240,1520217,1534769,1548894,1562592,1575870,1588738,1601198,1613252,1624901,1636134,1646954,1657424,1667544,1677314
19: customers with PV,14344,45838,96135,174919,280662,407889,547207,686160,818846,940716,1046334,1128111,1188897,1237672,1278980,1314093,1344024,1369523,1391571,1412218,1431763,1450187,1467491,1483723,1498931,1513482,1527655,1541457,1554885,1567934,1580602,1592873,1604727,1616161,1627174,1637775
20: customers with PV,14344,127686,263304,416773,571528,720768,860774,985557,1089434,1166104,1222933,1270129,1309593,1342583,1370292,1393736,1415261,1435483,1454469,1472299,1489041,1504704,1519672,1534213,1548327,1562015,1575281,1588138,1600587,1612629,1624266,1635487,1646296,1656755,1666866,1676625
21: customers with PV,14344,155351,393105,739657,1076643,1252834,1340803,1392670,1433158,1465604,1494183,1519980,1543159,1563874,1582723,1600017,1615889,1630454,1643830,1656138,1667479,1677911,1687490,1696297,1704430,1712318,1720103,1727791,1735378,1742859,1750228,1757469,1764557,1771487,1778254,1784852
22: customers with PV,14344,545883,1030448,1262807,1361646,1417199,1459281,1492538,1521947,1548260,1571654,1592575,1611565,1628778,1644445,1658731,1671779,1683711,1694648,1704705,1713979,1722531,1730707,1738771,1746719,1754544,1762249,1769839,1777311,1784661,1791884,1798964,1805878,1812620,1819187,1825573
23: customers with PV,14344,155351,393105,739657,1076636,1252793,1340732,1392583,1433059,1465495,1494067,1519856,1543029,1563736,1582579,1599867,1615733,1630292,1643663,1655965,1667301,1677728,1687302,1696105,1704235,1712122,1719907,1727594,1735180,1742660,1750028,1757268,1764355,1771284,1778050,1784646
24: customers with PV,14344,545883,1030448,1262806,1361642,1417190,1459267,1492519,1521925,1548234,1571625,1592541,1611528,1628737,1644401,1658684,1671728,1683657,1694590,1704644,1713916,1722465,1730641,1738704,1746651,1754476,1762180,1769769,1777241,1784590,1791812,1798891,1805804,1812546,1819112,1825497
25: customers with PV,14344,46353,98184,180494,293054,431876,587771,747840,904880,1047307,1154738,1229775,1288742,1335245,1371868,1401495,1428421,1453014,1475402,1495756,1514981,1533470,1551173,1568087,1584214,1599559,1614137,1628011,1641306,1654029,1666182,1677757,1688742,1699144,1708971,1718232
26: customers with PV,14344,129382,271107,436828,610422,784411,951253,1095008,1195788,1267359,1323142,1366498,1400011,1429088,1455406,1479156,1500533,1520429,1539497,1557759,1575230,1591866,1607643,1622578,1636754,1650294,1663213,1675531,1687258,1698407,1708989,1719008,1728457,1737354,1745713,1753551
27: customers with PV,14344,46353,98184,180494,293054,431874,587743,747731,904592,1046652,1153461,1228023,1286642,1332829,1369164,1398631,1425431,1449898,1472162,1492407,1511563,1529980,1547611,1564452,1580507,1595780,1610286,1624096,1637329,1649992,1662085,1673602,1684529,1694875,1704648,1713857
