Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: regular customers,1448848,1455831,1459966,1462321,1463303,1463220,1462414,1460572,1457364,1452454,1445941,1438318,1430317,1422183,1414450,1409733,1408214,1409757,1414311,1420746,1428645,1437865,1448642,1460990,1474851,1490160,1506851,1524891,1543781,1563370,1583655,1604636,1626317,1648701,1671788,1695580
2: regular customers,1448848,1421143,1393403,1365709,1338891,1313352,1289170,1267744,1251242,1241337,1237257,1237858,1241080,1246584,1254171,1263685,1274950,1287807,1302111,1317592,1333756,1350569,1368027,1386125,1404861,1424229,1444229,1464859,1486121,1508002,1530386,1553254,1576615,1600479,1624854,1649748
3: regular customers,1448848,1455831,1459966,1462321,1463303,1463221,1462416,1460570,1457356,1452429,1445876,1438203,1430155,1421983,1414219,1409460,1407954,1409514,1414084,1420534,1428474,1437750,1448529,1460887,1474752,1490073,1506773,1524806,1543688,1563272,1583555,1604538,1626223,1648613,1671710,1695514
4: regular customers,1448848,1421143,1393403,1365709,1338892,1313356,1289183,1267753,1251241,1241324,1237227,1237809,1241015,1246508,1254081,1263585,1274845,1287701,1302009,1317489,1333653,1350468,1367929,1386034,1404776,1424154,1444164,1464807,1486084,1507980,1530380,1553266,1576648,1600534,1624933,1649854
5: regular customers,1448848,1414623,1367436,1316068,1264514,1218522,1182268,1160106,1147143,1140516,1139088,1142388,1148072,1155449,1164404,1174812,1186417,1198694,1211651,1225215,1239452,1254528,1270448,1287189,1304647,1322793,1341669,1361269,1381581,1402588,1424276,1446633,1469652,1493324,1517643,1542603
6: regular customers,1448848,1258223,1119577,1059719,1035345,1027143,1026859,1029899,1035800,1043760,1052852,1062999,1074158,1086325,1099469,1113514,1128328,1143868,1160101,1177004,1194557,1212744,1231546,1250949,1270940,1291507,1312641,1334336,1356588,1379389,1402736,1426626,1451059,1476037,1501559,1527628
7: regular customers,1448848,1414623,1367436,1316068,1264518,1218581,1182481,1160503,1147733,1141231,1139945,1143328,1149156,1156549,1165596,1176088,1187808,1200233,1213337,1227132,1241553,1256661,1272592,1289334,1306831,1325014,1343871,1363420,1383688,1404657,1426314,1448647,1471648,1495308,1519621,1544579
8: regular customers,1448848,1258223,1119577,1059720,1035372,1027191,1026952,1030046,1036001,1044002,1053139,1063333,1074538,1086725,1099886,1113956,1128802,1144375,1160643,1177582,1195174,1213399,1232241,1251685,1271717,1292326,1313503,1335241,1357536,1380381,1403772,1427707,1452185,1477208,1502776,1528889
9: regular customers,1448848,1455831,1459966,1462321,1463303,1463220,1462414,1460572,1457364,1452454,1445932,1438044,1429390,1420223,1411235,1405297,1402677,1403348,1407046,1412480,1419521,1428062,1438299,1450269,1463907,1479145,1495816,1513327,1531580,1550567,1570288,1590748,1611959,1633930,1656661,1680148
10: regular customers,1448848,1420533,1391854,1362883,1334443,1306910,1280713,1257273,1239982,1229808,1225904,1225979,1228731,1233929,1241343,1250856,1262277,1275425,1289645,1304581,1320231,1336584,1353634,1371377,1389811,1408931,1428721,1449025,1469808,1491076,1512838,1535102,1557881,1581185,1605023,1629405
11: regular customers,1448848,1455831,1459966,1462321,1463303,1463221,1462411,1460521,1457195,1452058,1445159,1436812,1427672,1418025,1408711,1402531,1399871,1400595,1404269,1409672,1416773,1425437,1435725,1447781,1461517,1476879,1493585,1511025,1529220,1548173,1567876,1588334,1609554,1631542,1654305,1677804
12: regular customers,1448848,1420533,1391854,1362883,1334443,1306915,1280710,1257204,1239813,1229530,1225522,1225481,1228144,1233278,1240641,1250125,1261539,1274685,1288859,1303758,1319380,1335715,1352756,1370498,1388938,1408072,1427869,1448166,1468949,1490224,1511999,1534283,1557089,1580428,1604310,1628744
13: regular customers,1448848,1414623,1367436,1316068,1264514,1218522,1182268,1160106,1147135,1140400,1138815,1141960,1147447,1154635,1163426,1173705,1185112,1197205,1209997,1223424,1237540,1252514,1268350,1285011,1302388,1320465,1339279,1358831,1379107,1400089,1421763,1444117,1467143,1490834,1515182,1540179
14: regular customers,1448848,1257387,1117619,1057709,1033279,1025329,1024874,1027844,1033761,1041550,1050503,1060538,1071610,1083718,1096827,1110818,1125583,1141090,1157305,1174203,1191764,1209967,1228794,1248230,1268260,1288872,1310055,1331804,1354113,1376975,1400385,1424339,1448840,1473886,1499479,1525619
15: regular customers,1448848,1414623,1367436,1316068,1264518,1218579,1182445,1160414,1147570,1140921,1139463,1142692,1148307,1155484,1164357,1174730,1186271,1198509,1211451,1225124,1239482,1254525,1270379,1287072,1304494,1322626,1341459,1360986,1381215,1402164,1423819,1446166,1469197,1492904,1517277,1542310
16: regular customers,1448848,1257387,1117619,1057711,1033309,1025379,1024967,1027987,1033951,1041775,1050767,1060843,1071957,1084078,1097198,1111213,1126007,1141546,1157798,1174736,1192342,1210594,1229474,1248966,1269055,1289728,1310976,1332792,1355171,1378106,1401591,1425624,1450206,1475337,1501017,1527247
17: regular customers,1448848,1455499,1458750,1459861,1459240,1457264,1453218,1446282,1436673,1425241,1411875,1398445,1384982,1373190,1364904,1361000,1361403,1364461,1369836,1377362,1386846,1398137,1411116,1425674,1441572,1458157,1475389,1493292,1511870,1531125,1551055,1571664,1592957,1614788,1637049,1659746
18: regular customers,1448848,1420965,1392266,1363122,1334451,1305779,1279834,1257049,1240347,1231056,1228008,1228890,1232300,1237994,1245705,1255266,1266577,1279513,1293765,1308708,1324297,1340529,1357402,1374913,1393060,1411841,1431253,1451208,1471574,1492356,1513559,1535188,1557252,1579757,1602708,1626112
19: regular customers,1448848,1455499,1458750,1459861,1459240,1457264,1453219,1446284,1436670,1425226,1411840,1398363,1384872,1373062,1364792,1360885,1361303,1364346,1369721,1377255,1386754,1398068,1411075,1425663,1441594,1458215,1475475,1493407,1512019,1531309,1551279,1571931,1593267,1615158,1637483,1660246
20: regular customers,1448848,1420965,1392266,1363122,1334451,1305779,1279835,1257049,1240337,1231032,1227971,1228839,1232240,1237931,1245646,1255214,1266529,1279472,1293733,1308686,1324289,1340539,1357433,1374968,1393142,1411952,1431395,1451390,1471800,1492630,1513885,1535571,1557695,1580264,1603283,1626759
