Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,153571,169499,189127,211215,235384,261158,288869,319183,352363,387864,424818,462640,500801,537630,571699,602561,630290,656004,680444,703512,725373,746142,765783,784402,802125,819312,836412,853439,870403,887317,904191,921036,937865,954689,971548,988582
2: customers with PV,153571,204295,256143,308791,361248,413593,464116,511082,552229,586726,615458,640880,664162,685588,705451,723970,741332,757698,773439,789042,804528,819912,835206,850426,865584,880693,895766,910871,926131,941552,957137,972890,988815,1004918,1021202,1037673
3: customers with PV,153571,169499,189127,211215,235384,261158,288869,319183,352362,387860,424805,462610,500743,537505,571349,601810,629014,654119,677805,699973,720817,740461,758895,776228,792583,808341,823918,839337,854619,869782,884834,899786,914658,929465,944252,959160
4: customers with PV,153571,204295,256143,308791,361248,413593,464116,511080,552219,586703,615417,640822,664056,685248,704662,722546,739144,754637,769371,783841,798109,812199,826126,839903,853538,867040,880418,893768,907216,920763,934403,948140,961987,975953,990041,1004257
5: customers with PV,153571,206147,274112,347920,422460,493431,553607,599198,636407,667500,693255,715586,736719,756597,775228,793370,811387,829018,846307,863287,879910,896182,912235,928113,943847,959467,974997,990465,1005895,1021309,1036728,1052173,1067663,1083217,1098853,1114586
6: customers with PV,153571,362877,523027,605095,653318,685002,710111,732185,751624,769735,787071,803717,819752,835250,850291,865025,879530,893844,907998,922025,935956,949817,963635,977432,991232,1005054,1018916,1032838,1046835,1060925,1075121,1089436,1103884,1118478,1133231,1148153
7: customers with PV,153571,206147,274112,347920,422460,493431,553606,599191,636392,667471,693210,715533,735926,753893,769443,783531,796879,809320,820793,831548,841661,851141,860130,868684,876817,884610,892108,899367,906436,913330,920046,926614,933084,939495,945871,952231
8: customers with PV,153571,362877,523027,605095,653318,685002,710110,732183,751621,769730,787065,803380,817686,830217,841059,850612,859334,867479,875052,882132,888841,895235,901351,907235,912950,918516,923941,929271,934550,939781,944955,950092,955237,960422,965663,970974
9: customers with PV,153571,170680,191749,215587,241819,270008,300529,334166,371164,410815,451742,493526,534850,572472,606178,635833,663202,689118,713249,735739,756738,776333,794721,812745,830544,848131,865519,882722,899758,916640,933506,950508,967646,984925,1002346,1019912
10: customers with PV,153571,206963,262370,319425,377031,435032,490598,540811,582282,615759,644697,670587,693869,714930,734070,751629,768603,785256,801608,817680,833496,849077,864454,879839,895314,910881,926544,942304,958167,974136,990214,1006406,1022717,1039152,1055717,1072418
11: customers with PV,153571,170680,191749,215587,241819,270008,300529,334165,371156,410788,451659,493344,534451,571698,604784,633662,660218,685139,708059,729130,748540,766402,782994,799129,814861,830192,845117,859673,873912,887846,901637,915377,929086,942775,956446,970101
12: customers with PV,153571,206963,262370,319425,377031,435032,490596,540795,582223,615635,644509,670314,693438,714120,732647,749381,765390,780923,795941,810490,824631,838390,851805,865097,878306,891424,904465,917448,930387,943274,956091,968838,981539,994207,1006848,1019468
13: customers with PV,153571,207437,277242,353456,430637,503672,563572,608702,645531,675848,700727,723174,744270,763967,782548,800897,819023,836702,853985,870906,887436,903677,919683,935489,951130,966635,982034,997356,1012628,1027874,1043118,1058381,1073685,1089051,1104496,1120040
14: customers with PV,153571,366279,529844,611722,659485,690519,715855,737896,757381,775795,793346,810129,826231,841740,856827,871599,886103,900382,914474,928415,942240,955979,969661,983314,996961,1010626,1024327,1038087,1051923,1065852,1079890,1094050,1108347,1122795,1137405,1152204
15: customers with PV,153571,207437,277242,353456,430637,503672,563564,608670,645456,675709,700520,722925,743162,760814,776161,790218,803374,815502,826541,836715,846124,854876,863030,870629,877682,884280,890453,896270,901792,907025,911954,916609,921057,925348,929508,933561
16: customers with PV,153571,366279,529844,611722,659485,690519,715852,737888,757366,775774,793316,809703,823981,836406,847107,856434,864839,872597,879658,886107,892079,897638,902820,907681,912276,916620,920711,924606,928358,931963,935395,938675,941862,944997,948099,951182
17: customers with PV,153571,169837,190294,213624,239274,267566,299662,335660,374443,416251,458848,501817,543607,581900,615446,644863,671809,696833,720160,742023,762582,781978,800363,818403,836367,854260,872089,889864,907594,925289,942977,960868,979015,997422,1016095,1035039
18: customers with PV,153571,204476,257336,311386,366031,420985,473065,521531,562528,596429,624883,650543,674062,695739,715846,734579,752114,768760,785214,801549,817779,833915,849973,865963,881898,897843,913980,930327,946888,963669,980674,997908,1015377,1033088,1051046,1069259
19: customers with PV,153571,169837,190294,213624,239274,267566,299662,335660,374442,416249,458838,501793,543547,581786,615266,644626,671525,696499,719776,741589,762097,781444,799786,817803,835743,853612,871416,889166,906870,924538,942206,960082,978212,996603,1015259,1034186
20: customers with PV,153571,204476,257336,311386,366031,420985,473065,521530,562522,596415,624857,650505,674007,695665,715752,734461,751973,768602,785044,801366,817582,833704,849746,865721,881640,897574,913702,930039,946590,963360,980354,997575,1015032,1032730,1050675,1068875
21: customers with PV,153571,207791,279206,357474,437572,516463,577454,622891,659657,688779,713462,736739,758206,778139,797439,816110,834212,851804,868938,885707,902250,918598,934780,950822,966754,982602,998393,1014150,1029901,1045666,1061469,1077329,1093268,1109306,1125463,1141803
22: customers with PV,153571,363881,526086,609183,657109,688656,714089,736120,755608,774030,791696,808685,825071,840924,856364,871535,886478,901231,915827,930298,944676,958989,973266,987531,1001809,1016120,1030486,1044927,1059463,1074111,1088887,1103831,1119105,1134743,1150752,1167143
23: customers with PV,153571,207791,279206,357474,437572,516463,577453,622888,659647,688761,713438,736708,758166,778091,797385,816050,834146,851730,868857,885619,902155,918498,934672,950708,966633,982475,998259,1014010,1029754,1045513,1061310,1077164,1093098,1109131,1125282,1141621
24: customers with PV,153571,363881,526086,609183,657109,688656,714088,736119,755606,774027,791691,808678,825061,840911,856349,871517,886457,901207,915799,930266,944640,958950,973224,987485,1001759,1016066,1030429,1044867,1059399,1074043,1088816,1103758,1119032,1134668,1150677,1167067
25: customers with PV,153571,171027,192968,218138,245993,276955,312315,352087,395199,441438,488296,535060,577758,615211,647497,677093,704086,728792,751457,772291,791776,810942,829855,848517,866929,885098,903050,921076,939282,957665,976224,994957,1013864,1032947,1052205,1071640
26: customers with PV,153571,207155,263639,322233,382331,443015,500537,551575,592564,625677,654844,680907,704330,725457,744588,762656,780373,797756,814818,831577,848054,864369,880796,897349,914027,930832,947764,964824,982017,999345,1016809,1034416,1052218,1070233,1088465,1106919
27: customers with PV,153571,171027,192968,218138,245993,276955,312315,352087,395196,441420,488238,534887,577365,614529,646571,675942,702697,727163,749587,770184,789529,808581,827376,845916,864204,882248,900092,918045,936175,954479,972956,991604,1010425,1029419,1048586,1067929
28: customers with PV,153571,207155,263639,322233,382331,443015,500537,551567,592530,625604,654723,680721,704064,725100,744133,762153,779817,797141,814140,830833,847241,863510,879896,896406,913038,929794,946675,963683,980820,998090,1015496,1033047,1050796,1068757,1086933,1105329
29: customers with PV,153571,209093,282406,363194,446142,526586,586459,631701,667652,695778,720609,743825,765033,785149,804638,823433,841596,859190,876302,893104,909639,925939,942033,957955,973737,989409,1005000,1020540,1036058,1051578,1067127,1082726,1098401,1114203,1130348,1146880
30: customers with PV,153571,367302,532944,615778,663154,694230,719846,741821,761516,780259,798150,815277,831724,847613,863126,878318,893237,907926,922424,936767,950992,965133,979221,993285,1007352,1021447,1035593,1049813,1064127,1078594,1093383,1108516,1124002,1139848,1156062,1172652
31: customers with PV,153571,209093,282406,363194,446142,526586,586456,631685,667606,695694,720498,743676,764841,784931,804391,823154,841283,858842,875921,892691,909195,925462,941524,957414,973164,988805,1004366,1019876,1035365,1050858,1066380,1081955,1097606,1113394,1129533,1146059
32: customers with PV,153571,367302,532944,615778,663154,694229,719844,741816,761506,780244,798126,815243,831677,847553,863053,878231,893134,907807,922288,936614,950822,964946,979017,993064,1007115,1021193,1035323,1049528,1063828,1078288,1093074,1108203,1123684,1139526,1155735,1172321
33: customers with PV,153571,170325,191789,216538,244242,276381,313110,353173,396518,441061,485565,529062,567768,601001,629497,655180,678567,699945,719521,737506,754130,769751,785046,800071,814832,829302,843465,857341,870952,884448,897914,911353,924775,938172,951543,964895
34: customers with PV,153571,204761,258890,314630,371918,428261,481349,528971,568215,600199,627362,651964,674361,694911,713713,730853,746622,761789,776507,790855,804871,818595,832062,845283,858334,871336,884278,897175,910042,922874,935661,948402,961092,973743,986360,998949
35: customers with PV,153571,170325,191789,216538,244242,276381,313109,353169,396507,441020,485254,528076,565755,597733,624774,648956,670835,690699,708741,725146,740089,753947,767331,780262,792737,804802,816496,827844,838858,849640,860250,870690,880985,891151,901191,911111
36: customers with PV,153571,204761,258890,314630,371918,428260,481345,528954,568172,599940,626482,650061,671181,690256,707469,723054,737292,750924,764084,776776,789034,800857,812235,823185,833830,844364,854779,865082,875232,885213,895005,904613,914064,923376,932556,941610
37: customers with PV,153571,210009,285769,369063,457560,540204,597446,640766,673916,699879,723692,745162,764778,783021,798767,812245,823881,834037,843032,851085,858476,865266,871397,876806,881510,885547,888941,891780,894146,896013,897298,898055,898394,898423,898321,898105
38: customers with PV,153571,365307,529735,613122,660304,691018,715925,737337,756416,774511,791764,808269,824097,838158,849965,859814,868186,875579,882002,887728,892931,897639,901733,905231,908147,910518,912358,913753,914775,915402,915704,915719,915536,915214,914758,914178
39: customers with PV,153571,210009,285769,369063,457560,540199,597430,640732,673529,697221,716453,731770,744323,754954,763696,770702,776134,780135,782654,783842,783713,782361,779932,776793,773020,768656,763513,757630,751145,744087,736456,728330,719854,711144,702396,693678
40: customers with PV,153571,365307,529735,613122,660304,691016,715921,737331,755215,769886,781483,791008,798929,805155,809877,813136,815171,816054,815658,813992,811137,807228,802555,797370,791699,785532,778646,771157,763197,754821,746141,737221,728182,719103,710019,700967
41: customers with PV,153571,171530,194537,221231,251324,286462,326758,370994,418951,467873,516647,561369,599296,631266,659924,685453,708264,728592,746627,763330,779354,794716,809471,823625,837148,850126,862727,874961,886862,898407,909555,920289,930585,940447,949871,958877
42: customers with PV,153571,207460,265295,325767,388709,450957,509589,559006,597935,629701,657706,682485,704538,724230,742000,758942,775136,790590,805278,819251,832681,845887,858871,871606,883991,895994,907586,918804,929666,940150,950235,959898,969155,978020,986490,994562
43: customers with PV,153571,171530,194537,221231,251324,286462,326754,370973,418881,467669,515928,559431,595570,625468,651628,674372,694187,711330,725984,739166,751381,762618,772854,782080,790285,797721,804505,810632,816035,820625,824330,827121,829022,830037,830149,829375
44: customers with PV,153571,207460,265295,325767,388709,450954,509561,558891,597683,629093,656237,679597,699810,717265,732553,746845,760222,772670,784119,794573,804213,813256,821675,829449,836598,843103,848920,853987,858266,861712,864283,865982,866831,866837,865984,864256
45: customers with PV,153571,211322,289067,375052,466561,549608,606120,648816,680934,706770,730557,751803,771593,789949,805686,818993,830275,840000,848370,855573,861907,867421,871994,875553,878094,879649,880247,879981,878938,877056,874203,870448,866067,861155,855727,849787
46: customers with PV,153571,368761,536628,619593,666185,696588,721677,743034,762492,780890,798341,814950,830785,844807,856497,866066,874023,880844,886485,891249,895305,898658,901141,902768,903530,903467,902581,901020,898976,896315,892929,888832,884125,878874,873086,866768
47: customers with PV,153571,211322,289067,375052,466560,549585,606036,648649,680293,703721,722645,737249,749271,759057,766533,771830,775111,776585,776128,773811,769677,763815,756353,747624,737673,726522,713966,700003,684778,668293,650503,631488,611560,590848,569388,547211
48: customers with PV,153571,368761,536628,619593,666182,696581,721660,743004,761181,776009,787522,796679,803912,809184,812582,814086,813948,812233,808761,803525,796635,788210,778508,767756,755949,743073,728845,713398,696994,679610,661163,641690,621331,600179,578267,555632
49: customers with PV,153571,170607,192827,218747,249200,285728,327131,372880,421697,471854,521051,564566,600834,631308,658822,684026,707233,728693,748592,767162,785319,803309,821131,838788,856282,873617,890958,908509,926269,944235,962407,980784,999366,1018155,1037150,1056380
50: customers with PV,153571,205001,260087,317680,376815,435136,489153,537058,576327,608266,635982,661075,683915,704847,724108,741908,759019,775929,792643,809168,825513,841687,857746,873945,890322,906874,923603,940508,957592,974855,992297,1009920,1027755,1045841,1064181,1082780
51: customers with PV,153571,170607,192827,218747,249200,285728,327130,372876,421686,471822,520980,564424,600613,630950,658173,682960,705695,726656,746015,764040,781696,799234,816672,834031,851325,868575,885897,903428,921167,939113,957264,975619,994180,1012947,1031921,1051130
52: customers with PV,153571,205001,260087,317680,376815,435135,489150,537043,576290,608199,635894,660963,683679,704308,723096,740302,756787,773058,789096,804937,820636,836221,851771,867560,883630,899997,916670,933557,950622,967866,985290,1002895,1020712,1038781,1057104,1075686
53: customers with PV,153571,211338,290401,378785,477409,561351,617289,659204,690568,716937,740280,760992,780626,799473,817597,835064,851966,868495,884698,900602,916240,931638,946828,961836,976691,991420,1006049,1020603,1035236,1050212,1065541,1081229,1097285,1113715,1130525,1147725
54: customers with PV,153571,366489,533153,616570,663663,694057,719090,740630,760104,778649,796352,813302,829580,845369,860790,875881,890681,905226,919548,933680,947652,961496,975240,988910,1002533,1016191,1030146,1044426,1059038,1073985,1089274,1104910,1120901,1137253,1153973,1171069
55: customers with PV,153571,211338,290401,378785,477409,561348,617277,659178,690527,716887,740220,760174,777725,793446,807458,820123,831967,843363,854254,864822,875328,885934,896772,907979,919634,931838,944685,958392,972959,987901,1003196,1018851,1034873,1051268,1068044,1085208
56: customers with PV,153571,366489,533153,616570,663662,694056,719087,740624,760097,778639,796187,811601,824971,836794,847270,856753,865734,874438,882787,890972,899260,907813,916763,926241,936326,947153,959036,972200,986655,1001570,1016826,1032429,1048387,1064706,1081393,1098456
57: customers with PV,153571,171820,195629,223583,256655,296471,341870,392286,446127,501314,553146,596328,631483,662537,690305,715197,737516,757771,777404,796614,815393,833734,851667,869598,887637,905771,923987,942275,960623,979023,997490,1016090,1034824,1053686,1072671,1091777
58: customers with PV,153571,207712,266573,329067,394096,458558,518228,567709,606448,638823,667307,692450,714703,734510,753340,771684,789544,806929,823848,840611,857447,874347,891302,908304,925345,942421,959524,976708,994007,1011418,1028936,1046561,1064292,1082129,1100075,1118130
59: customers with PV,153571,171820,195629,223583,256655,296471,341868,392269,446054,501128,552649,595454,630289,660947,688135,712314,733864,753393,772302,790763,808822,826489,843832,861289,878948,896814,914885,933073,951323,969624,988000,1006513,1025159,1043934,1062835,1081857
60: customers with PV,153571,207712,266573,329067,394096,458556,518207,567618,606239,638522,666895,691909,713859,733192,751413,768977,785982,802483,818460,834297,850252,866355,882612,899006,915542,932231,949086,966175,983403,1000744,1018193,1035750,1053416,1071190,1089074,1107072
61: customers with PV,153571,212664,293772,385076,486768,569991,625267,666369,697030,723491,746687,767566,787496,806539,824764,842248,859211,875747,891886,907664,923117,938280,953190,967883,982393,996755,1011015,1025487,1040296,1055445,1070939,1086781,1102977,1119534,1136455,1153747
62: customers with PV,153571,369963,540110,622966,669406,699705,724913,746462,766380,785242,803144,820185,836532,852391,867806,882824,897492,911853,925947,939814,953493,967022,980435,993771,1007292,1021123,1035265,1049723,1064504,1079609,1095044,1110811,1126917,1143368,1160168,1177324
63: customers with PV,153571,212664,293772,385076,486768,569973,625207,666240,696840,723256,746403,766411,784121,799860,813709,826062,837605,848627,859047,869071,878997,889014,899282,909964,921139,932861,945229,958726,973417,988509,1003946,1019733,1035874,1052376,1069244,1086483
