Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: RETAIL PRICE,1.207143,1.210686,1.214299,1.217976,1.221917,1.225894,1.230006,1.234202,1.238390,1.242518,1.246449,1.250126,1.253572,1.256880,1.260066,1.263145,1.266129,1.269049,1.271953,1.274847,1.277732,1.280614,1.283509,1.286415,1.289332,1.292259,1.295190,1.298127,1.301070,1.304016,1.306956,1.309888,1.312812,1.315727,1.318636,1.321547
2: RETAIL PRICE,1.207143,1.211774,1.216776,1.222071,1.227407,1.232511,1.237238,1.241383,1.245016,1.248363,1.251472,1.254383,1.257139,1.259829,1.262477,1.265092,1.267691,1.270321,1.272986,1.275683,1.278414,1.281177,1.283970,1.286793,1.289640,1.292510,1.295397,1.298301,1.301211,1.304125,1.307048,1.309979,1.312917,1.315860,1.318806,1.321754
3: RETAIL PRICE,1.207143,1.210684,1.214294,1.217963,1.221895,1.225858,1.229945,1.234112,1.238262,1.242343,1.246216,1.249832,1.253221,1.256473,1.259606,1.262637,1.265580,1.268468,1.271346,1.274219,1.277088,1.279960,1.282849,1.285753,1.288671,1.291601,1.294538,1.297475,1.300410,1.303341,1.306268,1.309189,1.312105,1.315014,1.317935,1.320891
4: RETAIL PRICE,1.207143,1.211772,1.216766,1.222042,1.227346,1.232400,1.237056,1.241118,1.244666,1.247927,1.250951,1.253780,1.256461,1.259083,1.261669,1.264232,1.266814,1.269439,1.272105,1.274809,1.277550,1.280327,1.283137,1.285979,1.288848,1.291739,1.294638,1.297539,1.300443,1.303355,1.306279,1.309211,1.312152,1.315098,1.318053,1.321053
5: RETAIL PRICE,1.207143,1.211096,1.215755,1.220597,1.224729,1.227715,1.230148,1.232467,1.234789,1.237193,1.239721,1.242348,1.245086,1.247925,1.250844,1.253828,1.256871,1.259962,1.263083,1.266225,1.269384,1.272545,1.275745,1.278968,1.282200,1.285439,1.288681,1.291921,1.295159,1.298389,1.301612,1.304823,1.308025,1.311222,1.314412,1.317594
6: RETAIL PRICE,1.207143,1.217550,1.224579,1.226538,1.227288,1.228125,1.229484,1.231292,1.233467,1.235841,1.238370,1.241036,1.243818,1.246697,1.249652,1.252670,1.255752,1.258905,1.262098,1.265318,1.268561,1.271821,1.275130,1.278445,1.281760,1.285071,1.288380,1.291689,1.294995,1.298296,1.301589,1.304873,1.308147,1.311410,1.314660,1.317898
7: RETAIL PRICE,1.207143,1.211087,1.215705,1.220466,1.224487,1.227366,1.229725,1.231999,1.234273,1.236644,1.239156,1.241781,1.244525,1.247375,1.250307,1.253308,1.256367,1.259474,1.262612,1.265762,1.268916,1.272113,1.275316,1.278535,1.281765,1.285003,1.288244,1.291484,1.294721,1.297952,1.301174,1.304385,1.307587,1.310783,1.313973,1.317153
8: RETAIL PRICE,1.207143,1.217500,1.224294,1.225989,1.226562,1.227377,1.228756,1.230602,1.232774,1.235156,1.237702,1.240390,1.243198,1.246104,1.249088,1.252134,1.255238,1.258392,1.261585,1.264808,1.268061,1.271367,1.274681,1.277999,1.281316,1.284630,1.287942,1.291253,1.294561,1.297864,1.301158,1.304443,1.307716,1.310978,1.314228,1.317463
9: RETAIL PRICE,1.207143,1.211150,1.215316,1.219798,1.224585,1.229123,1.232776,1.235370,1.237393,1.239144,1.240885,1.242679,1.244599,1.246707,1.249014,1.251476,1.254103,1.256861,1.259706,1.262630,1.265623,1.268677,1.271781,1.274954,1.278206,1.281471,1.284744,1.288020,1.291293,1.294561,1.297820,1.301066,1.304299,1.307520,1.310726,1.313916
