Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: regular customers,1448848,1439282,1425731,1409479,1391186,1371298,1350374,1328667,1307240,1286777,1270577,1259764,1253791,1250608,1250056,1252001,1256427,1262851,1270260,1278619,1287961,1298199,1309018,1320404,1332354,1344881,1358022,1371747,1386039,1400903,1416345,1432373,1449001,1466237,1484047,1502260
2: regular customers,1448848,1404334,1359157,1314034,1270257,1230599,1197669,1176001,1163867,1156762,1153807,1154454,1158161,1163388,1169828,1177449,1186108,1195421,1205356,1215916,1227106,1238920,1251307,1264256,1277768,1291845,1306489,1321704,1337494,1353760,1370376,1387350,1404691,1422406,1440502,1458988
3: regular customers,1448848,1439266,1425655,1409298,1390857,1370780,1349630,1327690,1306039,1285426,1269194,1258413,1252432,1249251,1248727,1250727,1255221,1261654,1269063,1277432,1286791,1297026,1307836,1319220,1331174,1343709,1356857,1370589,1384891,1399770,1415231,1431282,1447937,1465204,1483028,1501247
4: regular customers,1448848,1404318,1359086,1313870,1269974,1230191,1197197,1175507,1163340,1156212,1153253,1153915,1157618,1162824,1169251,1176866,1185511,1194807,1204729,1215281,1226466,1238278,1250664,1263615,1277133,1291219,1305875,1321105,1336914,1353185,1369806,1386786,1404133,1421855,1439960,1458454
5: regular customers,1448848,1375540,1294729,1217431,1154589,1118119,1098445,1087612,1083748,1083740,1085672,1089526,1094624,1100661,1107645,1115571,1124372,1133985,1144464,1155822,1168033,1181097,1194885,1209047,1223572,1238467,1253736,1269398,1285470,1301958,1318868,1336209,1353960,1372040,1390448,1409192
6: regular customers,1448848,1223816,1079472,1028555,1008596,1001346,999116,1000127,1002819,1007174,1013070,1020205,1028487,1037859,1048274,1059698,1071883,1084435,1097346,1110624,1124277,1138310,1152729,1167539,1182744,1198350,1214304,1230545,1247079,1263910,1281043,1298483,1316238,1334315,1352722,1371463
7: regular customers,1448848,1375506,1294587,1217160,1154251,1117790,1098109,1087309,1083489,1083499,1085451,1089321,1094419,1100451,1107436,1115365,1124172,1133789,1144270,1155633,1167854,1180930,1194722,1208886,1223414,1238312,1253585,1269252,1285328,1301821,1318737,1336085,1353841,1371925,1390338,1409087
8: regular customers,1448848,1223790,1079448,1028547,1008599,1001352,999120,1000143,1002838,1007177,1013061,1020189,1028465,1037835,1048248,1059672,1071858,1084409,1097321,1110600,1124255,1138290,1152711,1167524,1182732,1198343,1214301,1230545,1247083,1263919,1281056,1298500,1316260,1334342,1352753,1371499
9: regular customers,1448848,1422702,1384545,1335314,1275903,1211991,1159803,1129284,1110756,1102211,1099315,1099349,1102012,1106104,1111473,1118123,1125986,1134905,1144859,1155838,1167818,1180768,1194496,1208615,1223116,1238007,1253292,1268981,1285084,1301608,1318558,1335942,1353732,1371850,1390297,1409080
