Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,153571,168596,186832,207223,229378,253005,277774,304004,332047,362252,394464,427700,461107,494697,528011,558729,586767,612290,635299,656838,677346,696988,715545,733019,749517,765105,779837,793758,807334,820693,833825,846740,859461,872008,884389,896605
2: customers with PV,153571,203302,253482,304056,354206,403539,451723,497112,537932,572601,601721,626353,648548,668754,687262,704310,720082,734748,748424,761376,774082,786584,798891,810998,822905,834618,846136,857480,868665,879702,890688,901648,912604,923559,934506,945450
3: customers with PV,153571,168596,186832,207223,229375,252979,277677,303770,331597,361466,393203,425859,458579,491329,523602,553042,579549,603403,624657,644363,662899,680430,696786,711921,725937,738932,750979,762141,772876,783306,793420,803228,812759,822033,831062,839855
4: customers with PV,153571,203302,253482,304056,354177,403337,451097,495814,535727,569311,597334,620863,641847,660675,677550,692784,706670,719378,731012,741807,752247,762373,772200,781738,790987,799950,808626,817042,825224,833182,841006,848724,856358,863921,871418,878851
5: customers with PV,153571,204235,268642,338231,409086,475637,533905,579606,617079,647709,671692,689800,704975,718282,729949,740050,748998,757341,764977,772039,778565,784427,789610,794155,798141,801598,804470,806815,808698,810124,811069,811574,811742,811640,811287,810671
6: customers with PV,153571,361204,519261,601210,648994,681127,705753,727446,745699,760689,773022,783257,792026,799757,806341,811874,816706,820960,824569,827612,830186,832289,833955,835220,836081,836554,836611,836316,835751,834907,833748,832307,830677,828905,826972,824900
7: customers with PV,153571,204235,268642,338231,408787,473815,528817,569900,601722,626732,645484,658572,668329,675646,680345,683170,684831,685892,686249,685789,684720,683048,680689,677712,674190,670208,665771,660960,655843,650429,644697,638702,632579,626408,620224,614055
8: customers with PV,153571,361204,519261,600736,645931,673457,692179,707006,718383,727119,733762,738217,740621,741051,739742,737404,734441,730973,726730,721778,716326,710494,704338,697909,691207,684255,677054,669710,662309,654844,647278,639647,632072,624628,617333,610201
9: customers with PV,153571,168596,186832,207223,229378,253005,277774,304004,332047,362252,394468,427908,461764,495990,529921,561042,589222,614524,637098,658115,677778,696226,713270,728892,743181,756182,768020,779220,789887,800004,809528,818454,826805,834595,841824,848499
10: customers with PV,153571,203912,255033,306887,358667,410003,460205,507636,549342,584387,613410,638493,660945,681113,699319,715728,730551,743990,756595,768712,780376,791606,802393,812711,822540,831871,840690,849160,857333,865175,872637,879706,886404,892741,898705,904288
11: customers with PV,153571,168596,186832,207223,229375,252979,277669,303730,331483,361205,392662,425032,457502,489956,521570,549879,574710,596331,615108,632102,647372,661051,673057,683271,691773,698630,704057,708561,712134,714741,716328,716882,716437,715009,712592,709220
12: customers with PV,153571,203912,255033,306887,358636,409782,459489,506071,546552,580014,607260,630398,650622,668232,683451,696546,707840,717537,726188,734018,741064,747340,752839,757553,761447,764498,766691,768181,768999,769094,768391,766864,764533,761399,757441,752637
13: customers with PV,153571,204235,268642,338231,409086,475637,533905,579606,617088,647818,671900,689968,704956,717896,728986,738253,746230,753384,759579,764938,769520,773194,775922,777736,778693,778791,777953,776259,773782,770502,766362,761395,755723,749425,742532,735073
14: customers with PV,153571,362042,521243,603284,651147,683057,707871,729649,747885,763018,775379,785483,793936,801174,807027,811614,815297,818196,820206,821402,821894,821663,820725,819108,816784,813751,809973,805524,800489,794840,788505,781511,773971,765954,757482,748574
15: customers with PV,153571,204235,268642,338231,408787,473796,528676,569462,600801,625157,642990,654785,662918,668233,670492,670380,668777,666187,662459,657484,651421,644342,636166,626974,616875,605924,594127,581631,568544,554864,540783,526459,512055,497680,483386,469322
16: customers with PV,153571,362042,521243,602797,648030,675224,693903,708429,719218,727309,732951,735990,736541,734688,730595,725004,718343,710772,702044,692166,681373,669769,657411,644356,630611,616284,601378,586038,570387,554430,538371,522361,506539,490988,475745,461132
17: customers with PV,153571,168931,188065,209724,233516,259088,287159,318566,353116,389968,429243,469103,509213,547881,583533,615394,643602,669779,694196,717054,738578,758903,778158,796465,814058,831556,849023,866465,883891,901308,918725,936149,953590,971193,989071,1007230
18: customers with PV,153571,203483,254636,306683,358723,411238,461472,508601,549992,584514,613370,638801,662175,683719,703639,722176,739563,755976,771675,787266,802834,818405,833986,849532,865050,880550,896042,911621,927422,943449,959708,976202,992939,1009924,1027165,1044668
19: customers with PV,153571,168931,188065,209724,233516,259087,287135,318471,352877,389458,428287,467518,506800,544444,578850,609336,636066,660710,683517,704690,724465,743021,760508,777060,792904,808652,824365,840064,855770,871526,887349,903262,919316,935716,952611,970017
20: customers with PV,153571,203483,254636,306683,358723,411196,461224,507907,548625,582273,610072,634296,656294,676349,694746,711720,727484,742217,756195,770015,783754,797437,811083,824713,838340,851968,865594,879321,893297,907541,922087,936958,952188,967857,984012,1000678
21: customers with PV,153571,205876,274100,348552,424159,497948,560214,606071,644065,675051,700206,723165,744372,763518,780804,797335,813302,828869,843945,858687,873343,888137,903166,918509,934182,949889,965539,981157,996764,1012384,1028034,1043737,1059510,1075374,1091346,1107443
22: customers with PV,153571,362209,522407,605016,653245,684874,710044,731965,751254,769264,786547,802782,817484,830997,843431,855209,866812,878416,889900,901402,913135,925210,937704,950692,964201,978199,992310,1006497,1020778,1035170,1049688,1064345,1079156,1094136,1109297,1124742
23: customers with PV,153571,205876,274100,348552,424157,497342,557564,599744,633021,658556,677566,693686,707727,719973,730448,740261,749504,758217,766379,774104,781555,788921,796290,803717,811229,818851,826515,834274,842191,850329,858839,867795,877326,887803,899393,912180
24: customers with PV,153571,362209,522407,604991,652066,680892,701618,717963,730990,742283,752300,760924,768361,774858,780511,785622,790502,795266,799863,804385,808961,813666,818556,823681,829062,834737,840643,846782,853211,859966,867194,874984,883444,892929,903623,915605
25: customers with PV,153571,168931,188065,209724,233516,259088,287159,318566,353198,390538,430760,471985,513824,553954,590809,623419,652416,679471,704612,728042,749933,770411,789625,808053,826380,844612,862744,880775,898707,916539,934328,952332,970582,989081,1007826,1026818
26: customers with PV,153571,204107,256256,309704,363575,418313,470820,520093,562360,597229,626443,652751,676720,698614,718675,737142,754268,770824,787209,803446,819576,835624,851606,867488,883337,899364,915578,931981,948573,965356,982330,999498,1016861,1034423,1052186,1070154
27: customers with PV,153571,168931,188065,209724,233516,259087,287135,318470,352941,389960,429598,469929,510524,548957,583670,613855,640318,664720,687025,707480,726278,743622,759708,775138,790475,805708,820841,835911,850961,866060,881305,896981,913179,929954,947352,965373
28: customers with PV,153571,204107,256256,309704,363575,418266,470550,519306,560755,594502,622311,646941,668912,688583,706245,722156,736599,750393,763886,777110,790132,802989,815718,828353,841013,853895,866973,880280,893856,907728,921961,936605,951735,967416,983696,1000615
29: customers with PV,153571,205876,274100,348552,424159,497948,560224,606275,644554,675775,701119,724322,745706,764951,782418,799121,815231,830920,846087,860885,875606,890460,905529,920893,936576,952303,967954,983554,999127,1014695,1030280,1045902,1061583,1077342,1093200,1109174
30: customers with PV,153571,363066,524464,607202,655457,686983,712335,734333,753705,771947,789421,805779,820553,834105,846576,858398,870019,881618,893076,904531,916201,928198,940601,953489,966888,980791,994819,1008916,1023102,1037394,1051806,1066355,1081056,1095963,1111225,1126859
31: customers with PV,153571,205876,274100,348552,424157,497342,557553,599817,633149,658555,677237,692933,706289,717601,727029,735648,743565,750849,757456,763515,769269,774942,780627,786406,792320,798371,804478,810744,817270,824183,831659,839794,848792,858982,870506,883392
32: customers with PV,153571,363066,524464,607173,654252,682931,703733,719957,732771,743900,753559,761584,768184,773639,778069,781812,785193,788354,791227,793928,796627,799441,802461,805768,809399,813398,817651,822218,827191,832661,838819,845765,853684,862900,873554,885757
33: customers with PV,153571,169417,189610,212764,238290,266937,299686,335797,374594,415711,456726,497254,535297,568896,597217,621454,643142,662616,680136,695847,709915,722496,733774,744374,754460,764033,773086,781644,789731,797346,804478,811228,817733,824004,830043,835852
34: customers with PV,153571,203741,256229,309954,364670,418976,470333,517271,556236,587788,613703,636539,656897,675068,691274,705678,718576,730305,741417,751967,761993,771512,780534,789069,797114,804685,811922,818891,825608,832061,838231,844118,849746,855129,860271,865176
35: customers with PV,153571,169417,189610,212763,238267,266846,299453,335321,373771,414409,454709,494205,530908,562871,589301,611505,631063,648226,663227,676305,687659,697451,705866,713533,720592,727052,732925,738237,743012,747249,750939,754197,757142,759788,762134,764184
36: customers with PV,153571,203741,256229,309945,364540,418483,469198,515321,553400,583878,608379,629611,648087,664172,678136,690220,700672,709783,718148,725866,732994,739552,745551,751002,755903,760271,764248,767897,771233,774243,776907,779226,781224,782915,784300,785385
37: customers with PV,153571,208261,280935,360487,443028,523523,582197,624191,654231,675255,691426,704416,713698,719977,723650,724967,724803,723068,719455,714274,707848,700330,691837,682481,672325,661456,649933,637918,625610,613086,600364,587523,574690,561952,549433,537332
38: customers with PV,153571,363593,526148,609337,656668,687496,710710,727703,740435,751074,759462,765513,769117,770333,768968,765970,761840,756334,749303,740928,731459,721034,709797,697916,685448,672468,659028,645281,631374,617419,603430,589472,575667,562179,549143,536737
39: customers with PV,153571,208261,280935,360383,441671,518947,572780,609936,635166,650238,659293,664448,665302,662868,658100,651203,642678,632819,621692,609613,596902,583706,570139,556307,542458,528747,515207,501942,489029,476482,464501,453186,442560,432616,423325,414660
40: customers with PV,153571,363593,526148,607600,650399,675126,692036,703540,710429,713746,714190,711437,705769,697693,687517,675750,662905,649220,634662,619514,604045,588390,572641,556882,541358,526229,511503,497257,483546,470429,458109,446574,435827,425910,416829,408523
41: customers with PV,153571,169417,189610,212764,238290,266937,299686,335994,375451,417641,459980,501891,540454,573706,600800,623809,643727,660842,675358,687301,696850,704371,710603,715556,719160,721356,722080,721325,719140,715663,710809,704526,696816,687669,677050,664932
42: customers with PV,153571,204385,257941,313212,369969,426715,480602,529410,569133,600675,626925,649758,669530,686549,700974,712999,723462,732994,741404,748624,754671,759527,763160,765718,767229,767622,766809,764763,761457,756806,750698,743068,733902,723170,710852,697035
43: customers with PV,153571,169417,189610,212763,238267,266836,299402,335356,374227,415500,456456,496419,532289,562250,585558,604540,620012,632174,641160,647122,650282,651136,650288,647686,643245,636901,628614,618409,606440,592794,577399,560249,541598,521839,501106,479548
44: customers with PV,153571,204385,257941,313202,369827,426139,479188,526770,564964,594597,618482,638585,655126,668503,678892,686528,692245,696513,699189,700234,699652,697407,693467,687981,680925,672217,661756,649521,635497,619698,602098,582703,561591,539055,515634,491526
