Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: regular customers,1448848,1453290,1453326,1450345,1444641,1434525,1419924,1401670,1380442,1358251,1336213,1316691,1303713,1297593,1296314,1298016,1302453,1309322,1318393,1329492,1342379,1356200,1370794,1386180,1402352,1419302,1437025,1455517,1474601,1494176,1514249,1534830,1555929,1577556,1599720,1622430
2: regular customers,1448848,1418536,1385018,1349450,1312587,1277108,1246134,1221999,1207438,1200877,1198878,1200056,1204042,1210519,1219289,1230139,1242254,1255170,1268872,1283350,1298597,1314602,1331356,1348712,1366533,1384825,1403596,1422853,1442607,1462863,1483627,1504906,1526711,1549049,1571928,1595343
3: regular customers,1448848,1453290,1453326,1450345,1444641,1434525,1419922,1401655,1380396,1358154,1336051,1316482,1303477,1297349,1296050,1297740,1302172,1309043,1318121,1329231,1342120,1355933,1370522,1385904,1402073,1419022,1436745,1455236,1474311,1493878,1513944,1534519,1555612,1577234,1599394,1622100
4: regular customers,1448848,1418536,1385018,1349450,1312587,1277107,1246127,1221978,1207396,1200816,1198795,1199954,1203926,1210395,1219161,1230011,1242116,1255023,1268717,1283190,1298432,1314434,1331185,1348533,1366346,1384631,1403394,1422645,1442393,1462643,1483402,1504678,1526479,1548813,1571690,1595101
5: regular customers,1448848,1407086,1344550,1271847,1188472,1126223,1095431,1079876,1075260,1075296,1078481,1084597,1092190,1101045,1111091,1122278,1134554,1147756,1161796,1176655,1192328,1208800,1226039,1244019,1262715,1282103,1302163,1322879,1344235,1366217,1388811,1412007,1435712,1459809,1484307,1509214
6: regular customers,1448848,1247144,1091066,1033688,1013398,1008270,1008213,1012074,1017991,1025328,1033967,1043817,1054807,1066785,1079672,1093421,1107996,1123358,1139466,1156288,1173798,1191969,1210778,1230205,1250230,1270836,1292011,1313742,1335900,1358422,1381313,1404583,1428241,1452297,1476759,1501636
7: regular customers,1448848,1407086,1344550,1271847,1188472,1126221,1095424,1079863,1075242,1075272,1078454,1084566,1092155,1101006,1111050,1122236,1134511,1147712,1161752,1176610,1192284,1208756,1225997,1243978,1262675,1282065,1302127,1322844,1344202,1366186,1388781,1411979,1435683,1459779,1484276,1509182
8: regular customers,1448848,1247144,1091066,1033688,1013398,1008269,1008210,1012069,1017983,1025317,1033953,1043800,1054788,1066765,1079650,1093399,1107974,1123335,1139443,1156265,1173775,1191947,1210757,1230184,1250210,1270817,1291993,1313725,1335882,1358402,1381292,1404560,1428217,1452272,1476733,1501609
9: regular customers,1448848,1449564,1445058,1436599,1424185,1405950,1382139,1353180,1322057,1291136,1266172,1250843,1242684,1239191,1239875,1244260,1251959,1261569,1272268,1284055,1296928,1310875,1325800,1341320,1357409,1374077,1391333,1409187,1427650,1446729,1466428,1486752,1507663,1529151,1551223,1573888
10: regular customers,1448848,1412860,1371569,1326082,1277853,1231810,1193971,1170895,1159025,1153042,1151968,1155083,1161718,1170040,1179580,1190315,1202212,1215226,1228976,1243291,1258182,1273655,1289717,1306374,1323628,1341483,1359943,1378972,1398549,1418678,1439365,1460616,1482438,1504837,1527820,1551392
11: regular customers,1448848,1449564,1445058,1436599,1424185,1405950,1382126,1353092,1321814,1290673,1265556,1250167,1241924,1238395,1239078,1243497,1251245,1260828,1271511,1283292,1296166,1310122,1325033,1340529,1356597,1373248,1390490,1408334,1426790,1445864,1465563,1485888,1506794,1528280,1550352,1573020
12: regular customers,1448848,1412860,1371569,1326082,1277853,1231808,1193937,1170808,1158870,1152823,1151699,1154788,1161406,1169689,1179198,1189911,1201795,1214796,1228518,1242808,1257676,1273130,1289175,1305818,1323061,1340909,1359362,1378381,1397950,1418074,1438757,1460006,1481828,1504229,1527216,1550793
13: regular customers,1448848,1402956,1334405,1253273,1163577,1106310,1077866,1065772,1062480,1063071,1067125,1073145,1080643,1089550,1099781,1111229,1123686,1137099,1151424,1166629,1182697,1199594,1217282,1235726,1254893,1274753,1295282,1316458,1338262,1360612,1383339,1406443,1429936,1453826,1478123,1502835
14: regular customers,1448848,1239771,1077721,1022162,1004176,998825,999017,1002750,1008279,1015449,1024109,1034104,1045186,1057319,1070439,1084486,1099409,1115155,1131674,1148923,1166868,1185475,1204715,1224562,1244994,1265873,1287096,1308671,1330609,1352917,1375601,1398671,1422136,1446007,1470291,1494999
15: regular customers,1448848,1402956,1334405,1253273,1163577,1106302,1077835,1065721,1062401,1062971,1067010,1073009,1080490,1089386,1099611,1111054,1123508,1136921,1151248,1166456,1182529,1199432,1217127,1235578,1254752,1274621,1295158,1316342,1338155,1360502,1383223,1406322,1429809,1453694,1477985,1502693
16: regular customers,1448848,1239771,1077721,1022162,1004175,998820,999005,1002726,1008242,1015400,1024049,1034034,1045109,1057236,1070352,1084398,1099320,1115068,1131588,1148840,1166787,1185398,1204642,1224493,1244929,1265803,1287020,1308591,1330524,1352827,1375506,1398571,1422032,1445898,1470178,1494881
17: regular customers,1448848,1452602,1450877,1444970,1432369,1413291,1388431,1359238,1327785,1298581,1277101,1264259,1258390,1256313,1257431,1261441,1268106,1277210,1287986,1299546,1311907,1325085,1339089,1353928,1369317,1385106,1401307,1417934,1435000,1452518,1470496,1488948,1507852,1527162,1546888,1567040
