Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
1: RETAIL PRICE,0.1246,0.126328,0.128212,0.130346,0.132671,0.135215,0.137897,0.140645,0.143426,0.146195,0.148861,0.1514,0.153833,0.156213,0.158558,0.160871,0.163159,0.165421,0.167656,0.169862,0.172052,0.174238,0.17642,0.178599,0.180774,0.182945,0.185112,0.187276,0.189436,0.191592,0.193745,0.195895,0.198045,0.200195,0.202345,0.204493
2: RETAIL PRICE,0.1246,0.126771,0.129095,0.131577,0.13422,0.136967,0.139751,0.142517,0.145192,0.147731,0.150156,0.152536,0.154877,0.157181,0.159455,0.161703,0.163928,0.166135,0.168336,0.170528,0.172713,0.174891,0.177066,0.179236,0.181402,0.183562,0.185719,0.187875,0.190033,0.192192,0.19435,0.196506,0.198661,0.200815,0.202968,0.20512
3: RETAIL PRICE,0.1246,0.126328,0.128212,0.130346,0.132671,0.135215,0.137897,0.140645,0.143426,0.146195,0.148861,0.1514,0.153828,0.156188,0.1585,0.160773,0.163014,0.165226,0.167411,0.169571,0.171715,0.173854,0.175989,0.178118,0.180241,0.182357,0.184465,0.186563,0.188654,0.190736,0.19281,0.194881,0.196949,0.199014,0.201077,0.203137
4: RETAIL PRICE,0.1246,0.126771,0.129095,0.131577,0.13422,0.136967,0.139751,0.142517,0.145192,0.147731,0.150156,0.152536,0.154869,0.157149,0.159387,0.161591,0.163766,0.165922,0.168074,0.170219,0.172356,0.174488,0.176613,0.178732,0.180844,0.182948,0.185043,0.187132,0.189217,0.191299,0.193377,0.195451,0.197523,0.199591,0.201656,0.203716
5: RETAIL PRICE,0.1246,0.126328,0.128212,0.130346,0.132671,0.135215,0.137897,0.140645,0.143426,0.146195,0.148861,0.1514,0.153833,0.156213,0.158558,0.160871,0.163159,0.165421,0.167656,0.169862,0.172051,0.174234,0.176412,0.178586,0.180754,0.182917,0.185073,0.187223,0.189368,0.191508,0.19364,0.195766,0.197888,0.200007,0.202121,0.204231
6: RETAIL PRICE,0.1246,0.126771,0.129095,0.131577,0.13422,0.136967,0.139751,0.142517,0.145192,0.147731,0.150156,0.152536,0.154877,0.157181,0.159455,0.161703,0.163928,0.166135,0.168336,0.170528,0.17271,0.174886,0.177057,0.179221,0.18138,0.183531,0.185677,0.18782,0.189963,0.192105,0.194245,0.196379,0.19851,0.200637,0.20276,0.20488
7: RETAIL PRICE,0.1246,0.126328,0.128212,0.130346,0.132671,0.135215,0.137897,0.140645,0.143426,0.146195,0.148861,0.1514,0.153828,0.156188,0.158496,0.160763,0.162995,0.165196,0.167367,0.169508,0.171629,0.173741,0.175845,0.177939,0.180022,0.182093,0.18415,0.186192,0.18822,0.190234,0.192231,0.194215,0.196189,0.198152,0.200103,0.202043
8: RETAIL PRICE,0.1246,0.126771,0.129095,0.131577,0.13422,0.136967,0.139751,0.142517,0.145192,0.147731,0.150156,0.152536,0.154869,0.157148,0.159383,0.161581,0.163747,0.165891,0.168028,0.170154,0.172269,0.174374,0.176468,0.178552,0.180624,0.182683,0.184727,0.186759,0.188782,0.190795,0.192797,0.194787,0.196766,0.198735,0.200692,0.202636
9: RETAIL PRICE,0.1246,0.12682,0.129679,0.133688,0.13776,0.140839,0.143468,0.145898,0.148277,0.150609,0.152922,0.155229,0.157527,0.159813,0.162089,0.164358,0.166591,0.168787,0.170941,0.173036,0.175083,0.177108,0.179115,0.181105,0.18308,0.18504,0.186986,0.188919,0.190841,0.192749,0.194637,0.196507,0.198361,0.200203,0.202033,0.203852
10: RETAIL PRICE,0.1246,0.128793,0.133462,0.136955,0.139698,0.142157,0.14454,0.146869,0.149179,0.151483,0.153776,0.156061,0.158335,0.160601,0.162861,0.165113,0.167317,0.169485,0.17161,0.173675,0.175696,0.177697,0.17968,0.181647,0.183601,0.185543,0.187471,0.189387,0.191291,0.19318,0.195052,0.196906,0.198745,0.200575,0.202397,0.204211
11: RETAIL PRICE,0.1246,0.12682,0.129679,0.133688,0.13776,0.140839,0.143468,0.145898,0.148277,0.150609,0.152922,0.155226,0.157434,0.159546,0.161596,0.163603,0.165572,0.167516,0.169431,0.171305,0.173138,0.174945,0.176728,0.17849,0.18023,0.181945,0.183633,0.185292,0.186931,0.188549,0.19014,0.191702,0.193244,0.194775,0.196297,0.197809
12: RETAIL PRICE,0.1246,0.128793,0.133462,0.136955,0.139698,0.142157,0.14454,0.146869,0.149179,0.151483,0.153776,0.156054,0.158224,0.160301,0.162324,0.164305,0.166246,0.168162,0.17005,0.171894,0.173698,0.175475,0.17723,0.178965,0.180679,0.182369,0.184032,0.185666,0.187283,0.188879,0.190448,0.191991,0.193516,0.195033,0.196543,0.198047
13: RETAIL PRICE,0.1246,0.12682,0.129679,0.133688,0.13776,0.140839,0.143468,0.145898,0.148277,0.150609,0.152922,0.155229,0.157527,0.159813,0.162089,0.164358,0.166591,0.168787,0.170941,0.173034,0.175076,0.177093,0.179091,0.18107,0.18303,0.184973,0.186898,0.188805,0.190699,0.192573,0.194423,0.196247,0.198049,0.199833,0.2016,0.203349
14: RETAIL PRICE,0.1246,0.128793,0.133462,0.136955,0.139698,0.142157,0.14454,0.146869,0.149179,0.151483,0.153776,0.156061,0.158335,0.160601,0.162861,0.165113,0.167317,0.169485,0.17161,0.173673,0.175689,0.177682,0.179656,0.181612,0.183552,0.185476,0.187383,0.189274,0.191151,0.193008,0.194842,0.19665,0.198438,0.200212,0.201971,0.203717
15: RETAIL PRICE,0.1246,0.12682,0.129679,0.133688,0.13776,0.140839,0.143468,0.145898,0.148277,0.150609,0.152922,0.155226,0.157434,0.159543,0.161585,0.16358,0.16553,0.16745,0.169336,0.171172,0.172957,0.174707,0.176426,0.178115,0.179772,0.181393,0.182975,0.184519,0.186032,0.187512,0.18895,0.190345,0.191706,0.19304,0.194348,0.195629
