Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
1: regular customers,45674,45511.62354,45002.10318,43949.75874,42502.6265,40814.78097,39180.25893,37654.47032,36266.91978,35069.38801,34163.90169,33533.16986,33113.6541,32813.36908,32596.79922,32449.74847,32360.30879,32320.2662,32322.50109,32360.04591,32419.55693,32491.2262,32575.14099,32670.74163,32777.37738,32894.4384,33021.36995,33157.6794,33302.955,33456.74928,33617.84219,33782.86,33951.56509,34124.01806,34300.22176,34480.22885
2: regular customers,45674,44409.58227,42811.1286,40977.76622,39181.79169,37478.60637,35939.93367,34629.91015,33622.74898,32934.13746,32483.60281,32149.75364,31910.03074,31753.17017,31661.18877,31623.41971,31631.34365,31671.57441,31726.56268,31794.04618,31873.05084,31964.2984,32067.31685,32181.428,32306.01792,32440.5208,32584.2179,32733.34623,32886.89267,33044.68982,33206.6169,33372.56866,33542.58482,33716.669,33894.75932,34076.8086
3: regular customers,45674,45511.62354,45002.10318,43949.75874,42502.6265,40814.78097,39180.25893,37654.47032,36266.91978,35069.38801,34163.90169,33533.16986,33113.65618,32813.39496,32596.88684,32449.9363,32360.62574,32320.73072,32323.1196,32360.81369,32420.5435,32492.44156,32576.57889,32672.39118,32779.22416,32896.46146,33023.54497,33159.98404,33305.37243,33459.2642,33620.52799,33785.92308,33955.00492,34127.83377,34304.40808,34484.74118
4: regular customers,45674,44409.58227,42811.1286,40977.76622,39181.79169,37478.60637,35939.93367,34629.91015,33622.74898,32934.13746,32483.60281,32149.75364,31910.03393,31753.1957,31661.26525,31623.57342,31631.59332,31671.95673,31727.10705,31794.76915,31873.96309,31965.42234,32068.74204,32183.13758,32307.9874,32442.70162,32586.59682,32735.99815,32889.85437,33047.95833,33210.21548,33376.52567,33546.91807,33721.39953,33899.93262,34082.45626
5: regular customers,45674,45511.62354,45002.10318,43949.75874,42502.6265,40814.78097,39180.25893,37654.47032,36266.91978,35069.38801,34163.90169,33533.16986,33113.6541,32813.36908,32596.79922,32449.74847,32360.30879,32320.2662,32322.50109,32360.04592,32419.55759,32491.2291,32575.1483,32670.75611,32777.40242,32894.47809,33021.4292,33157.76372,33303.0703,33456.9017,33618.02542,33783.03609,33951.68504,34124.01922,34300.03374,34479.76896
6: regular customers,45674,44409.58227,42811.1286,40977.76622,39181.79169,37478.60637,35939.93367,34629.91015,33622.74898,32934.13746,32483.60281,32149.75364,31910.03074,31753.17017,31661.18877,31623.41971,31631.34365,31671.57441,31726.56268,31794.04622,31873.05162,31964.30177,32067.3263,32181.44683,32306.04997,32440.56927,32584.28817,32733.44777,32886.76131,33043.53982,33203.69637,33367.19432,33534.18689,33704.74007,33878.8657,34056.63054
7: regular customers,45674,45511.62354,45002.10318,43949.75874,42502.6265,40814.78097,39180.25893,37654.47032,36266.91978,35069.38801,34163.90169,33533.16986,33113.65618,32813.39516,32596.88981,32449.94802,32360.65355,32320.78177,32323.20025,32360.92996,32420.71509,32492.68099,32576.84625,32672.62842,32779.36444,32896.40907,33023.19188,33159.22264,33304.11529,33457.42166,33617.95722,33782.55133,33950.7416,34122.56423,34298.0261,34477.12193
8: regular customers,45674,44409.58227,42811.1286,40977.76622,39181.79169,37478.60637,35939.93367,34629.91015,33622.74898,32934.13746,32483.60281,32149.75364,31910.03393,31753.19598,31661.26788,31623.58256,31631.6139,31671.99615,31727.1737,31794.87202,31874.11261,31965.62028,32068.97946,32183.37501,32308.16687,32442.74654,32586.41435,32735.49732,32888.91688,33045.90042,33206.25433,33369.97579,33537.17989,33707.99594,33882.44909,34060.57925
9: regular customers,45674,43840.7531,40483.60283,35586.81417,31630.57694,29956.4557,29182.88222,28791.58359,28525.97141,28363.42476,28258.61375,28188.34438,28152.47853,28151.94025,28180.18424,28231.6609,28301.84179,28389.14035,28491.86333,28607.77257,28735.49779,28875.16912,29026.15493,29187.43679,29358.01944,29537.0173,29723.65826,29917.28401,30117.35658,30323.3371,30534.64214,30750.7763,30971.50855,31196.60019,31425.79723,31658.89665
10: regular customers,45674,38778.80608,32727.77037,30017.91497,28940.68358,28441.40238,28123.34077,27930.53638,27800.52835,27709.22635,27657.84443,27639.94274,27653.6729,27694.89413,27757.78947,27839.90856,27939.27344,28054.20691,28182.97811,28323.48243,28474.31494,28635.14038,28805.46598,28984.4226,29171.17255,29364.95252,29565.06485,29770.94543,29982.17524,30198.29673,30418.86053,30643.53302,30872.00881,31102.64084,31334.89076,31568.77167
