Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,1674.00,2121.13,2915.81,4254.42,5989.95,7969.23,9899.50,11725.35,13417.47,14924.69,16146.18,17098.43,17843.96,18473.83,19022.97,19505.42,19933.11,20312.65,20647.10,20940.38,21206.47,21458.27,21697.21,21924.83,22141.58,22347.67,22544.10,22731.82,22911.79,23084.26,23249.17,23409.13,23565.06,23717.45,23866.39,24011.98
2: customers with PV,1674.00,3223.59,5109.17,7232.50,9322.32,11323.61,13165.11,14783.15,16104.18,17112.55,17887.45,18548.25,19117.37,19606.48,20033.29,20408.36,20740.16,21038.92,21319.60,21581.37,21826.02,22056.24,22274.22,22481.04,22677.15,22862.93,23039.83,23211.72,23380.17,23545.00,23705.03,23860.08,24010.88,24157.94,24301.38,24441.25
3: customers with PV,1674.00,2121.13,2915.81,4254.42,5989.95,7969.23,9899.50,11725.35,13417.47,14924.69,16146.18,17098.43,17839.32,18451.61,18971.67,19418.30,19805.56,20142.46,20435.56,20689.91,20918.35,21132.83,21334.12,21522.69,21698.85,21862.65,22013.95,22152.71,22280.88,22398.52,22506.21,22608.12,22705.36,22798.44,22887.43,22971.85
4: customers with PV,1674.00,3223.59,5109.17,7232.50,9322.32,11323.61,13165.11,14783.15,16104.18,17112.55,17887.45,18548.25,19109.99,19578.01,19972.85,20309.74,20598.53,20853.91,21092.73,21315.12,21521.69,21714.16,21893.38,22060.01,22214.43,22356.72,22486.62,22607.54,22722.15,22830.25,22932.05,23028.18,23119.40,23206.26,23288.60,23365.69
5: customers with PV,1674.00,2121.13,2915.81,4254.42,5989.95,7969.23,9899.50,11725.35,13417.47,14924.69,16146.18,17098.43,17843.96,18473.83,19022.97,19505.42,19933.11,20312.65,20647.10,20940.19,21204.95,21454.52,21690.35,21913.76,22124.97,22323.92,22511.51,22688.78,22856.91,23015.98,23165.08,23306.31,23440.92,23569.59,23692.44,23809.57
6: customers with PV,1674.00,3223.59,5109.17,7232.50,9322.32,11323.61,13165.11,14783.15,16104.18,17112.55,17887.45,18548.25,19117.37,19606.48,20033.29,20408.36,20740.16,21038.92,21319.60,21581.03,21824.12,22051.89,22266.43,22468.70,22658.96,22837.30,23005.17,23166.40,23323.07,23475.26,23620.78,23759.00,23890.84,24017.00,24137.58,24252.42
7: customers with PV,1674.00,2121.13,2915.81,4254.42,5989.95,7969.23,9899.50,11725.35,13417.47,14924.69,16146.18,17098.43,17839.32,18451.04,18968.35,19409.54,19789.05,20116.10,20396.89,20635.67,20844.94,21037.19,21213.32,21373.74,21518.41,21646.88,21758.76,21853.89,21934.47,22000.19,22050.49,22089.15,22117.73,22136.85,22146.37,22146.13
8: customers with PV,1674.00,3223.59,5109.17,7232.50,9322.32,11323.61,13165.11,14783.15,16104.18,17112.55,17887.45,18548.25,19109.99,19577.21,19969.02,20300.39,20581.27,20826.69,21053.19,21260.05,21447.43,21617.62,21771.68,21910.11,22032.95,22139.78,22230.21,22307.39,22374.27,22430.80,22475.89,22510.09,22534.35,22549.22,22554.48,22549.76
9: customers with PV,1674.00,3612.35,7091.63,12150.85,16336.63,18302.91,19388.00,20098.99,20687.44,21175.61,21608.23,22007.79,22374.64,22708.47,23015.66,23301.21,23542.60,23741.63,23895.95,23992.72,24043.66,24072.33,24083.20,24078.25,24058.75,24027.39,23984.75,23931.96,23871.55,23801.09,23718.11,23622.66,23518.45,23408.01,23292.01,23171.02
