Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
1: defectors,1,96.178076,193.992379,293.782196,394.529856,495.370441,595.043635,693.569109,790.793043,886.114554,978.375634,1068.400227,1157.227611,1245.821118,1334.768628,1424.285117,1514.353054,1606.606186,1705.141164,1813.02553,1929.659211,2051.973984,2178.480211,2308.217919,2441.431904,2578.543873,2719.13759,2862.779444,3008.96962,3157.917648,3310.933834,3468.828879,3630.935355,3796.745727,3966.185343,4139.152951
2: defectors,1,95.759033,191.608112,287.693079,382.999553,477.166825,569.757807,660.336396,748.253187,833.514456,917.407369,1001.996796,1087.443811,1173.363062,1260.063568,1347.675814,1436.268389,1529.03355,1628.576877,1738.039187,1856.619141,1980.934981,2109.289892,2241.322225,2377.21555,2517.194823,2660.551979,2807.212016,2956.650944,3109.238345,3266.307332,3428.172482,3594.103321,3763.605933,3936.661983,4113.29475
3: defectors,1,96.178076,193.992379,293.782196,394.529856,495.370441,595.043635,693.569109,790.793043,886.114554,978.375634,1068.400227,1161.867738,1268.011093,1385.984151,1511.210681,1641.587941,1776.338778,1916.061807,2062.737503,2216.795557,2376.193857,2540.130223,2708.710156,2882.317135,3061.540332,3247.107193,3439.588889,3637.459167,3841.139316,4051.217646,4266.779587,4487.199656,4711.938724,4940.962779,5174.768822
4: defectors,1,95.759033,191.608112,287.693079,382.999553,477.166825,569.757807,660.336396,748.253187,833.514456,917.407369,1001.996796,1094.822958,1201.811766,1320.429297,1446.142287,1577.645165,1713.653226,1854.909244,2003.565109,2160.035202,2321.889492,2488.705454,2660.637967,2837.966198,3021.226495,3211.386569,3408.740979,3611.710638,3820.717886,4035.68387,4256.117847,4481.245391,4710.559436,4944.26826,5183.213705
5: defectors,1,96.178076,193.992379,293.782196,394.529856,495.370441,595.043635,693.569109,790.793043,886.114554,978.375634,1068.400227,1157.227611,1245.821118,1334.768628,1424.285117,1514.353054,1606.606186,1705.141164,1813.218372,1931.181379,2055.715992,2185.325833,2319.274476,2458.010387,2602.255096,2751.660779,2905.73347,3063.728697,3226.046915,3394.847515,3571.476907,3754.955944,3944.604418,4140.327585,4342.02277
6: defectors,1,95.759033,191.608112,287.693079,382.999553,477.166825,569.757807,660.336396,748.253187,833.514456,917.407369,1001.996796,1087.443811,1173.363062,1260.063568,1347.675814,1436.268389,1529.03355,1628.576877,1738.380794,1858.516161,1985.277051,2117.071268,2253.644467,2395.382031,2542.784424,2695.146902,2852.429551,3013.878046,3180.129491,3353.479261,3534.626203,3722.533134,3916.474651,4116.354076,4322.304869
7: defectors,1,96.178076,193.992379,293.782196,394.529856,495.370441,595.043635,693.569109,790.793043,886.114554,978.375634,1068.400227,1161.867738,1268.577043,1389.306859,1519.963969,1658.069603,1802.647621,1954.651412,2116.855444,2290.033074,2471.601563,2660.663847,2857.417804,3062.609919,3277.355877,3502.652807,3739.169467,3985.122478,4241.315478,4509.506133,4789.123565,5079.096041,5378.798377,5688.406292,6008.105029
8: defectors,1,95.759033,191.608112,287.693079,382.999553,477.166825,569.757807,660.336396,748.253187,833.514456,917.407369,1001.996796,1094.822958,1202.611969,1324.253383,1455.480476,1594.880781,1740.837707,1894.376392,2058.529389,2234.14553,2418.224033,2610.171941,2810.303107,3019.269698,3238.126551,3467.980441,3709.391579,3960.528263,4222.224277,4495.802839,4780.754442,5076.033823,5381.003419,5695.87097,6021.013532
9: defectors,1,275.826811,536.671241,760.295465,919.898812,1020.019531,1103.915329,1182.814019,1261.773849,1341.16045,1421.614526,1503.86433,1587.721758,1672.605398,1758.693442,1846.58241,1963.329655,2108.750337,2286.933808,2512.962612,2776.527824,3053.972761,3341.470559,3638.106625,3943.614849,4256.243618,4576.192199,4903.039374,5234.806132,5574.493945,5925.201149,6287.387496,6657.605093,7033.600785,7414.994949,7801.445297
10: defectors,1,260.9126,456.99667,569.816246,652.665466,727.464926,801.479897,875.908599,951.869885,1029.538972,1108.703313,1189.809775,1272.662787,1356.711415,1442.118689,1532.083197,1659.461072,1815.87931,2005.438511,2243.397279,2515.674805,2801.739179,3097.825571,3402.929531,3715.192061,4034.216561,4360.463375,4693.505005,5032.44805,5379.459918,5737.250016,6106.18715,6482.844672,6865.020065,7252.443293,7644.884542
11: defectors,1,275.826811,536.671241,760.295465,919.898812,1020.019531,1103.915329,1182.814019,1261.773849,1341.16045,1421.614526,1507.062414,1669.194268,1904.99258,2184.88196,2493.064639,2827.784705,3177.512379,3544.191109,3938.616592,4360.130405,4795.619043,5241.411692,5696.131686,6160.621725,6636.711629,7125.587998,7628.522794,8138.493658,8656.700916,9187.556179,9731.250593,10281.30157,10831.9431,11382.54761,11932.89738
12: defectors,1,260.9126,456.99667,569.816246,652.665466,727.464926,801.479897,875.908599,951.869885,1029.538972,1108.703313,1195.988873,1371.188,1619.532854,1908.770504,2227.622436,2573.662526,2934.38786,3311.79053,3718.277136,4151.679196,4599.29051,5056.935069,5523.031702,5998.434306,6485.0129,6984.767267,7498.63858,8018.895587,8546.802706,9086.860745,9639.272716,10196.3679,10753.2212,11309.70038,11865.663
13: defectors,1,275.826811,536.671241,760.295465,919.898812,1020.019531,1103.915329,1182.814019,1261.773849,1341.16045,1421.614526,1503.86433,1587.721758,1672.605398,1758.693442,1846.58241,1963.329655,2108.750337,2287.117021,2514.978753,2782.442867,3065.6453,3360.588275,3666.445319,3983.303726,4309.556568,4645.684569,4991.391812,5344.103098,5707.504033,6085.993943,6480.500526,6886.900589,7302.478559,7726.82505,8159.432877
14: defectors,1,260.9126,456.99667,569.816246,652.665466,727.464926,801.479897,875.908599,951.869885,1029.538972,1108.703313,1189.809775,1272.662787,1356.711415,1442.118689,1532.083197,1659.461072,1815.87931,2005.770204,2245.671278,2521.937597,2813.764453,3117.253111,3431.512188,3754.923807,4087.285418,4429.386498,4780.933997,5140.431736,5511.0711,5896.531634,6297.643067,6710.331661,7131.937802,7562.013017,8000.343967
15: defectors,1,275.826811,536.671241,760.295465,919.898812,1020.019531,1103.915329,1182.814019,1261.773849,1341.16045,1421.614526,1507.062414,1669.415571,1907.67202,2193.92046,2512.819903,2863.046626,3232.041326,3622.308948,4046.585289,4505.043342,4983.133127,5476.629627,5984.347471,6507.578379,7048.866636,7609.537871,8189.374222,8781.781671,9388.305014,10014.35184,10660.49295,11319.49843,11986.68075,12661.37455,13342.959
16: defectors,1,260.9126,456.99667,569.816246,652.665466,727.464926,801.479897,875.908599,951.869885,1029.538972,1108.703313,1195.988873,1371.498892,1622.245757,1917.340868,2246.186311,2606.817506,2985.749989,3385.656284,3820.904038,4290.177625,4779.165524,5283.508088,5801.697594,6335.028615,6886.066214,7456.307026,8046.365246,8648.442891,9264.139899,9898.939933,10553.43525,11220.35028,11895.00504,12576.84152,13265.33108
17: defectors,1,96.226733,194.213121,294.257461,395.321785,496.491742,596.598663,695.745917,793.579131,889.659714,982.649888,1073.838009,1164.472654,1255.602277,1357.739692,1475.544061,1602.339806,1733.792821,1870.343398,2015.531131,2170.23222,2333.165746,2503.389649,2681.050502,2866.655125,3061.390422,3266.928664,3482.439259,3704.488179,3933.495687,4172.166503,4421.347623,4679.756321,4946.580856,5221.796805,5505.373548
18: defectors,1,95.807884,191.82236,288.186747,383.893438,478.6063,571.841462,663.217751,751.945367,838.327314,923.802765,1010.334658,1098.014778,1187.375073,1290.502243,1409.596252,1537.966923,1672.297625,1813.304486,1964.265053,2124.598415,2292.954935,2468.643668,2651.901229,2843.070427,3043.300432,3253.983621,3473.35381,3698.746009,3930.803844,4172.732332,4425.276198,4687.149665,4957.517921,5236.345443,5523.590625
19: defectors,1,96.226733,194.213121,294.257461,395.321785,496.491742,596.598663,695.745917,793.579131,889.659714,982.649888,1082.97942,1202.31714,1330.002243,1468.543239,1620.066776,1783.656087,1957.735407,2143.13329,2339.760165,2551.167326,2774.460519,3007.80167,3250.893707,3503.994592,3767.812322,4042.804681,4328.810741,4624.28404,4929.837463,5246.69682,5574.659926,5912.340613,6258.914243,6614.337849,6978.562481
20: defectors,1,95.807884,191.82236,288.186747,383.893438,478.6063,571.841462,663.217751,751.945367,838.327314,923.802765,1023.12248,1142.891879,1271.650192,1412.000491,1566.144168,1733.442496,1913.179292,2104.690552,2308.78688,2528.007039,2758.591875,2999.177047,3249.424851,3509.650662,3780.119418,4061.337669,4353.172555,4654.093251,4964.547414,5285.776476,5618.088913,5960.186365,6311.220091,6671.134942,7039.870269
21: defectors,1,96.226733,194.213121,294.257461,395.321785,496.491742,596.598663,695.745917,793.579131,889.659714,982.649888,1073.838009,1164.472654,1255.602277,1357.819348,1477.341876,1608.348133,1745.898457,1890.903521,2048.55429,2219.631567,2402.708421,2597.078528,2803.127537,3021.829322,3254.892785,3504.367806,3770.098684,4048.514825,4340.6138,4650.210742,4979.710274,5327.833028,5693.95831,6078.701185,6482.685739
22: defectors,1,95.807884,191.82236,288.186747,383.893438,478.6063,571.841462,663.217751,751.945367,838.327314,923.802765,1010.334658,1098.014778,1187.375073,1290.67676,1411.792811,1544.608441,1685.151147,1834.823315,1998.408274,2175.267476,2364.016946,2564.111996,2776.00592,3000.565047,3239.449614,3494.556408,3764.850537,4047.430687,4343.454892,4657.714789,4992.153188,5345.516734,5717.161952,6107.694285,6517.727652
23: defectors,1,96.226733,194.213121,294.257461,395.321785,496.491742,596.598663,695.745917,793.579131,889.659714,982.649888,1083.16428,1205.341983,1339.015279,1487.699025,1654.213721,1837.590383,2035.787105,2250.426572,2483.081489,2738.315055,3013.017202,3305.589415,3616.332704,3946.452225,4297.793665,4671.996758,5069.789757,5489.783052,5933.950171,6405.532415,6905.977893,7434.030417,7989.35791,8573.022915,9186.101489
24: defectors,1,95.807884,191.82236,288.186747,383.893438,478.6063,571.841462,663.217751,751.945367,838.327314,923.802765,1023.440041,1146.331094,1281.301762,1431.862944,1601.023594,1788.011866,1991.658309,2212.233372,2452.225832,2715.27508,2997.317628,3297.26736,3615.413574,3953.026808,4311.765265,4693.311319,5098.515263,5525.962118,5977.369709,6455.952249,6963.534381,7499.109947,8062.318169,8654.207618,9275.841686
25: defectors,1,275.823081,536.198597,757.327307,910.361258,1007.892443,1091.26049,1170.982814,1251.077485,1331.97538,1414.340814,1498.783148,1585.118681,1706.772499,1919.328423,2196.885036,2501.008116,2823.949487,3173.508465,3558.373107,3980.41205,4428.757972,4900.41793,5393.590321,5911.587955,6460.463083,7038.020911,7631.498947,8234.137544,8848.337321,9484.644757,10142.8913,10816.23556,11500.22785,12193.6241,12895.23382
26: defectors,1,260.894609,456.231617,567.950537,650.778443,726.138956,801.029823,876.608623,954.047285,1033.449105,1114.607411,1197.986932,1283.407296,1416.297469,1641.438194,1928.939696,2242.622614,2577.680027,2939.593488,3337.075181,3772.168497,4233.613271,4718.091717,5223.481326,5754.492297,6315.427516,6902.623742,7503.784819,8113.368174,8735.373009,9379.726041,10046.08426,10727.60974,11419.73371,12121.19278,12830.77901
27: defectors,1,275.823081,536.198597,757.327307,910.361258,1007.892443,1091.26049,1170.982814,1251.077485,1331.97538,1420.276617,1622.166936,1910.484876,2245.538825,2636.358919,3093.802438,3610.663604,4166.309139,4746.640966,5371.069242,6042.359749,6739.511208,7454.464469,8184.197205,8928.460105,9688.210318,10463.07716,11250.29611,12042.29625,12839.26503,13643.99507,14455.75052,15268.55499,16078.82757,16885.82815,17688.86563
28: defectors,1,260.894609,456.231617,567.950537,650.778443,726.138956,801.029823,876.608623,954.047285,1033.449105,1123.716108,1339.204376,1637.544239,1985.287894,2390.907888,2866.260374,3404.32773,3978.088537,4574.993259,5218.997236,5908.569429,6622.674983,7353.3191,8097.485615,8855.053862,9626.809132,10412.37476,11209.06109,12009.34016,12813.66547,13625.11605,14443.18484,15262.22341,16078.65232,16891.69959,17700.66422
29: defectors,1,275.823081,536.198597,757.327307,910.361258,1007.892443,1091.26049,1170.982814,1251.077485,1331.97538,1414.340814,1498.783148,1585.118681,1706.772499,1920.57618,2203.408016,2516.591683,2852.193713,3219.675314,3629.275243,4083.892163,4572.281209,5091.383536,5640.004335,6221.44777,6842.758563,7504.199442,8194.369917,8904.7107,9636.683601,10402.28621,11204.80402,12036.66372,12892.93932,13772.6708,14674.89447
30: defectors,1,260.894609,456.231617,567.950537,650.778443,726.138956,801.029823,876.608623,954.047285,1033.449105,1114.607411,1197.986932,1283.407296,1416.297469,1642.799676,1935.283498,2257.371982,2604.493188,2983.475723,3404.608252,3871.150769,4371.403662,4902.137131,5461.856341,6054.968639,6687.286188,7357.677675,8054.600497,8771.051142,9509.490166,10282.79165,11093.24076,11933.29702,12797.90563,13686.08667,14596.85675
31: defectors,1,275.823081,536.198597,757.327307,910.361258,1007.892443,1091.26049,1170.982814,1251.077485,1331.97538,1420.276617,1623.538163,1918.646711,2266.572473,2677.943518,3165.89356,3722.759966,4328.192319,4970.040487,5669.596115,6432.586401,7236.913686,8074.460142,8942.738775,9842.564184,10776.27305,11744.72127,12745.61302,13769.87721,14818.51925,15896.31041,17003.29883,18131.91575,19277.28735,20438.32675,21614.03116
32: defectors,1,260.894609,456.231617,567.950537,650.778443,726.138956,801.029823,876.608623,954.047285,1033.449105,1123.716108,1340.540461,1644.946445,2004.371291,2428.965517,2932.820774,3508.831946,4130.676761,4786.996563,5504.635522,6284.565611,7104.692361,7957.028999,8839.070988,9751.740645,10697.32358,11676.53362,12687.13702,13720.13006,14776.82405,15862.28811,16976.81456,18113.01653,19265.95234,20434.59855,21617.94094
33: defectors,1,96.390766,194.956527,295.886339,398.127579,500.702298,602.809544,704.574575,805.536203,904.868632,1020.558045,1162.882535,1348.222733,1571.73907,1832.588053,2127.015243,2451.261106,2802.561271,3183.246461,3597.124415,4043.029767,4516.965559,5017.395694,5543.887916,6097.005484,6677.202384,7284.530071,7918.331617,8576.476754,9258.741506,9965.603362,10696.51345,11449.25311,12222.05109,13013.9585,13823.90394
34: defectors,1,95.972317,192.55713,289.934605,387.137893,483.94987,579.750582,674.226726,766.606918,859.191988,978.430784,1134.462378,1332.413054,1559.817858,1821.66883,2119.167754,2449.232085,2807.770778,3196.069584,3617.864883,4071.826917,4553.960784,5063.173931,5599.058468,6161.770184,6751.676633,7368.761216,8012.291245,8680.046977,9371.740814,10087.79621,10827.66812,11589.17616,12370.5057,13170.59079,13988.31072
35: defectors,1,96.390766,194.956527,295.886339,398.127579,500.702298,602.809544,704.574575,809.897942,936.269339,1081.97247,1268.462028,1509.675012,1795.550816,2120.514708,2480.060067,2870.074895,3287.559292,3734.693502,4215.098896,4727.440652,5267.563854,5833.768563,6425.466488,7043.121532,7687.058454,8357.196276,9052.751655,9771.483479,10513.04435,11277.78382,12065.03774,12872.49529,13698.28703,14541.38821,15400.6518
36: defectors,1,95.972317,192.55713,289.934605,387.137893,483.94987,579.750582,674.226726,775.425351,900.060694,1052.183154,1256.777247,1514.355528,1806.801685,2134.62057,2498.70877,2895.817272,3321.69047,3777.435157,4266.597887,4787.680854,5336.54548,5911.99671,6513.500501,7141.079166,7794.964305,8475.005986,9180.345358,9908.653572,10659.52135,11433.24639,12229.16273,13045.01893,13878.91788,14729.71013,15596.19939
37: defectors,1,96.390766,194.956527,295.886339,398.127579,500.702298,602.809544,704.574575,805.536203,904.868632,1021.691313,1171.483972,1374.448592,1626.395166,1930.107281,2284.920095,2689.126202,3142.812812,3653.123921,4230.453272,4878.507028,5596.287421,6386.442146,7254.639776,8207.022428,9249.91283,10388.78038,11627.04112,12963.47801,14399.71822,15937.76628,17575.29255,19302.58062,21107.0697,22974.91371,24882.87567
38: defectors,1,95.972317,192.55713,289.934605,387.137893,483.94987,579.750582,674.226726,766.606918,859.191988,980.006703,1144.158,1359.890119,1615.665902,1919.777892,2277.420522,2688.158069,3150.388972,3669.96971,4257.190291,4915.785071,5645.977173,6451.061613,7335.75048,8305.819331,9367.489993,10526.08128,11784.79126,13142.10264,14599.68824,16159.48097,17818.61892,19566.44235,21389.69993,23273.8355,25195.08798
39: defectors,1,96.390766,194.956527,295.886339,398.127579,500.702298,602.809544,704.574575,809.9558,939.3067,1094.433139,1301.492671,1578.282521,1916.17687,2314.208109,2772.185577,3289.010229,3865.781329,4510.91135,5236.313333,6046.718942,6941.551639,7924.032933,9000.629921,10177.76833,11461.65783,12856.98666,14365.39656,15982.39356,17705.65714,19532.19767,21452.935,23447.19599,25476.40917,27503.68992,29519.98775
40: defectors,1,95.972317,192.55713,289.934605,387.137893,483.94987,579.750582,674.226726,775.625803,903.93901,1066.0409,1291.324843,1584.2238,1928.380381,2328.402081,2790.754502,3316.04196,3903.41005,4559.830236,5297.090142,6120.008128,7029.577842,8029.698829,9125.531927,10323.05809,11628.3016,13045.68946,14576.50347,16215.76901,17961.0604,19809.12976,21750.09637,23762.32842,25805.93649,27842.78451,29845.88596
41: defectors,1,275.800428,534.228888,746.022004,879.990795,973.462818,1057.261439,1140.771747,1225.942381,1364.216231,1649.467201,2078.258692,2694.756598,3468.823496,4388.058936,5431.269875,6557.783031,7732.274258,8945.931811,10199.23864,11472.96229,12741.80949,13993.57072,15221.50011,16422.34495,17595.03134,18738.12637,19849.18332,20923.47851,21962.07095,22967.77105,23941.30009,24880.60751,25782.99778,26649.99454,27482.08903
42: defectors,1,260.82782,453.761839,562.343103,645.474465,723.188844,801.646305,882.019229,965.575463,1118.662789,1422.755837,1880.709129,2526.325987,3330.945665,4280.701292,5353.273612,6506.757093,7705.097732,8939.382098,10210.19452,11498.2922,12778.47566,14039.05451,15274.43254,16482.13947,17661.12094,18809.94589,19926.17457,21005.08874,22047.77676,23057.08451,24033.7621,24975.83197,25880.66865,26749.66252,27583.50797
43: defectors,1,275.800428,534.228888,746.022004,879.990795,973.462818,1057.261439,1140.771747,1348.188764,1678.549078,2164.339558,2864.687953,3771.721949,4817.034194,5975.835392,7224.214999,8522.136487,9836.399378,11159.30842,12492.0058,13818.22397,15116.93178,16379.22805,17601.19937,18781.8847,19922.19538,21022.80388,22083.35679,23101.44559,24079.37737,25018.67432,25921.03156,26784.05525,27608.05366,28397.72863,29157.1589
44: defectors,1,260.82782,453.761839,562.343103,645.474465,723.188844,801.646305,883.614495,1107.410355,1456.530989,1974.310911,2714.860057,3660.449052,4739.412504,5929.648377,7206.802196,8529.954328,9865.500665,11205.88558,12552.54293,13889.39671,15195.68867,16463.01885,17688.59784,18872.45001,20015.68963,21118.96082,22181.91012,23202.12777,24181.9663,25122.98923,26026.79098,26891.13136,27716.13688,28506.56633,29266.54448
45: defectors,1,275.800428,534.228888,746.022004,879.990795,973.462818,1057.261439,1140.771747,1225.942381,1364.429619,1655.290084,2102.018056,2753.665948,3585.444167,4593.105567,5763.077525,7058.143446,8443.347928,9912.632346,11471.13299,13097.68467,14759.26544,16437.15168,18118.3988,19794.34205,21458.71532,23104.07436,24715.80342,26266.39613,27749.96769,29191.04636,30091.30505,30402.15,30690.3459,30978.63,31269.44109
46: defectors,1,260.82782,453.761839,562.343103,645.474465,723.188844,801.646305,882.019229,965.575463,1118.953687,1428.368033,1902.891457,2581.783495,3442.590257,4479.705811,5678.65884,7001.069034,8411.172607,9902.628065,11480.48407,13123.39841,14798.29604,16487.2925,18178.71781,19864.34691,21537.59939,23190.93323,24809.9247,26366.93165,27855.29521,29299.82111,30203.51326,30513.84536,30801.249,31088.62054,31378.4022
47: defectors,1,275.800428,534.228888,746.022004,879.990795,973.462818,1057.261439,1140.771747,1349.963113,1690.187818,2198.768477,2943.411453,3926.796579,5086.868469,6407.632856,7872.172427,9441.154716,11078.07739,12775.19358,14535.92404,16338.31987,18149.39048,19950.5731,21729.34768,23476.11809,25174.76484,26810.46316,28397.22957,29232.92451,29524.72174,29804.55669,30086.20474,30370.44043,30657.42301,30947.22936,31239.8299
48: defectors,1,260.82782,453.761839,562.343103,645.474465,723.188844,801.646305,883.614495,1109.139234,1467.221943,2005.992883,2788.70761,3808.879039,5001.710178,6353.892138,7848.184789,9444.251718,11104.92851,12822.32654,14599.90527,16415.67656,18236.7349,20045.14687,21829.79982,23582.03107,25285.47175,26924.87964,28514.41285,29343.05708,29634.2946,29913.95395,30195.3192,30479.12436,30765.532,31054.62406,31346.37614
49: defectors,1,96.439722,195.178363,296.3773,398.975767,501.996171,604.718366,707.235686,809.151973,917.103107,1048.708164,1224.117321,1453.526973,1721.431531,2026.509792,2369.534744,2746.750176,3155.8105,3598.351791,4078.115048,4593.819852,5141.318444,5719.005594,6326.800418,6964.907435,7633.639346,8332.911353,9061.912161,9818.339761,10601.78357,11412.51835,12249.78576,13111.27939,13995.06166,14899.88737,15824.44376
50: defectors,1,96.021443,192.777795,290.454854,388.094221,485.512919,582.034313,677.358438,770.791879,877.337397,1021.20987,1210.873736,1442.418753,1711.384792,2019.092489,2367.210301,2752.040708,3169.420091,3620.562343,4109.116847,4633.674295,5190.505565,5778.234341,6396.343501,7044.877362,7724.074741,8433.772397,9173.07462,9939.583927,10732.82525,11553.13466,12399.792,13270.36111,14162.80682,15075.83115,16008.07383
51: defectors,1,96.439722,195.178363,296.3773,398.975767,501.996171,604.718366,707.235686,823.457265,960.604351,1128.336644,1356.057803,1646.458067,1977.398717,2346.840982,2755.143557,3198.207962,3673.521124,4182.545628,4728.826746,5310.90667,5924.471861,6567.752163,7240.564082,7942.985967,8675.189946,9436.952247,10227.32875,11043.90055,11886.12736,12754.14982,13647.08612,14562.53483,15498.4787,16453.5803,17426.44259
52: defectors,1,96.021443,192.777795,290.454854,388.094221,485.512919,582.034313,677.358438,791.96379,930.342317,1115.24621,1361.46994,1656.903616,1991.023016,2364.746061,2779.479152,3231.356302,3716.042208,4234.56423,4790.374059,5381.888518,6005.275575,6659.040442,7342.5312,8055.652799,8798.502042,9570.776345,10371.44799,11198.00491,12049.84275,12927.16958,13829.15971,14753.28599,15697.42596,16660.19356,17640.14888
53: defectors,1,96.439722,195.178363,296.3773,398.975767,501.996171,604.718366,707.235686,809.151973,917.281578,1053.202296,1242.837196,1499.698548,1810.330824,2177.337144,2605.890073,3095.943784,3649.904845,4275.765022,4986.126976,5786.697449,6678.264735,7667.202739,8761.17987,9968.452546,11297.65136,12756.15566,14348.5022,16073.12435,17930.5663,19920.94339,22036.941,24256.33104,26534.92005,28849.77409,29980.06309
