Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,1674.00,2165.31,3096.57,4675.36,6695.65,8833.07,10912.87,12889.28,14682.21,16174.95,17290.87,18154.25,18885.46,19502.92,20032.40,20488.64,20884.49,21251.03,21601.25,21936.80,22258.74,22566.62,22860.86,23143.35,23421.12,23695.42,23966.32,24233.88,24498.20,24759.37,25017.44,25272.48,25524.59,25773.85,26020.37,26264.60
2: customers with PV,1674.00,3282.72,5315.75,7559.64,9799.22,11972.16,13960.65,15664.50,16953.34,17911.83,18698.74,19363.59,19925.82,20398.83,20803.63,21178.29,21533.76,21871.33,22192.24,22498.27,22790.66,23073.54,23352.07,23626.29,23896.32,24162.25,24424.23,24682.38,24936.85,25187.77,25435.28,25679.48,25920.88,26160.37,26398.02,26633.92
3: customers with PV,1674.00,2165.31,3096.57,4675.36,6695.65,8833.07,10912.87,12889.28,14682.21,16174.95,17290.87,18154.25,18885.46,19502.92,20032.40,20488.64,20884.49,21251.03,21601.25,21936.80,22258.74,22566.62,22860.86,23143.35,23421.12,23694.77,23962.01,24222.89,24478.78,24729.40,24973.84,25211.93,25444.80,25673.20,25897.26,26117.50
4: customers with PV,1674.00,3282.72,5315.75,7559.64,9799.22,11972.16,13960.65,15664.50,16953.34,17911.83,18698.74,19363.59,19925.82,20398.83,20803.63,21178.29,21533.76,21871.33,22192.24,22498.27,22790.66,23073.54,23352.07,23626.29,23896.31,24160.63,24417.77,24668.02,24912.80,25151.92,25384.49,25610.40,25831.19,26048.41,26262.22,26472.75
5: customers with PV,1674.00,2165.31,3101.10,4705.22,6785.73,9030.31,11269.91,13441.70,15421.64,16957.00,18061.78,18960.68,19697.01,20292.06,20779.85,21220.89,21633.05,22017.88,22377.09,22713.97,23041.22,23361.24,23673.42,23977.77,24274.45,24563.65,24845.57,25120.44,25389.12,25653.12,25912.59,26167.63,26418.37,26664.96,26907.57,27146.35
6: customers with PV,1674.00,3297.94,5373.81,7709.71,10104.20,12498.25,14713.78,16508.62,17776.57,18763.78,19555.50,20193.28,20706.73,21164.94,21587.80,21977.94,22338.04,22675.80,23004.27,23324.70,23637.44,23941.35,24236.16,24522.10,24799.54,25069.40,25333.52,25592.17,25845.60,26093.99,26337.56,26576.51,26811.10,27041.57,27268.16,27491.10
7: customers with PV,1674.00,2165.31,3101.10,4705.22,6785.73,9030.31,11269.91,13441.70,15421.64,16957.00,18061.78,18960.68,19697.01,20292.06,20779.85,21220.89,21633.05,22017.88,22377.09,22713.97,23041.22,23361.24,23673.41,23977.75,24274.23,24560.82,24836.76,25102.42,25359.98,25610.60,25853.41,26088.14,26315.60,26536.80,26751.96,26961.33
8: customers with PV,1674.00,3297.94,5373.81,7709.71,10104.20,12498.25,14713.78,16508.62,17776.57,18763.78,19555.50,20193.28,20706.73,21164.94,21587.80,21977.94,22338.04,22675.80,23004.27,23324.70,23637.44,23941.35,24236.15,24522.08,24798.54,25064.47,25321.24,25569.30,25810.20,26043.81,26269.30,26486.29,26695.93,26899.38,27096.95,27288.97
9: customers with PV,1674.00,3791.00,7994.18,13884.79,17492.80,19073.48,19972.02,20664.22,21226.57,21726.09,22179.32,22592.42,22967.09,23308.97,23626.04,23921.15,24196.90,24455.63,24699.44,24930.56,25150.72,25360.72,25561.77,25755.18,25942.13,26126.59,26312.28,26499.18,26687.29,26876.59,27067.04,27258.61,27451.29,27645.10,27840.01,28036.02
