Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,1674.00,2143.46,2991.33,4403.72,6215.23,8233.68,10183.75,12032.50,13737.71,15252.71,16458.84,17397.50,18145.25,18785.46,19343.88,19835.76,20272.19,20661.55,21010.97,21333.06,21645.35,21947.54,22239.58,22522.08,22795.74,23061.16,23318.95,23569.65,23814.40,24057.07,24298.29,24538.15,24776.71,25014.05,25250.24,25485.35
2: customers with PV,1674.00,3242.46,5159.30,7304.55,9421.71,11456.62,13331.25,14981.30,16314.32,17329.53,18120.19,18800.21,19385.72,19888.54,20326.69,20711.28,21054.13,21379.44,21692.08,21993.71,22285.40,22566.60,22837.56,23099.03,23351.81,23599.39,23844.68,24087.80,24328.87,24568.01,24805.29,25040.81,25274.69,25507.03,25737.93,25967.49
3: customers with PV,1674.00,2143.46,2991.33,4403.72,6215.23,8233.68,10183.75,12032.50,13737.71,15252.71,16458.84,17397.50,18145.25,18785.46,19343.88,19835.76,20272.19,20661.55,21010.97,21333.06,21645.35,21947.54,22239.58,22522.08,22795.74,23061.16,23318.95,23569.65,23814.40,24057.07,24298.29,24538.15,24776.71,25014.05,25250.24,25485.35
4: customers with PV,1674.00,3242.46,5159.30,7304.55,9421.71,11456.62,13331.25,14981.30,16314.32,17329.53,18120.19,18800.21,19385.72,19888.54,20326.69,20711.28,21054.13,21379.44,21692.08,21993.71,22285.40,22566.60,22837.56,23099.03,23351.81,23599.39,23844.68,24087.80,24328.87,24568.01,24805.29,25040.81,25274.69,25507.03,25737.93,25967.49
5: customers with PV,1674.00,2143.46,2991.33,4403.72,6215.23,8233.68,10194.36,12083.95,13854.44,15439.10,16687.41,17650.09,18432.35,19095.84,19668.01,20166.25,20602.10,20985.03,21338.21,21679.32,22009.36,22326.49,22630.48,22922.09,23202.22,23472.58,23739.18,24003.03,24264.21,24522.78,24778.80,25032.34,25283.49,25532.34,25778.96,26023.44
6: customers with PV,1674.00,3242.46,5159.30,7306.09,9453.53,11555.52,13517.68,15259.02,16639.41,17673.61,18503.57,19211.16,19810.68,20312.59,20739.27,21120.42,21482.26,21825.99,22152.88,22465.17,22764.20,23049.51,23327.64,23601.29,23870.64,24135.83,24397.03,24654.40,24908.13,25158.37,25405.27,25648.99,25889.69,26127.55,26362.81,26596.35
7: customers with PV,1674.00,2143.46,2991.33,4403.72,6215.23,8233.68,10194.36,12083.95,13854.44,15439.10,16687.41,17650.09,18432.35,19095.84,19668.01,20166.25,20602.10,20985.03,21338.21,21679.32,22009.36,22326.49,22630.48,22922.09,23202.22,23472.58,23739.18,24003.03,24264.21,24522.78,24778.80,25032.34,25283.49,25532.34,25778.96,26023.44
8: customers with PV,1674.00,3242.46,5159.30,7306.09,9453.53,11555.52,13517.68,15259.02,16639.41,17673.61,18503.57,19211.16,19810.68,20312.59,20739.27,21120.42,21482.26,21825.99,22152.88,22465.17,22764.20,23049.51,23327.64,23601.29,23870.64,24135.83,24397.03,24654.40,24908.13,25158.37,25405.27,25648.99,25889.69,26127.55,26362.81,26596.35
9: customers with PV,1674.00,3655.31,7213.56,12261.44,16360.46,18320.54,19419.27,20144.68,20748.46,21252.60,21701.60,22117.95,22501.59,22851.96,23175.54,23478.56,23765.12,24037.02,24295.94,24543.92,24782.40,25011.53,25232.06,25445.06,25651.54,25852.40,26048.42,26240.31,26428.71,26614.18,26797.20,26978.19,27157.57,27335.69,27512.86,27689.78
