Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
1: customers with PV,1674,2121.128272,2915.812797,4254.418912,5989.952673,7969.229344,9899.49752,11725.35285,13417.46995,14924.69469,16146.18426,17098.43176,17843.96261,18473.8253,19022.97425,19505.41745,19933.10762,20312.65234,20647.10215,20940.38487,21206.4723,21458.26888,21697.20545,21924.83035,22141.57843,22347.66704,22544.09651,22731.82274,22911.78714,23084.25779,23249.17479,23409.13173,23565.06454,23717.45121,23866.39491,24011.9758
2: customers with PV,1674,3223.588588,5109.171647,7232.500545,9322.317787,11323.60757,13165.10861,14783.14573,16104.18061,17112.54534,17887.45142,18548.25142,19117.36977,19606.48227,20033.28976,20408.35552,20740.15742,21038.91677,21319.60485,21581.37094,21826.01847,22056.23569,22274.2199,22481.03967,22677.15425,22862.93369,23039.83418,23211.72333,23380.16815,23544.99656,23705.02658,23860.07947,24010.87684,24157.94007,24301.38071,24441.25426
3: customers with PV,1674,2121.128272,2915.812797,4254.418912,5989.952673,7969.229344,9899.49752,11725.35285,13417.46995,14924.69469,16146.18426,17098.43176,17839.3204,18451.60945,18971.6711,19418.30406,19805.55578,20142.45523,20435.563,20689.90512,20918.34939,21132.83365,21334.11754,21522.68855,21698.84643,21862.64752,22013.95189,22152.70866,22280.88017,22398.52121,22506.20518,22608.11794,22705.3604,22798.44251,22887.43115,22971.8476
4: customers with PV,1674,3223.588588,5109.171647,7232.500545,9322.317787,11323.60757,13165.10861,14783.14573,16104.18061,17112.54534,17887.45142,18548.25142,19109.98743,19578.00803,19972.84755,20309.73533,20598.53098,20853.91477,21092.72812,21315.12205,21521.69015,21714.15723,21893.37916,22060.01434,22214.43412,22356.72119,22486.62066,22607.54245,22722.14676,22830.24852,22932.05146,23028.1771,23119.40152,23206.25603,23288.60113,23365.68764
5: customers with PV,1674,2121.128272,2915.812797,4254.418912,5989.952673,7969.229344,9899.49752,11725.35285,13417.46995,14924.69469,16146.18426,17098.43176,17843.96261,18473.8253,19022.97425,19505.41745,19933.10762,20312.65234,20647.10215,20940.19202,21204.94948,21454.52398,21690.35251,21913.7593,22124.97492,22323.91612,22511.51408,22688.78439,22856.91277,23015.97611,23165.07788,23306.30762,23440.92399,23569.59136,23692.44068,23809.56588
6: customers with PV,1674,3223.588588,5109.171647,7232.500545,9322.317787,11323.60757,13165.10861,14783.14573,16104.18061,17112.54534,17887.45142,18548.25142,19117.36977,19606.48227,20033.28976,20408.35552,20740.15742,21038.91677,21319.60485,21581.0293,21824.12066,22051.89024,22266.42908,22468.6986,22658.95572,22837.29562,23005.16897,23166.40426,23323.07241,23475.25542,23620.77518,23759.00009,23890.84496,24017.00028,24137.58224,24252.4222
7: customers with PV,1674,2121.128272,2915.812797,4254.418912,5989.952673,7969.229344,9899.49752,11725.35285,13417.46995,14924.69469,16146.18426,17098.43176,17839.3204,18451.04329,18968.34543,19409.53905,19789.04631,20116.09533,20396.89275,20635.67091,20844.94028,21037.18651,21213.31656,21373.74367,21518.41337,21646.88436,21758.75937,21853.88947,21934.474,22000.18759,22050.48746,22089.14572,22117.72734,22136.8524,22146.36962,22146.13064
8: customers with PV,1674,3223.588588,5109.171647,7232.500545,9322.317787,11323.60757,13165.10861,14783.14573,16104.18061,17112.54534,17887.45142,18548.25142,19109.98743,19577.20755,19969.02084,20300.388,20581.27478,20826.69087,21053.19432,21260.0549,21447.43031,21617.62476,21771.67525,21910.11178,22032.95116,22139.77622,22230.20926,22307.39268,22374.26663,22430.80003,22475.89364,22510.09039,22534.35127,22549.21564,22554.48195,22549.76482
9: customers with PV,1674,3612.34998,7091.634282,12150.85021,16336.63328,18302.90553,19388.00254,20098.99467,20687.43751,21175.61205,21608.23331,22007.79313,22374.64403,22708.46985,23015.66441,23301.20773,23542.59802,23741.63404,23895.94727,23992.72113,24043.66284,24072.32718,24083.20116,24078.24647,24058.75344,24027.38839,23984.75359,23931.95819,23871.54906,23801.09369,23718.10752,23622.65682,23518.45134,23408.01402,23292.00983,23171.01566
10: customers with PV,1674,8689.211215,14927.14131,17910.22864,19293.75999,20110.51345,20749.97942,21266.94729,21722.78454,22141.43194,22521.91384,22870.24933,23188.50863,23481.40995,23754.63393,24007.45928,24209.03495,24369.43851,24486.32779,24546.5766,24565.6987,24564.58951,24547.5351,24516.43776,24474.02311,24421.48023,24359.07582,24287.83115,24209.08848,24121.16808,24021.84026,23911.10044,23792.7115,23670.55409,23545.46796,23417.7014
