Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: regular customers,3361031.000000,3344330.066036,3311212.481664,3255414.963902,3175847.319492,3077777.696948,2968598.190216,2851561.190785,2732844.143914,2618828.186529,2518733.074526,2434436.230338,2372037.732801,2328139.214891,2295705.669931,2269621.643104,2248885.245832,2232547.694360,2219927.344769,2210428.389132,2203594.579428,2198338.326118,2193774.627093,2189857.699195,2186538.260468,2183769.313989,2181518.388485,2179764.201483,2178470.864740,2177553.078451,2176721.295961,2175909.621674,2175082.465692,2174236.558464,2173367.444943,2172470.708539
2: regular customers,3361031.000000,3262916.220561,3146569.826337,3013353.644548,2878150.878841,2748244.660410,2624958.692315,2511587.644190,2414299.519738,2341828.771805,2291836.744259,2255682.963158,2227170.019944,2205266.606380,2188550.363511,2176153.800909,2167365.305032,2161218.471524,2156115.099327,2151847.122043,2148348.210030,2145592.292695,2143497.689513,2142009.635169,2141072.268178,2140501.431358,2140019.296114,2139631.222905,2139332.281896,2139114.468967,2138968.850211,2138868.215468,2138774.246553,2138681.031018,2138581.634808,2138469.266966
3: regular customers,3361031.000000,3344330.066036,3311212.481664,3255414.963902,3175847.319492,3077775.464121,2968557.383384,2851438.446156,2732628.689099,2618522.249283,2518348.309364,2434006.611943,2371608.582590,2327725.163052,2295268.109374,2269167.427703,2248420.002828,2232077.028504,2219457.652323,2209965.477349,2203143.876923,2197859.547898,2193270.247236,2189330.397007,2185990.836673,2183204.619830,2180939.309137,2179173.666062,2177871.909098,2176936.612114,2176076.834407,2175238.385293,2174385.875601,2173516.192468,2172624.967723,2171707.859006
4: regular customers,3361031.000000,3262916.220561,3146569.826337,3013353.644548,2878150.878841,2748237.816618,2624904.281636,2511465.529742,2414122.447849,2341632.278038,2291638.286241,2255466.711672,2226941.449938,2205029.149779,2188307.734933,2175909.673994,2167123.317169,2160962.785794,2155840.790228,2151555.496456,2148040.898803,2145271.164148,2143164.710840,2141666.837426,2140721.682094,2140133.369605,2139630.654861,2139222.733555,2138904.880467,2138669.153891,2138506.619480,2138390.116835,2138281.468391,2138174.861858,2138063.401376,2137940.323402
5: regular customers,3361031.000000,3344330.066036,3311212.481664,3255407.658063,3175409.704777,3075901.004202,2963992.268397,2842653.304867,2717710.929927,2595717.680064,2487682.959146,2399137.741779,2335936.166892,2292123.446211,2257754.989034,2230774.799739,2209910.027014,2194227.643065,2182930.152759,2174165.353207,2166443.106862,2159799.494503,2154172.449067,2149502.505552,2145721.996374,2142702.709867,2139943.250774,2137363.595239,2134967.705618,2132751.885213,2130709.344540,2128816.341753,2127040.451229,2125379.941748,2123829.792233,2122384.413520
6: regular customers,3361031.000000,3262688.844091,3145244.412171,3009291.047830,2869157.913307,2731929.641397,2599319.231917,2476620.173228,2373000.559000,2299922.036672,2250545.136453,2212484.796723,2183487.880148,2162223.429085,2147126.379784,2136522.572774,2127659.889832,2120240.199824,2114161.513637,2109279.591348,2105503.564075,2102648.884927,2100110.098044,2097839.452618,2095825.164298,2094054.390644,2092526.385663,2091249.774728,2090218.006590,2089418.229227,2088835.319597,2088434.458366,2088115.876541,2087849.772378,2087629.854751,2087449.591440
7: regular customers,3361031.000000,3344330.066036,3311212.481664,3255407.658063,3175409.704777,3075889.767447,2963787.390747,2842034.791023,2716615.642574,2594166.958704,2485715.886162,2397093.906326,2333951.474662,2290129.275022,2255665.414617,2228630.378447,2207750.790241,2192100.060612,2180874.276607,2171947.263410,2164078.941108,2157308.094237,2151574.198867,2146818.988292,2142975.358140,2139830.483581,2136886.982474,2134131.375853,2131570.351080,2129201.716474,2127019.619218,2125001.518363,2123116.724794,2121365.034010,2119742.556022,2118244.445469
8: regular customers,3361031.000000,3262688.844091,3145244.412171,3009291.047830,2869157.913307,2731893.954671,2599043.990777,2476018.421595,2372212.293727,2299096.377015,2249694.099063,2211583.454618,2182560.847642,2161292.856989,2146213.336925,2135548.477107,2126599.702529,2119102.476974,2112955.666954,2108015.215541,2104192.064237,2101242.345901,2098591.828602,2096212.611474,2094093.760535,2092223.055756,2090600.455779,2089235.627300,2088123.655429,2087252.268087,2086606.465651,2086141.804382,2085751.992773,2085423.677354,2085151.156654,2084928.354180
9: regular customers,3361031.000000,3226700.620891,3011578.036805,2704392.599885,2386038.704693,2189860.573429,2096324.736484,2047505.851601,2015984.605706,1993657.338739,1978017.902020,1965296.058159,1955136.429642,1947431.089050,1941787.236819,1937835.091503,1935168.017264,1933630.066274,1933096.259383,1933428.585599,1934527.627151,1936319.157186,1938686.597778,1941551.132949,1944838.410206,1948481.092454,1952430.208165,1956651.191533,1961097.584307,1965557.394612,1969867.396446,1974007.403458,1977945.748954,1981683.009393,1985218.824715,1988552.857924
10: regular customers,3361031.000000,2838122.535252,2373448.197773,2142527.264771,2053434.727591,2009135.170419,1979137.347732,1958521.243503,1942971.053668,1930457.067518,1920805.574645,1913580.591629,1908456.025475,1905033.675824,1903038.496765,1902300.467698,1902660.524793,1903965.481489,1906092.321321,1908913.712298,1912336.123989,1916278.718348,1920627.518296,1925311.638753,1930265.716649,1935299.557130,1940178.786352,1944921.527424,1949529.298803,1954000.924650,1958334.325951,1962508.875139,1966492.466481,1970285.224459,1973886.346364,1977295.057632
11: regular customers,3361031.000000,3226700.620891,3011578.036805,2704392.599885,2386038.423824,2189837.442724,2096284.934183,2047461.951567,2015931.858494,1993597.108923,1977944.003180,1965204.327882,1955025.353697,1947300.607671,1941638.624465,1937667.535547,1934983.001763,1933430.788339,1932886.139185,1933211.048541,1934306.167679,1936097.020042,1938466.655404,1941335.900413,1944629.999842,1948281.203263,1952240.147639,1956471.897538,1960929.675540,1965382.686612,1969686.527798,1973820.976360,1977754.345091,1981487.184669,1985019.105633,1988349.745057
12: regular customers,3361031.000000,2838122.535252,2373448.197773,2142527.264771,2053433.684092,2009128.446964,1979124.820145,1958505.029760,1942949.331027,1930428.656782,1920769.159623,1913534.708408,1908398.563077,1904963.709451,1902956.229181,1902206.762195,1902556.986764,1903854.191769,1905975.427819,1908793.304056,1912214.298092,1916157.407636,1920508.392852,1925196.112372,1930154.931429,1935181.529965,1940053.760287,1944790.110629,1949392.100734,1953858.526535,1958187.266999,1962357.664732,1966337.598223,1970127.170159,1973725.552396,1977131.947292
13: regular customers,3361031.000000,3226700.620891,3011578.036805,2704027.671074,2383073.469631,2185676.126150,2091762.506428,2043102.120113,2011025.107502,1988492.120030,1972349.911932,1959059.926836,1948466.775528,1940480.576686,1934661.342438,1930479.647573,1927670.005319,1926076.164208,1925563.412624,1925981.225608,1927224.121834,1929214.546373,1931827.898929,1934976.195466,1938576.308185,1942552.870068,1946849.841208,1951333.095473,1955695.683027,1959918.672510,1964000.463729,1967921.228028,1971650.221450,1975188.683762,1978536.564552,1981693.781950
14: regular customers,3361031.000000,2837080.549565,2368229.329735,2136767.111455,2047594.332438,2003357.517751,1972932.383965,1952103.689935,1935851.786763,1922837.278377,1912893.954039,1905539.607946,1900240.895270,1896766.399421,1894828.890032,1894238.712908,1894821.686931,1896411.114872,1898869.156939,1902054.550009,1905864.832117,1910211.843063,1914973.300711,1920024.684996,1924989.141778,1929798.327752,1934462.451997,1939000.360569,1943414.360222,1947703.304330,1951864.836632,1955878.366040,1959712.325164,1963367.148987,1966842.041187,1970136.202336
15: regular customers,3361031.000000,3226700.620891,3011578.036805,2704027.671074,2383071.949027,2185562.182412,2091571.493394,2042901.461538,2010789.443962,1988228.902032,1972027.981950,1958663.566071,1947989.733997,1939922.855383,1934024.491697,1929758.352505,1926875.344734,1925223.560174,1924669.171306,1925061.486944,1926295.519860,1928292.750239,1930926.550423,1934106.632680,1937747.301909,1941770.595452,1946118.274200,1950583.455242,1954912.010977,1959103.627729,1963156.669939,1967051.313143,1970756.851570,1974274.484590,1977604.050255,1980745.359339
16: regular customers,3361031.000000,2837080.549565,2368229.329735,2136767.111455,2047589.266749,2003325.573991,1972877.337654,1952037.728422,1935768.712703,1922734.080550,1912766.503780,1905381.101430,1900042.171644,1896524.366542,1894543.498060,1893912.424514,1894460.252358,1896022.679497,1898462.082994,1901636.812814,1905444.583467,1909796.690556,1914569.715143,1919611.084253,1924541.270003,1929318.069832,1933951.717352,1938461.105919,1942848.645831,1947113.177584,1951252.311774,1955245.459974,1959061.094204,1962699.625929,1966160.191576,1969441.925108
17: regular customers,3361031.000000,3341981.542756,3301182.513596,3226838.727523,3124594.962958,2999396.248142,2864064.619888,2729986.905704,2603903.572235,2492289.780453,2400663.252818,2334810.667716,2289141.250745,2254085.814371,2226495.643317,2205031.239304,2188702.518952,2176717.516634,2167754.307482,2159885.877724,2152990.724881,2147063.654641,2142037.549381,2137863.062436,2134448.681114,2131284.280274,2128254.125830,2125379.284366,2122666.139671,2120116.740843,2117731.241109,2115494.026680,2113380.084007,2111390.836375,2109524.512860,2107722.352993
18: regular customers,3361031.000000,3260280.582613,3135010.889316,2992904.001954,2850319.417363,2709220.978917,2574686.207007,2457298.743224,2362722.411587,2296928.573634,2251950.196104,2216946.782779,2189921.395291,2169591.713195,2154688.762376,2144191.796219,2135685.368157,2128375.324081,2122191.950623,2117038.258565,2112850.454627,2109592.296971,2106787.433361,2104153.809699,2101690.129906,2099394.179232,2097273.900832,2095344.634029,2093607.178721,2092058.398465,2090693.522778,2089492.185087,2088372.337229,2087297.189220,2086267.480104,2085283.528391
19: regular customers,3361031.000000,3341981.542756,3301182.513596,3226838.727523,3124593.219195,2999350.551126,2863941.236821,2729776.993521,2603599.347854,2491900.856316,2400239.443894,2334387.969692,2288706.470033,2253618.769944,2226003.594788,2204520.264194,2188182.216621,2176197.897324,2167196.167767,2159276.196013,2152333.005852,2146362.352576,2141297.875253,2137090.914848,2133632.039778,2130403.212989,2127310.754557,2124376.437873,2121607.348901,2119006.085385,2116573.264744,2114293.767320,2112143.094010,2110123.023329,2108228.836576,2106394.911054
20: regular customers,3361031.000000,3260280.582613,3135010.889316,2992904.001954,2850314.912686,2709166.916543,2574561.405121,2457108.212999,2362497.831959,2296698.017523,2251699.718964,2216673.269456,2189628.055201,2169283.161109,2154370.947884,2143860.539183,2135312.043197,2127961.145303,2121738.929062,2116549.107323,2112328.768899,2109040.525322,2106179.737346,2103490.360935,2100971.692622,2098622.238372,2096450.682116,2094473.085225,2092690.898834,2091101.410020,2089700.190856,2088465.495236,2087307.547942,2086198.810626,2085140.531920,2084133.657101
21: regular customers,3361031.000000,3341981.542756,3301182.513596,3226640.409344,3123229.435920,2995156.613534,2854638.815836,2712487.609594,2575811.981526,2452664.180246,2356321.727359,2290448.355360,2242425.383729,2205662.480547,2177930.724995,2157801.644846,2143138.693849,2130437.447456,2119449.942126,2110079.677690,2102279.971887,2095573.434802,2089200.107372,2083192.467566,2077574.040351,2072365.178266,2067596.439347,2063308.070678,2059488.684860,2056012.999139,2052887.960231,2050113.636601,2047677.885878,2045589.393940,2043849.537572,2042454.986241
