Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,14344.000000,43886.014365,89707.484724,158093.668442,250172.058266,360734.586010,482426.792021,609482.290007,735075.157405,852733.612071,956710.646977,1045306.230283,1112498.776807,1161559.459353,1198769.442033,1228839.600144,1252958.308333,1272208.520128,1287189.762330,1298300.538856,1306067.268391,1311669.775353,1315930.434564,1318913.891608,1320654.652216,1321169.304658,1320493.141896,1318695.896131,1315911.110109,1312208.845343,1307799.350925,1302709.501803,1297005.779036,1290745.075210,1283943.121404,1276616.033398
2: customers with PV,14344.000000,125327.153378,254480.960090,400516.833945,548609.185774,690576.896460,823007.169023,942860.469187,1046224.199395,1125902.925943,1183927.026556,1227723.683474,1262939.919726,1290761.003800,1312449.778582,1328852.458528,1340905.886420,1349759.436000,1356857.135787,1362205.344479,1365958.335942,1368320.958646,1369383.917795,1369225.307870,1367888.193638,1365516.703284,1362368.868394,1358484.264222,1353965.711029,1348805.312481,1342952.647798,1336400.931302,1329224.351732,1321485.947797,1313205.516585,1304403.020854
3: customers with PV,14344.000000,43886.014365,89707.484724,158093.668442,250172.058266,360734.583044,482421.193530,609367.938228,734650.388963,851771.431615,954623.650776,1041296.746033,1105985.493815,1152059.470793,1186082.480895,1212749.649871,1233315.304469,1248909.701841,1260158.436694,1267487.771087,1271445.133470,1273261.105488,1273724.068053,1272907.214045,1270854.348920,1267591.900666,1263164.413606,1257649.222415,1251183.446098,1243855.000609,1235880.992286,1227282.872066,1218127.851695,1208474.209273,1198341.065492,1187792.519729
4: customers with PV,14344.000000,125327.153378,254480.960090,400516.833945,548609.185774,690576.811711,822879.622826,941997.594709,1044244.302703,1122255.041316,1177939.788327,1218765.067815,1250563.307984,1274731.335569,1292649.022765,1305196.181634,1313335.333190,1318251.953538,1321391.657308,1322771.124466,1322554.289126,1320950.836247,1318058.890639,1313964.808840,1308720.791315,1302490.101943,1295529.918763,1287881.362850,1279647.815754,1270827.034130,1261376.856913,1251296.086712,1240658.978413,1229529.443532,1217930.468724,1205884.962002
5: customers with PV,14344.000000,43886.014365,89707.484724,158100.974282,250609.802676,362612.673022,487038.042168,618274.449570,749656.397370,874477.849592,985139.046813,1076263.544141,1142116.991363,1188391.662649,1223935.804626,1250668.495973,1270059.431830,1283279.101088,1291002.774458,1294617.942108,1295525.578686,1293932.723432,1289924.634921,1283578.117095,1274923.484791,1264013.524511,1251245.159851,1236718.531313,1220588.318791,1202824.454694,1183383.327512,1162441.355219,1140206.343181,1116856.626049,1092497.550823,1067241.909838
6: customers with PV,14344.000000,125554.568496,255807.027514,404583.221683,557615.794096,706897.103045,848677.906990,977932.959071,1087775.920135,1168107.358488,1225051.075209,1269410.477289,1303201.170444,1327887.936261,1344853.967914,1355662.380463,1363166.015802,1367927.402368,1369925.188242,1368962.617812,1365210.500978,1359101.193643,1351203.042270,1341563.116447,1330139.306528,1316860.921923,1301691.361015,1284663.026892,1265953.345774,1245546.359412,1223345.717004,1199350.311410,1173923.442380,1147474.633394,1120119.249592,1091979.511552
7: customers with PV,14344.000000,43886.014365,89707.484724,158100.974282,250609.802676,362612.658271,487029.875664,618117.108204,749014.728508,872870.609009,981624.480939,1069431.755454,1131028.607676,1172410.882669,1202590.940813,1223383.978213,1236369.567237,1242756.660164,1243257.848925,1239479.778418,1232589.513044,1222822.142657,1210290.530379,1195103.657531,1177466.765880,1157653.021003,1136130.090100,1113044.069798,1088656.085496,1063047.420429,1036235.313966,1008332.599171,979748.065613,951367.320092,923462.234317,896218.173117
8: customers with PV,14344.000000,125554.568496,255807.027514,404583.221683,557615.794096,706896.647591,848516.817947,976776.002977,1084849.169057,1162522.954138,1215964.308715,1255972.045016,1284615.415314,1303646.798756,1314536.388302,1318948.370259,1319670.555603,1317248.906361,1311666.985568,1302726.380379,1290615.594151,1275848.370339,1258974.503608,1240047.800806,1219053.154498,1195951.379137,1170947.411985,1144342.521788,1116440.530937,1087352.513747,1057120.815644,1025897.388551,994034.230801,962354.482567,931490.899476,901629.732021
9: customers with PV,14344.000000,148276.086503,363785.436355,673298.846699,997391.103247,1204143.601608,1308696.764176,1366727.905802,1399547.765672,1419658.957480,1428568.344168,1426718.748605,1415439.198579,1396739.501531,1371820.426755,1341968.314220,1309421.796187,1275787.940608,1241139.968244,1205080.707083,1168497.917090,1132804.404620,1098276.743545,1064975.661272,1032843.626457,1001786.005327,972045.614031,944153.961033,918180.397654,894082.988480,871715.611428,850901.534106,831599.094740,813729.288994,797158.923021,781562.998577
10: customers with PV,14344.000000,537785.934632,1007444.716261,1249416.983675,1351887.828027,1409118.892848,1451612.593819,1481358.908363,1498127.285196,1507649.037036,1508951.829290,1499356.311260,1480389.809170,1454675.475814,1423212.267558,1386943.034841,1348300.440272,1309122.897578,1269453.134901,1228838.263762,1187974.805640,1148330.080559,1110395.146711,1074168.532711,1039533.536703,1006463.123074,975234.463013,946368.992607,919861.201380,895427.367274,872758.166385,851672.481198,832125.480978,814034.966483,797264.702782,781486.687550
11: customers with PV,14344.000000,148276.086503,363785.436355,673298.846699,997391.103247,1203733.331614,1301312.362179,1348525.874454,1370707.975336,1376723.709292,1369159.194312,1350278.686612,1322424.353479,1289093.014716,1251573.310853,1211072.243038,1169767.139536,1129661.749520,1090737.546114,1052570.548483,1015587.956095,980450.811071,948037.687871,918275.329954,890858.805388,865505.508125,842011.104195,820249.987069,800188.150455,781616.149691,764123.981988,747607.844684,732050.625635,717416.514182,703631.401914,690628.158475
