Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,14344.00,43886.01,89707.48,158093.67,250172.06,360734.59,482426.79,609482.29,735075.16,852733.61,956710.65,1045306.23,1112498.78,1161559.46,1198769.44,1228839.60,1252958.31,1272208.52,1287189.76,1298300.54,1306067.27,1311669.78,1315930.43,1318913.89,1320654.65,1321169.30,1320493.14,1318695.90,1315911.11,1312208.85,1307799.35,1302709.50,1297005.78,1290745.08,1283943.12,1276616.03
2: customers with PV,14344.00,125327.15,254480.96,400516.83,548609.19,690576.90,823007.17,942860.47,1046224.20,1125902.93,1183927.03,1227723.68,1262939.92,1290761.00,1312449.78,1328852.46,1340905.89,1349759.44,1356857.14,1362205.34,1365958.34,1368320.96,1369383.92,1369225.31,1367888.19,1365516.70,1362368.87,1358484.26,1353965.71,1348805.31,1342952.65,1336400.93,1329224.35,1321485.95,1313205.52,1304403.02
3: customers with PV,14344.00,43886.01,89707.48,158093.67,250172.06,360734.58,482421.19,609367.94,734650.39,851771.43,954623.65,1041296.75,1105985.49,1152059.47,1186082.48,1212749.65,1233315.30,1248909.70,1260158.44,1267487.77,1271445.13,1273261.11,1273724.07,1272907.21,1270854.35,1267591.90,1263164.41,1257649.22,1251183.45,1243855.00,1235880.99,1227282.87,1218127.85,1208474.21,1198341.07,1187792.52
4: customers with PV,14344.00,125327.15,254480.96,400516.83,548609.19,690576.81,822879.62,941997.59,1044244.30,1122255.04,1177939.79,1218765.07,1250563.31,1274731.34,1292649.02,1305196.18,1313335.33,1318251.95,1321391.66,1322771.12,1322554.29,1320950.84,1318058.89,1313964.81,1308720.79,1302490.10,1295529.92,1287881.36,1279647.82,1270827.03,1261376.86,1251296.09,1240658.98,1229529.44,1217930.47,1205884.96
5: customers with PV,14344.00,43886.01,89707.48,158100.97,250609.80,362612.67,487038.04,618274.45,749656.40,874477.85,985139.05,1076263.54,1142116.99,1188391.66,1223935.80,1250668.50,1270059.43,1283279.10,1291002.77,1294617.94,1295525.58,1293932.72,1289924.63,1283578.12,1274923.48,1264013.52,1251245.16,1236718.53,1220588.32,1202824.45,1183383.33,1162441.36,1140206.34,1116856.63,1092497.55,1067241.91
6: customers with PV,14344.00,125554.57,255807.03,404583.22,557615.79,706897.10,848677.91,977932.96,1087775.92,1168107.36,1225051.08,1269410.48,1303201.17,1327887.94,1344853.97,1355662.38,1363166.02,1367927.40,1369925.19,1368962.62,1365210.50,1359101.19,1351203.04,1341563.12,1330139.31,1316860.92,1301691.36,1284663.03,1265953.35,1245546.36,1223345.72,1199350.31,1173923.44,1147474.63,1120119.25,1091979.51
7: customers with PV,14344.00,43886.01,89707.48,158100.97,250609.80,362612.66,487029.88,618117.11,749014.73,872870.61,981624.48,1069431.76,1131028.61,1172410.88,1202590.94,1223383.98,1236369.57,1242756.66,1243257.85,1239479.78,1232589.51,1222822.14,1210290.53,1195103.66,1177466.77,1157653.02,1136130.09,1113044.07,1088656.09,1063047.42,1036235.31,1008332.60,979748.07,951367.32,923462.23,896218.17
8: customers with PV,14344.00,125554.57,255807.03,404583.22,557615.79,706896.65,848516.82,976776.00,1084849.17,1162522.95,1215964.31,1255972.05,1284615.42,1303646.80,1314536.39,1318948.37,1319670.56,1317248.91,1311666.99,1302726.38,1290615.59,1275848.37,1258974.50,1240047.80,1219053.15,1195951.38,1170947.41,1144342.52,1116440.53,1087352.51,1057120.82,1025897.39,994034.23,962354.48,931490.90,901629.73
9: customers with PV,14344.00,148276.09,363785.44,673298.85,997391.10,1204143.60,1308696.76,1366727.91,1399547.77,1419658.96,1428568.34,1426718.75,1415439.20,1396739.50,1371820.43,1341968.31,1309421.80,1275787.94,1241139.97,1205080.71,1168497.92,1132804.40,1098276.74,1064975.66,1032843.63,1001786.01,972045.61,944153.96,918180.40,894082.99,871715.61,850901.53,831599.09,813729.29,797158.92,781563.00
10: customers with PV,14344.00,537785.93,1007444.72,1249416.98,1351887.83,1409118.89,1451612.59,1481358.91,1498127.29,1507649.04,1508951.83,1499356.31,1480389.81,1454675.48,1423212.27,1386943.03,1348300.44,1309122.90,1269453.13,1228838.26,1187974.81,1148330.08,1110395.15,1074168.53,1039533.54,1006463.12,975234.46,946368.99,919861.20,895427.37,872758.17,851672.48,832125.48,814034.97,797264.70,781486.69
11: customers with PV,14344.00,148276.09,363785.44,673298.85,997391.10,1203733.33,1301312.36,1348525.87,1370707.98,1376723.71,1369159.19,1350278.69,1322424.35,1289093.01,1251573.31,1211072.24,1169767.14,1129661.75,1090737.55,1052570.55,1015587.96,980450.81,948037.69,918275.33,890858.81,865505.51,842011.10,820249.99,800188.15,781616.15,764123.98,747607.84,732050.63,717416.51,703631.40,690628.16
