Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: regular customers,3361031.00,3341584.17,3300932.06,3226987.99,3123383.30,2995549.02,2859793.51,2725341.52,2594604.64,2475701.23,2380504.19,2314624.69,2269014.82,2233954.83,2207096.18,2186875.33,2172166.38,2161709.52,2153002.77,2145550.33,2139268.91,2134111.58,2129975.10,2126760.13,2123964.68,2121390.93,2119041.27,2116925.59,2115037.89,2113369.01,2111908.60,2110629.26,2109492.75,2108489.77,2107601.57,2106762.85
2: regular customers,3361031.00,3258721.63,3129666.24,2982472.52,2834514.74,2690256.91,2552487.57,2429491.77,2334560.38,2271339.02,2226901.13,2192887.63,2167403.56,2149029.43,2136332.70,2126567.99,2118354.48,2111566.11,2106093.64,2101807.72,2098600.40,2095955.74,2093596.49,2091513.27,2089692.84,2088121.49,2086796.25,2085721.96,2084887.77,2084280.13,2083884.66,2083640.72,2083459.86,2083335.45,2083259.95,2083225.80
3: regular customers,3361031.00,3341584.17,3300932.06,3226987.99,3123383.30,2995546.00,2859751.09,2725225.03,2594416.29,2475461.94,2380269.29,2314418.13,2268824.68,2233781.88,2206944.08,2186745.56,2172058.99,2161617.64,2152921.39,2145480.42,2139211.08,2134066.18,2129942.18,2126739.16,2123955.10,2121393.30,2119055.98,2116952.90,2115078.00,2113421.97,2111974.27,2110707.36,2109582.97,2108591.76,2107715.43,2106888.82
4: regular customers,3361031.00,3258721.63,3129666.24,2982472.52,2834514.74,2690249.18,2552434.98,2429386.77,2334445.05,2271234.23,2226801.25,2192800.37,2167332.50,2148975.99,2136296.04,2126542.69,2118341.48,2111566.00,2106106.47,2101832.97,2098637.80,2096006.80,2093661.69,2091592.92,2089787.04,2088230.15,2086919.09,2085858.56,2085037.67,2084442.74,2084059.19,2083827.78,2083659.32,2083546.67,2083482.26,2083458.45
5: regular customers,3361031.00,3340695.12,3297401.74,3217316.44,3102000.12,2954668.87,2792098.66,2623715.50,2459693.59,2327790.15,2246592.70,2190102.69,2150745.77,2125055.92,2106443.30,2091205.24,2079061.32,2069709.59,2062082.87,2055334.01,2049437.10,2044396.22,2040154.15,2036670.91,2033899.69,2031705.27,2029979.55,2028713.59,2027882.79,2027457.57,2027406.89,2027683.72,2028231.37,2029021.85,2030026.15,2031215.69
6: regular customers,3361031.00,3256161.90,3117759.22,2951908.51,2775600.99,2594380.38,2420791.46,2287106.87,2206496.46,2151035.73,2113907.59,2089976.73,2071384.35,2056673.14,2045364.71,2036704.60,2029248.60,2022855.37,2017478.27,2013040.96,2009493.46,2006804.72,2004791.38,2003324.07,2002365.94,2001879.49,2001838.26,2002224.23,2003004.55,2004143.14,2005603.81,2007335.23,2009277.04,2011398.66,2013669.55,2016060.51
7: regular customers,3361031.00,3340695.12,3297401.74,3217316.44,3102000.12,2954651.79,2791877.60,2623140.60,2458869.68,2327053.46,2245989.21,2189609.84,2150377.32,2124805.41,2106252.46,2091078.72,2079000.24,2069712.65,2062150.76,2055470.49,2049644.72,2044676.66,2040507.73,2037096.51,2034394.67,2032274.51,2030620.34,2029422.35,2028655.54,2028289.11,2028290.40,2028611.27,2029194.58,2030012.00,2031034.13,2032231.96
8: regular customers,3361031.00,3256161.90,3117759.22,2951908.51,2775600.99,2594334.09,2420540.73,2286788.90,2206218.00,2150810.91,2113756.49,2089886.81,2071349.55,2056698.50,2045449.11,2036851.60,2029464.35,2023143.53,2017840.42,2013476.22,2009999.88,2007379.69,2005442.13,2004048.38,2003160.30,2002739.10,2002757.27,2003196.05,2004022.47,2005199.82,2006690.87,2008443.69,2010397.88,2012522.95,2014788.44,2017165.07
9: regular customers,3361031.00,3212247.22,2936365.10,2535136.71,2212985.08,2090585.62,2032607.16,1996860.34,1971637.25,1952898.34,1937868.33,1926047.20,1917155.80,1910673.12,1906061.70,1903111.45,1901623.56,1901406.56,1902300.12,1904143.73,1906812.03,1910193.24,1914147.18,1918428.48,1922601.97,1926646.19,1930571.61,1934396.27,1938122.47,1941750.19,1945278.54,1948689.73,1951955.25,1955075.71,1958050.83,1960880.26
10: regular customers,3361031.00,2804711.36,2299701.91,2101132.10,2023442.89,1982116.62,1953592.70,1933164.68,1916797.60,1904075.70,1894674.98,1887725.75,1882846.29,1879892.25,1878569.55,1878664.18,1879977.95,1882323.38,1885547.93,1889505.34,1894047.98,1898646.11,1903130.01,1907501.05,1911758.58,1915901.58,1919939.64,1923889.91,1927753.82,1931530.46,1935218.15,1938798.28,1942241.56,1945547.78,1948715.91,1951744.85
11: regular customers,3361031.00,3212247.22,2936365.10,2535136.71,2212983.74,2090570.63,2032588.97,1996845.94,1971630.53,1952898.97,1937876.83,1926062.63,1917176.25,1910697.26,1906087.53,1903137.07,1901647.56,1901428.12,1902318.65,1904158.80,1906823.50,1910201.26,1914152.07,1918431.01,1922602.34,1926644.43,1930567.74,1934390.31,1938114.49,1941740.26,1945266.74,1948676.17,1951940.07,1955059.06,1958032.88,1960861.18
12: regular customers,3361031.00,2804711.36,2299701.91,2101132.10,2023442.07,1982111.34,1953587.08,1933164.46,1916805.00,1904091.30,1894698.64,1887756.77,1882882.88,1879932.38,1878611.06,1878705.03,1880016.58,1882358.77,1885579.39,1889532.40,1894071.37,1898668.37,1903151.03,1907520.74,1911776.84,1915918.32,1919954.76,1923903.34,1927765.51,1931540.40,1935226.36,1938804.80,1942246.47,1945551.19,1948717.93,1951745.61
13: regular customers,3361031.00,3209971.43,2922798.49,2497064.74,2176136.47,2059905.41,2006967.47,1971881.90,1947328.81,1927843.28,1912877.53,1901727.75,1893507.90,1887856.56,1884373.50,1882762.92,1882753.41,1884091.07,1886562.81,1889969.08,1894124.20,1898412.28,1902609.77,1906717.16,1910732.41,1914652.94,1918486.96,1922250.57,1925944.61,1929567.15,1933115.48,1936570.36,1939902.29,1943110.67,1946193.84,1949150.11
14: regular customers,3361031.00,2794093.00,2263488.45,2071677.08,1999682.50,1957966.53,1930237.85,1908755.69,1892287.83,1880175.22,1871391.63,1865306.99,1861628.77,1860102.04,1860346.62,1862076.18,1865035.66,1868992.62,1873489.80,1877961.92,1882403.49,1886809.50,1891144.14,1895406.13,1899591.93,1903697.40,1907729.33,1911702.43,1915616.19,1919467.48,1923252.51,1926950.99,1930532.36,1933994.98,1937336.29,1940553.71
15: regular customers,3361031.00,3209971.43,2922798.49,2497064.74,2176130.15,2059844.22,2006893.71,1971845.69,1947341.51,1927913.29,1913007.82,1901914.02,1893745.72,1888134.97,1884678.85,1883081.04,1883072.29,1884401.07,1886855.77,1890238.37,1894375.31,1898671.26,1902872.69,1906979.95,1910991.20,1914904.46,1918728.66,1922480.53,1926161.57,1929770.23,1933304.03,1936743.86,1940060.46,1943253.39,1946321.25,1949262.52
16: regular customers,3361031.00,2794093.00,2263488.45,2071677.08,1999678.88,1957944.88,1930220.61,1908776.24,1892357.74,1880298.33,1871571.10,1865537.07,1861899.12,1860400.64,1860660.10,1862391.49,1865342.09,1869282.05,1873792.72,1878286.56,1882745.50,1887164.16,1891506.51,1895771.24,1899954.98,1904054.41,1908077.13,1912038.61,1915939.05,1919775.83,1923545.41,1927227.72,1930792.44,1934238.17,1937562.60,1940763.36
17: regular customers,3361031.00,3337279.92,3277241.74,3168082.35,3024653.76,2870994.19,2714749.36,2561653.73,2426532.28,2326138.41,2261153.17,2213674.13,2178150.44,2152429.38,2134551.96,2120533.42,2108547.88,2098484.48,2090233.11,2083554.24,2077520.90,2071973.63,2066898.59,2062300.58,2058177.76,2054524.93,2051343.31,2048568.33,2046113.97,2043978.65,2042158.13,2040633.45,2039375.87,2038378.06,2037630.37,2037121.81
18: regular customers,3361031.00,3253766.81,3109302.03,2950512.18,2787979.96,2625205.69,2473015.24,2349100.41,2267010.16,2212182.44,2171341.41,2141484.33,2120610.73,2105621.82,2092909.15,2082303.43,2073669.51,2066832.08,2060898.58,2055476.65,2050570.43,2046195.13,2042323.90,2038950.79,2036064.28,2033598.84,2031452.05,2029632.89,2028138.46,2026961.73,2026093.45,2025510.06,2025178.56,2025087.74,2025224.51,2025574.84
19: regular customers,3361031.00,3337279.92,3277241.74,3168082.35,3024651.25,2870947.67,2714635.15,2561473.73,2426312.50,2325931.51,2260966.98,2213489.91,2177971.56,2152258.45,2134384.68,2120350.89,2108350.63,2098273.63,2090010.12,2083312.68,2077252.63,2071678.38,2066576.60,2061952.48,2057804.56,2054128.01,2050924.39,2048123.27,2045644.67,2043487.44,2041647.72,2040106.87,2038836.46,2037829.36,2037075.97,2036565.39
20: regular customers,3361031.00,3253766.81,3109302.03,2950512.18,2787974.95,2625153.29,2472909.08,2348974.11,2266893.79,2212066.95,2171232.43,2141382.98,2120517.10,2105523.57,2092801.55,2082185.81,2073541.72,2066692.11,2060738.54,2055295.28,2050366.86,2045968.98,2042075.18,2038679.91,2035771.98,2033282.80,2031111.97,2029269.84,2027754.01,2026557.86,2025672.50,2025074.70,2024731.75,2024632.61,2024764.25,2025112.72
21: regular customers,3361031.00,3336343.54,3273088.55,3155460.17,2995155.26,2814146.15,2620531.05,2429715.44,2286078.21,2200610.50,2142903.22,2105688.48,2080193.54,2059676.89,2043670.52,2031005.50,2019824.30,2010062.46,2001702.80,1994686.50,1988919.05,1984136.15,1980255.79,1977240.12,1975040.93,1973604.93,1972885.19,1972840.23,1973416.06,1974555.48,1976202.02,1978073.54,1979772.74,1981308.64,1982689.25,1983922.54
22: regular customers,3361031.00,3251122.49,3096352.20,2916101.03,2720610.37,2515679.09,2332530.08,2219023.65,2147502.36,2100708.59,2071381.10,2048408.72,2030370.16,2016659.70,2004887.16,1994667.47,1985977.84,1978765.83,1972949.34,1968198.85,1964414.60,1961569.49,1959587.75,1958412.27,1957979.49,1958224.06,1959089.97,1960529.43,1962484.52,1964758.72,1966917.88,1968928.41,1970776.06,1972469.10,1974014.85,1975420.53
