Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2: customers with PV,14344.00,129709.94,271782.59,432041.73,593179.20,749710.21,897054.10,1027500.35,1130358.90,1202650.18,1256389.65,1298819.10,1331633.78,1356401.23,1374444.54,1388415.38,1399895.44,1409257.37,1416570.15,1421758.54,1425024.24,1427046.84,1428095.34,1428195.49,1427338.82,1425499.52,1422676.38,1418909.77,1414312.41,1408879.43,1402560.20,1395380.62,1387492.99,1378970.71,1369836.47,1360113.30
3: customers with PV,14344.00,46819.29,100377.18,187133.93,303516.90,444169.72,592782.48,737255.32,874810.84,997779.55,1097223.10,1167416.63,1216623.79,1254337.36,1282825.95,1303619.28,1318074.61,1327663.29,1334721.53,1339539.47,1342301.17,1343242.30,1342486.77,1340170.46,1336765.14,1332429.49,1327168.43,1321026.41,1314113.69,1306431.86,1297941.44,1288643.53,1278617.04,1267934.86,1256634.64,1244796.57
4: customers with PV,14344.00,129709.94,271782.59,432041.73,593179.20,749710.10,896865.98,1026311.98,1127789.66,1198088.28,1249159.29,1288287.20,1317339.17,1338140.21,1352124.15,1361978.00,1369291.17,1374435.89,1377479.62,1378371.00,1377329.41,1375042.87,1371790.57,1367609.10,1362502.09,1356457.05,1349486.02,1341641.17,1333042.15,1323695.82,1313566.51,1302686.13,1291182.40,1279125.58,1266541.80,1253457.23
5: customers with PV,14344.00,47708.55,103909.24,196812.13,324924.76,485115.40,660565.48,839118.77,1010493.17,1148692.89,1237644.20,1301038.85,1345881.59,1375700.57,1396705.04,1412400.23,1423399.77,1430298.09,1433988.81,1434908.34,1433135.12,1428903.72,1422272.55,1413271.29,1401874.00,1388129.61,1372166.66,1354044.66,1333972.26,1311954.09,1287909.86,1261855.69,1233992.80,1204503.69,1173619.67,1141826.60
6: customers with PV,14344.00,132270.16,283696.36,462639.16,652203.05,845680.99,1029330.85,1172460.21,1263365.65,1328927.50,1375453.13,1407040.04,1431330.85,1449950.88,1463299.74,1472074.69,1477968.93,1481407.06,1482292.11,1480324.48,1475614.51,1468442.94,1458992.37,1447375.61,1433553.96,1417453.52,1399032.91,1378402.01,1355879.87,1331480.96,1305131.73,1276856.35,1246866.49,1215352.49,1182461.04,1148732.28
7: customers with PV,14344.00,47708.55,103909.24,196812.13,324924.76,485115.36,660532.52,838643.64,1008764.67,1144514.16,1229969.35,1288911.88,1328453.40,1352459.81,1367271.90,1376304.92,1380148.24,1379429.06,1375048.51,1367430.71,1356681.21,1343084.12,1326746.52,1307751.40,1286132.36,1261966.49,1235368.64,1206448.35,1175594.17,1143308.65,1109698.06,1074947.96,1039419.80,1003441.51,967615.69,932990.59
8: customers with PV,14344.00,132270.16,283696.36,462639.16,652203.05,845680.21,1028918.59,1170239.95,1258794.95,1321085.74,1363456.99,1390075.62,1408575.09,1420945.92,1427606.73,1429228.55,1427485.47,1422804.00,1415069.45,1403948.03,1389562.93,1372328.61,1352481.77,1330198.10,1305500.98,1278387.92,1248902.98,1217175.03,1183534.40,1148545.11,1112416.75,1075349.05,1037717.52,999858.18,962497.03,926661.25
9: customers with PV,14344.00,162931.52,439617.61,844503.38,1175554.98,1311172.40,1382262.05,1428325.15,1455462.82,1472238.47,1480233.21,1476763.09,1463163.14,1442008.09,1414520.36,1381695.78,1345998.79,1309239.32,1271528.62,1232473.09,1192817.11,1154000.93,1116648.68,1080946.73,1047114.67,1014943.08,984347.67,955895.05,929715.30,905533.51,883044.87,862072.52,842578.69,824489.88,807674.62,791988.46
10: customers with PV,14344.00,571436.45,1082327.16,1293306.90,1385115.11,1440087.25,1481888.16,1512105.75,1529966.42,1539846.05,1540892.74,1530756.74,1511060.32,1484267.48,1451437.88,1413583.83,1372937.20,1331720.05,1290072.19,1247543.38,1204887.85,1163719.41,1124851.00,1088178.64,1053475.88,1020503.82,989131.78,959884.53,933001.74,908195.50,885149.74,863679.48,843740.98,825254.79,808083.83,792081.23
11: customers with PV,14344.00,162931.52,439617.61,844503.38,1175554.98,1310366.20,1373057.89,1407368.28,1422947.26,1424651.40,1415087.25,1393331.66,1361912.58,1325073.51,1284294.96,1240674.30,1196109.10,1152490.09,1110330.14,1069178.75,1029477.93,991798.15,956909.48,925179.20,896536.33,870549.62,846881.16,825299.70,805685.67,787703.98,770747.59,754670.51,739461.72,725094.65,711502.08,698622.98
12: customers with PV,14344.00,571436.45,1082327.16,1293306.90,1385115.07,1438281.65,1469692.84,1487188.64,1492218.86,1485881.01,1468258.92,1439025.53,1400684.93,1357284.77,1310552.72,1261617.04,1212399.79,1164505.00,1118701.81,1074514.35,1032342.99,993072.38,957366.87,925329.65,896435.70,870226.97,846361.02,824603.03,804830.33,786691.62,769575.67,753348.78,737999.24,723499.86,709782.99,696787.27
13: customers with PV,14344.00,165209.44,453226.16,882845.42,1213483.22,1343356.89,1409854.18,1455263.89,1481400.15,1497867.86,1503903.48,1496728.04,1478057.80,1450373.89,1414627.32,1371843.84,1324933.53,1276061.29,1225437.59,1172727.89,1119956.91,1069088.58,1020560.89,974565.17,932302.59,893691.38,858445.24,826389.06,797485.30,770929.16,745909.49,722345.35,700286.04,679725.15,660578.33,642762.88
14: customers with PV,14344.00,582068.42,1118840.51,1323628.80,1410074.33,1465728.57,1507114.13,1538273.69,1555791.79,1564069.67,1562699.51,1548825.67,1523749.42,1490098.30,1448859.80,1400987.96,1349146.93,1295982.82,1241898.81,1186709.61,1132053.96,1079600.90,1029610.21,982160.71,938407.15,898499.98,862132.57,829112.59,799388.06,772194.46,746608.51,722544.38,700047.26,679105.80,659630.46,641533.68
15: customers with PV,14344.00,165209.44,453226.16,882845.42,1213483.22,1342310.31,1399657.39,1432340.73,1445359.95,1444733.85,1430535.83,1401626.60,1360848.04,1312779.62,1258853.35,1200392.50,1140463.39,1082100.96,1025472.00,970471.80,919756.96,874637.26,834869.87,799892.31,768578.39,739664.86,712974.65,688401.54,665926.83,645356.97,626470.45,609123.15,593228.67,578299.24,564150.70,550748.43
16: customers with PV,14344.00,582068.42,1118840.51,1323628.80,1410074.23,1463707.82,1494092.65,1511708.97,1514868.84,1504935.76,1482244.66,1445789.05,1397745.33,1342596.98,1282357.80,1218364.74,1153361.27,1090709.06,1030816.34,973702.44,921774.91,875830.92,835391.91,799872.03,768110.83,738813.61,711797.25,686949.99,664247.57,643491.14,624454.70,606989.96,590973.46,575893.20,561615.50,548104.22
17: customers with PV,14344.00,51115.84,124036.32,245988.23,402213.86,567894.33,732073.67,889134.59,1028686.28,1134105.48,1203858.40,1254175.04,1290359.59,1314876.81,1329666.88,1338624.31,1343774.55,1345483.15,1343838.91,1338926.80,1331763.68,1322708.96,1311816.38,1299138.53,1284703.50,1268531.60,1250675.20,1231296.28,1210623.60,1188718.92,1165830.86,1142090.54,1117644.09,1092632.76,1067157.74,1041318.98
18: customers with PV,14344.00,134656.94,292118.94,463951.68,638745.06,809482.65,967038.92,1097371.80,1186900.01,1248528.96,1294433.87,1326932.92,1348048.12,1361279.93,1370123.86,1374792.48,1375726.52,1373381.50,1368592.94,1361559.75,1352402.87,1341329.23,1328414.35,1313728.07,1297313.31,1279251.60,1259692.39,1238726.54,1216508.43,1193090.62,1168712.56,1143570.61,1117816.41,1091594.89,1065009.29,1038160.46
