Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: regular customers,1448848.00,1454222.10,1455539.80,1454163.90,1450678.28,1444284.77,1433923.14,1420410.81,1404219.99,1386108.45,1368140.10,1350906.22,1336764.20,1327689.29,1323864.61,1324191.23,1327206.94,1332710.56,1340446.05,1350204.07,1361836.87,1375204.92,1390015.02,1405578.57,1421844.33,1438815.28,1456492.32,1474885.16,1494013.92,1513877.38,1534452.87,1555561.35,1577171.12,1599292.27,1621933.88,1645105.01
2: regular customers,1448848.00,1419550.04,1387928.34,1355180.04,1321384.34,1288767.99,1259685.94,1236168.93,1221215.59,1213773.79,1211873.29,1213044.93,1216913.38,1223153.01,1231503.80,1241782.89,1253837.77,1267105.02,1281090.03,1295806.97,1311250.78,1327414.36,1344290.34,1361871.76,1380150.96,1399006.44,1418322.41,1438108.31,1458373.21,1479123.76,1500365.83,1522107.39,1544358.22,1567127.22,1590422.32,1614251.50
3: regular customers,1448848.00,1454222.10,1455539.80,1454163.90,1450678.28,1444284.77,1433923.14,1420410.81,1404219.48,1386098.13,1368101.89,1350819.23,1336624.91,1327508.63,1323657.87,1323951.97,1326943.96,1332431.69,1340157.32,1349912.21,1361547.63,1374922.96,1389726.25,1405279.29,1421536.55,1438500.96,1456173.17,1474562.72,1493689.62,1513552.60,1534123.07,1555221.44,1576821.67,1598933.88,1621567.16,1644730.60
4: regular customers,1448848.00,1419550.04,1387928.34,1355180.04,1321384.34,1288767.99,1259685.94,1236168.93,1221212.16,1213761.95,1211846.77,1212998.14,1216846.16,1223067.56,1231403.89,1241672.90,1253721.94,1266975.20,1280947.65,1295653.66,1311088.10,1327243.84,1344113.43,1361689.84,1379965.37,1398810.90,1418117.33,1437894.11,1458150.34,1478892.67,1500127.01,1521861.32,1544105.40,1566868.16,1590157.52,1613981.47
5: regular customers,1448848.00,1452033.81,1450716.77,1446183.36,1438927.36,1427963.00,1412197.60,1392631.91,1369489.96,1345269.62,1321292.89,1301966.65,1289088.95,1282887.33,1280354.33,1281267.06,1285374.36,1292386.69,1302023.36,1313625.36,1326171.94,1339629.80,1353995.79,1369268.13,1385440.24,1402487.37,1420123.90,1438280.87,1456980.04,1476230.80,1496041.24,1516421.59,1537383.85,1558938.47,1581094.26,1603859.74
6: regular customers,1448848.00,1415647.96,1378731.35,1339371.77,1297751.44,1257336.52,1221443.65,1196558.04,1183053.57,1176530.78,1174366.61,1176009.10,1180973.78,1188868.36,1198755.64,1209602.23,1221417.74,1234195.54,1247928.92,1262601.99,1278055.53,1294024.84,1310514.38,1327532.37,1345085.35,1363180.58,1381823.97,1401024.31,1420789.62,1441124.78,1462033.61,1483497.01,1505495.23,1528037.35,1551131.18,1574784.46
7: regular customers,1448848.00,1452033.81,1450716.77,1446183.36,1438927.36,1427963.00,1412197.60,1392631.91,1369484.86,1345210.08,1321098.23,1301588.27,1288554.01,1282224.55,1279574.35,1280412.79,1284484.19,1291495.29,1301158.54,1312732.70,1325239.06,1338668.42,1353016.92,1368281.92,1384455.97,1401494.81,1419096.26,1437221.62,1455892.84,1475119.32,1494909.14,1515272.52,1536221.42,1557766.19,1579915.58,1602677.99
8: regular customers,1448848.00,1415647.96,1378731.35,1339371.77,1297751.44,1257336.52,1221443.65,1196557.17,1183037.52,1176479.83,1174260.92,1175838.74,1180748.57,1188605.51,1198434.98,1209230.75,1221003.40,1233746.27,1247453.24,1262108.05,1277526.32,1293459.37,1309915.98,1326904.44,1344431.26,1362503.29,1381126.35,1400309.21,1420059.86,1440383.11,1461282.70,1482731.08,1504716.42,1527247.78,1550332.93,1573979.56
9: regular customers,1448848.00,1409328.51,1351733.18,1287241.57,1218510.48,1156516.87,1122164.31,1103009.58,1094670.16,1094226.50,1096593.87,1101439.50,1108598.21,1117071.32,1126676.34,1137390.01,1149188.07,1162020.87,1175821.00,1190446.86,1205846.73,1221999.45,1238887.85,1256495.51,1274804.83,1293801.48,1313484.40,1333843.98,1354865.65,1376534.26,1398835.80,1421759.97,1445299.61,1469448.06,1494199.01,1519547.52
10: regular customers,1448848.00,1251761.39,1103296.72,1043454.12,1020845.55,1015109.51,1015139.48,1018942.82,1025333.90,1033044.36,1041950.36,1051989.97,1063096.33,1075206.61,1088157.66,1101885.35,1116382.54,1131646.58,1147645.44,1164350.81,1181738.73,1199785.80,1218470.62,1237774.25,1257679.08,1278170.33,1299234.70,1320863.56,1343049.43,1365784.14,1389060.44,1412874.54,1437221.32,1462005.14,1487192.93,1512793.45
11: regular customers,1448848.00,1409328.51,1351733.18,1287241.57,1218510.48,1156516.87,1122164.31,1103009.07,1094667.33,1094220.02,1096581.74,1101421.45,1108574.88,1117041.86,1126641.56,1137350.91,1149145.59,1161975.92,1175774.23,1190398.27,1205796.93,1221948.99,1238837.21,1256445.13,1274755.05,1293752.59,1313436.58,1333797.43,1354820.50,1376490.62,1398793.75,1421719.57,1445260.90,1469411.04,1494163.69,1519513.88
