Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,153571.000000,170495.658015,191849.534636,216281.391228,243228.997006,273510.652418,308198.955138,346494.486912,387948.705508,431820.482815,476074.866524,520125.444676,561655.944234,598504.188877,630528.720956,658940.345807,685199.276776,709534.887886,732211.857740,753443.417843,773395.173921,792218.475330,810203.352485,828010.166753,845697.068261,863273.283266,880748.342000,898133.501833,915441.348364,932684.530412,949892.110752,967241.087608,984774.895394,1002497.294621,1020411.847107,1038522.346946
2: customers with PV,153571.000000,205186.720553,259552.504195,315501.553485,372972.387791,429752.017715,483517.539370,532250.516171,572888.601964,606356.438838,634728.530565,660464.189244,683981.996659,705623.495602,725651.222191,744272.310883,761675.851692,778412.929061,794966.739056,811352.854386,827588.394180,843689.654336,859672.550684,875552.856525,891345.679584,907173.728672,923153.850296,939289.917994,955586.013895,972045.367104,988670.971520,1005466.830751,1022438.016811,1039589.492102,1056925.971585,1074452.353307
3: customers with PV,153571.000000,170495.658015,191849.534636,216281.391228,243228.997006,273510.652418,308198.955138,346494.486912,387948.705508,431820.189521,476072.539665,520115.367776,561623.476503,598436.735377,630416.648312,658796.298530,685018.999954,709315.624946,731952.452812,753142.631472,773052.619423,791834.498214,809794.979012,827582.123803,845248.572729,862803.669819,880257.057167,897620.093014,914905.455429,932125.883478,949315.843765,966652.129212,984172.788173,1001881.596380,1019782.132018,1037878.206607
4: customers with PV,153571.000000,205186.720553,259552.504195,315501.553485,372972.387791,429752.017715,483517.539370,532250.516171,572888.368254,606354.597563,634723.728529,660454.002841,683963.233363,705593.288903,725606.918078,744211.840289,761597.794257,778326.255578,794870.435651,811245.999352,827470.164706,843559.324967,859529.491983,875396.533181,891175.648075,906996.196505,922968.375836,939096.069412,955383.370415,971833.520189,988449.525982,1005235.405777,1022196.246872,1039337.027773,1056662.480293,1074177.520005
5: customers with PV,153571.000000,172685.077169,196678.152098,224276.525435,255012.120685,289890.159744,330017.546473,374413.721500,422878.861939,472957.381737,523333.743859,569659.582576,610103.137211,644269.138943,675177.130355,703136.615521,728441.802546,751416.090713,772341.186093,791866.426786,810990.198344,829759.036293,848185.968739,866286.613793,884078.544461,901598.538842,919124.729419,936745.404048,954461.389225,972273.318879,990182.005186,1008189.672992,1026300.066243,1044517.267517,1062845.508038,1081289.564270
6: customers with PV,153571.000000,209090.734471,268761.925164,331344.685814,396677.005016,461321.119747,521990.885538,572256.009253,611611.256248,644369.182764,673200.151120,698690.405263,721344.659841,741572.128702,760289.834817,778517.118593,796278.525402,813600.665225,830510.443461,847039.678781,863353.213463,879712.255678,896122.245952,912585.245726,929103.454647,945679.876689,962317.818638,979022.343619,995799.113760,1012653.237016,1029589.802783,1046638.611510,1063833.057830,1081178.366945,1098679.672773,1116342.429005
7: customers with PV,153571.000000,172685.077169,196678.152098,224276.525435,255012.120685,289890.159744,330017.546473,374413.721500,422878.839227,472955.044055,523314.245866,569575.385000,609893.947840,643923.512819,674696.609140,702500.409483,727639.054804,750439.031256,771188.322152,790608.672015,809645.943937,828323.791036,846656.189152,864659.693050,882352.787757,899789.757036,917259.714598,934821.771532,952476.889916,970225.854959,988069.640359,1006010.641196,1024052.778634,1042200.317854,1060457.676601,1078829.820341
8: customers with PV,153571.000000,209090.734471,268761.925164,331344.685814,396677.005016,461321.119747,521990.885538,572256.009253,611609.434154,644361.620776,673177.667054,698640.593992,721253.723015,741428.600017,760117.963249,778310.944287,796032.647431,813310.329128,830171.606633,846649.096077,862929.847217,879257.622401,895633.939160,912060.994875,928541.136715,945077.516828,961673.579739,978334.532062,995066.185297,1011873.801258,1028762.626442,1045770.112340,1062922.018322,1080223.672975,1097680.315977,1115297.508452
9: customers with PV,153571.000000,209827.947919,285029.721074,368267.988039,457062.112434,540866.927335,598944.774400,642917.940082,676887.291023,703634.549577,728093.161174,750556.765115,771096.059117,790735.351046,809693.512734,828019.510460,845779.972260,863038.289425,879857.707919,896387.489387,912693.517425,928806.045678,944754.063965,960565.675378,976267.546470,991885.433394,1007444.391937,1022970.976074,1038490.712571,1054026.688686,1069600.125054,1085231.723110,1100941.985502,1116750.137762,1132673.957414,1148730.240699
10: customers with PV,153571.000000,367972.776693,536347.491202,618915.629898,665478.438955,695903.938453,721067.274681,742873.981630,762449.029400,781093.543372,798941.385628,816078.716252,832587.575965,848548.741621,864126.013678,879406.134755,894430.320373,909238.323260,923866.791675,938351.807849,952727.926713,967026.676144,981277.112174,995506.230337,1009738.591828,1023997.118171,1038302.773045,1052676.196551,1067136.836432,1081701.809347,1096386.481734,1111205.852971,1126178.887836,1141408.675853,1156938.521137,1172772.669779
11: customers with PV,153571.000000,209827.947919,285029.721074,368267.988039,457062.112434,540866.927335,598944.774400,642917.923286,676886.741545,703632.840577,728089.676491,750550.168698,771085.613661,790721.842116,809676.219248,827997.806669,845753.338830,863006.307854,879820.290583,896345.054737,912645.844384,928752.971647,944695.479621,960501.519567,976197.800543,991810.113634,1007363.543667,1022884.668389,1038399.035093,1053929.748537,1069498.044054,1085124.635204,1100830.034375,1116633.474660,1132552.739168,1148604.627968
