Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,153571.00,170282.54,191341.30,215394.85,241850.14,271291.19,304814.13,342071.81,382179.73,425082.18,468324.57,511638.64,552780.25,589849.46,621813.19,649694.95,675227.54,698694.42,720323.70,740387.03,759063.58,776506.17,792846.38,808690.42,824286.59,839637.77,854746.08,869633.65,884320.00,898809.02,913097.34,927236.20,941388.09,955570.95,969786.61,984037.18
2: customers with PV,153571.00,204981.85,258929.43,314336.27,371001.01,427231.29,480504.06,529174.17,569957.29,603613.55,632002.50,657623.67,680749.96,701726.58,720812.38,738310.41,754472.55,769707.20,784637.34,799309.62,813750.08,827954.65,841926.77,855680.02,869219.39,882587.46,895944.37,909323.30,922735.59,936175.26,949618.80,963052.38,976496.11,989962.53,1003454.83,1016976.43
3: customers with PV,153571.00,170282.54,191341.30,215394.85,241850.14,271291.19,304800.28,341882.55,381593.32,423856.70,466223.49,508433.88,548338.73,584176.30,614888.17,641473.78,665627.52,687615.41,707630.70,725900.07,742624.46,757967.34,772121.93,785718.99,799007.10,811989.81,824646.44,836963.92,848967.21,860654.66,872014.77,883112.99,894125.62,905075.00,915962.83,926791.12
4: customers with PV,153571.00,204981.85,258929.43,314336.27,371001.01,427231.29,480400.32,528628.18,568644.09,601281.89,628442.26,652660.47,674414.38,694040.80,711771.51,727829.40,742461.04,756073.00,769205.21,781903.81,794218.77,806200.00,817892.17,829309.58,840457.65,851371.77,862156.72,872844.72,883453.98,893972.24,904376.82,914670.09,924878.18,935016.86,945089.29,955098.91
5: customers with PV,153571.00,172134.51,195492.75,222326.36,252068.47,285441.24,323622.23,366111.77,412330.81,460908.03,509817.26,556424.52,597446.71,632191.42,662558.11,689967.39,714490.14,736469.40,756160.46,773863.98,790603.37,806795.12,822400.99,837421.72,851843.46,865665.06,878931.61,891922.88,904696.49,917225.49,929455.69,941337.38,952892.78,964132.46,975047.51,985629.74
6: customers with PV,153571.00,208493.27,267225.81,328614.95,392445.19,455850.68,515736.05,566293.38,606221.18,638990.44,667956.17,693503.29,715953.32,735669.07,753182.62,769803.25,785763.78,801120.58,815882.61,830078.86,843755.42,857141.31,870318.84,883276.72,895986.75,908445.53,920635.11,932569.75,944262.39,955688.05,966769.61,977487.96,987887.39,998011.12,1007852.05,1017402.64
7: customers with PV,153571.00,172134.51,195492.75,222326.36,252068.47,285441.24,323602.87,365887.27,411611.44,459337.49,506979.19,551866.76,590811.97,623311.18,651252.74,676022.40,697671.76,716542.31,732816.42,746779.63,759478.00,771320.11,782342.24,792549.77,801924.87,810458.62,818126.04,825145.19,831571.21,837353.55,842418.72,846740.71,850343.20,853231.46,855385.41,856785.56
8: customers with PV,153571.00,208493.27,267225.81,328614.95,392445.19,455850.68,515603.07,565625.81,604607.59,636070.32,663374.30,686916.19,707221.64,724662.53,739740.70,753691.67,766752.36,778952.25,790207.78,800549.93,810061.72,819048.89,827601.84,835702.93,843316.86,850402.14,856848.89,862666.17,867867.23,872406.38,876214.21,879269.42,881608.76,883272.11,884242.65,884501.21
9: customers with PV,153571.00,209253.69,283446.12,365269.36,451586.66,534615.36,593226.51,637749.20,672282.99,699436.36,723716.43,745241.80,763054.15,778244.15,791561.73,803470.29,814289.01,824269.14,833425.48,841892.47,849750.31,857003.62,863690.74,869848.05,875478.54,880606.30,885234.20,889442.52,893303.49,896819.49,899903.26,902559.06,904887.19,906954.48,908790.16,910422.12
10: customers with PV,153571.00,367187.48,534363.98,617249.20,663981.30,694605.05,719778.89,741608.79,761122.50,779685.30,797300.83,812507.39,825257.44,835909.26,845017.71,853076.82,860476.88,867378.85,873751.55,879614.19,884959.72,889842.73,894301.34,898370.31,902050.90,905362.51,908302.10,910945.81,913359.66,915526.55,917341.80,918825.77,920073.38,921145.63,922073.45,922958.68
11: customers with PV,153571.00,209253.69,283446.12,365269.36,451586.66,534615.36,592051.10,633241.25,662817.30,683996.22,701324.14,715880.80,727401.78,736617.53,744157.64,749998.53,754525.25,757861.26,759765.61,760447.04,760232.78,759358.54,757979.05,756139.03,753849.20,751136.20,747929.68,744209.41,740084.47,735552.59,730577.01,725209.64,719577.39,713762.94,707801.85,701727.38
12: customers with PV,153571.00,367187.48,534363.98,617249.20,663981.30,694244.81,716963.78,734090.99,747616.65,759344.32,769299.76,777297.01,783537.46,788085.28,791017.64,792607.75,793247.26,792975.21,791596.03,789264.78,786264.75,782869.73,779140.02,775116.26,770803.45,766222.38,761230.31,755869.36,750246.37,744350.05,738133.90,731641.47,724992.17,718260.91,711475.45,704666.22
13: customers with PV,153571.00,211307.67,288505.80,374275.19,464816.23,548392.74,605533.99,649161.48,682258.26,708755.83,733023.21,754158.71,771621.13,786828.05,799924.66,811382.16,821560.92,830736.62,838964.53,846386.61,852979.71,858749.31,863727.66,867944.49,871384.96,874078.99,876014.98,877282.21,877961.14,878036.87,877397.45,876005.19,873979.88,871397.31,868280.58,864651.70
14: customers with PV,153571.00,371747.15,543356.97,625289.95,671129.87,701460.02,726762.86,748451.40,768346.14,787226.54,805004.89,820218.16,832831.44,843272.76,852060.01,859599.77,866332.43,872420.15,877808.34,882497.58,886478.21,889805.89,892511.33,894620.94,896123.25,897037.96,897341.21,897115.27,896431.69,895261.22,893452.37,891000.30,888098.39,884832.53,881206.09,877222.93
15: customers with PV,153571.00,211307.67,288505.80,374275.19,464816.23,548392.74,604259.94,644359.05,672206.84,692273.06,708941.73,722259.41,732279.10,740153.05,745850.08,749384.31,751189.39,751405.89,749811.42,746650.25,742169.26,736542.26,729953.47,722443.70,714002.48,704640.81,694338.18,683086.60,670932.70,657847.70,643750.81,628686.06,612810.74,596224.82,578962.14,561054.87
16: customers with PV,153571.00,371747.15,543356.97,625289.95,671129.87,701072.92,723838.25,740657.16,754288.73,765925.07,775441.52,782615.16,787650.53,790667.23,791697.38,790951.12,788860.50,785485.64,780587.18,774315.67,766941.40,758722.42,749734.67,740010.61,729532.24,718302.82,706270.75,693401.60,679781.03,665370.05,650076.80,633935.23,617093.69,599676.50,581760.33,563357.65
17: customers with PV,153571.00,171680.16,196028.82,225749.36,263234.66,307484.91,356862.24,410308.29,465320.84,518125.44,563471.58,600488.19,630870.76,657665.91,681575.70,702915.73,722009.96,739095.55,754431.32,768940.06,782885.89,796330.67,809259.60,821610.03,833374.11,844688.75,855724.75,866497.71,877021.55,887280.14,897247.43,906923.30,916332.35,925489.40,934397.08,943064.88
18: customers with PV,153571.00,206152.44,264205.84,326579.46,389740.01,450324.42,505947.67,553785.20,592383.53,623528.36,650596.51,674501.94,695768.07,714686.27,731518.81,746798.98,761439.46,775491.54,788869.99,801591.39,813789.61,825520.07,836965.61,848155.60,859071.15,869701.57,880028.95,890072.56,899849.76,909347.13,918540.97,927433.89,936069.93,944495.90,952714.98,960730.54
19: customers with PV,153571.00,171680.16,196028.82,225749.36,263234.66,307436.84,356488.28,409275.39,463380.72,515126.29,559407.27,595195.18,624004.82,649072.59,671009.93,690165.37,706917.75,721533.11,734301.67,746183.04,757376.73,767897.04,777752.62,786953.99,795499.54,803528.21,811207.62,818553.03,825578.02,832266.41,838592.21,844555.12,850179.31,855479.23,860457.26,865122.49
20: customers with PV,153571.00,206152.44,264205.84,326579.46,389740.01,450156.78,505171.52,552040.25,589422.36,619352.62,645225.08,667709.69,687229.03,704264.31,718961.60,731923.64,744109.95,755588.56,766316.38,776319.73,785648.33,794340.71,802634.44,810604.68,818232.54,825507.28,832411.03,838962.79,845179.62,851048.06,856544.50,861671.42,866471.67,870991.56,875233.98,879201.84
21: customers with PV,153571.00,173587.53,200440.65,233391.75,274980.36,324379.07,380005.83,440617.05,502078.98,558145.43,602615.76,637737.53,667969.92,693868.89,715881.02,734338.11,750435.29,765340.29,778920.14,791167.42,802208.29,812229.69,821475.18,829846.78,837267.34,843671.74,848979.02,853176.49,856250.24,858131.43,858773.76,858134.84,856211.84,852982.61,848397.59,842407.55
22: customers with PV,153571.00,209735.87,272883.34,341857.85,413065.66,481452.54,542858.54,591110.17,628593.03,660402.98,687302.89,710015.33,729137.47,746300.56,762199.58,776786.44,790135.17,802279.72,813471.07,823892.46,833636.74,842666.26,850836.25,858083.77,864341.00,869551.94,873676.70,876749.15,878756.81,879625.51,879255.03,877594.75,874646.93,870393.95,864790.23,857790.06
23: customers with PV,153571.00,173587.53,200440.65,233391.75,274980.36,324319.11,379554.06,439297.99,499447.16,553791.09,596290.16,629116.35,656537.11,679327.84,697765.55,712248.55,724054.92,734284.13,742798.25,749572.48,754629.30,758115.29,760303.85,761122.64,760460.59,758217.42,754272.74,748580.51,741092.46,731694.37,720284.58,706772.51,691113.89,673241.09,653052.79,630445.81
24: customers with PV,153571.00,209735.87,272883.34,341857.85,413065.66,481249.46,541911.80,588905.40,624720.15,654694.63,679583.57,699860.46,716108.86,730113.88,742377.85,752930.00,761876.14,769250.91,775299.16,780139.57,783759.82,786104.81,787104.41,786687.16,784751.20,781205.28,775964.85,769030.55,760354.55,749817.08,737265.35,722600.34,705782.75,686749.16,665401.81,641640.62
25: customers with PV,153571.00,215503.43,303603.56,412796.87,526725.71,601587.45,652291.74,687530.04,714351.34,735110.36,750714.04,763842.99,774791.88,783601.99,790125.73,794468.70,797088.37,797955.18,796849.74,794431.87,791021.36,786407.73,780537.96,773515.33,765385.16,756223.55,746076.78,735123.57,723605.40,711721.58,699448.12,686844.11,674041.21,661126.99,648143.29,635129.81
26: customers with PV,153571.00,372253.71,547824.86,628191.70,672691.14,702468.59,727593.98,749194.96,767583.76,782436.86,794188.34,803859.38,811427.07,817170.20,820906.96,822702.74,822881.56,821377.25,818086.11,813688.79,808415.73,802011.61,794490.11,785950.94,776433.74,766076.18,755079.12,743592.46,731736.26,719514.06,706896.68,693944.57,680791.36,667526.12,654191.73,640828.88
27: customers with PV,153571.00,215503.43,303603.56,412796.87,526665.78,599546.43,645527.48,674501.74,694645.75,709492.13,719232.47,724970.32,727794.68,727837.19,724914.73,719507.87,712332.11,703649.18,693378.57,681728.40,668977.76,655287.26,640778.57,625566.88,609714.42,593307.39,576404.30,559170.65,541809.53,524536.23,507338.78,490262.82,473408.99,456839.31,440577.74,424645.32
28: customers with PV,153571.00,372253.71,547824.86,628191.70,672144.97,698613.09,718010.36,732541.07,743971.72,752700.14,758161.58,759888.01,758974.62,755512.68,749447.75,741221.08,731404.95,720253.07,707685.20,693913.41,679218.55,663758.04,647647.93,630996.28,613856.78,596352.72,578706.99,561058.71,543507.43,526054.88,508676.19,491417.82,474381.36,457629.64,441187.22,425075.70
