Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: RETAIL PRICE,0.21,0.21,0.21,0.22,0.22,0.23,0.23,0.23,0.24,0.24,0.25,0.25,0.25,0.26,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.31,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.34,0.34,0.34,0.35
2: RETAIL PRICE,0.21,0.21,0.22,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.30,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.34,0.35,0.35
3: RETAIL PRICE,0.21,0.21,0.21,0.22,0.22,0.23,0.23,0.23,0.24,0.24,0.25,0.25,0.25,0.26,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.31,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.34,0.34,0.34,0.35
4: RETAIL PRICE,0.21,0.21,0.22,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.30,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.34,0.35,0.35
5: RETAIL PRICE,0.21,0.21,0.21,0.22,0.22,0.23,0.23,0.23,0.24,0.24,0.25,0.25,0.25,0.26,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.31,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.34,0.34,0.34,0.35
6: RETAIL PRICE,0.21,0.21,0.22,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.30,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.34,0.35,0.35
7: RETAIL PRICE,0.21,0.21,0.21,0.22,0.22,0.23,0.23,0.23,0.24,0.24,0.25,0.25,0.25,0.26,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.31,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.34,0.34,0.34,0.35
8: RETAIL PRICE,0.21,0.21,0.22,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.30,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.34,0.35,0.35
9: RETAIL PRICE,0.21,0.21,0.22,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.30,0.30,0.30,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.35,0.35,0.35,0.36
10: RETAIL PRICE,0.21,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.30,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.35,0.35,0.35,0.36,0.36
11: RETAIL PRICE,0.21,0.21,0.22,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.30,0.30,0.30,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.35,0.35,0.35,0.36
12: RETAIL PRICE,0.21,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.30,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.35,0.35,0.35,0.36,0.36
13: RETAIL PRICE,0.21,0.21,0.22,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.30,0.30,0.30,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.35,0.35,0.35,0.36
14: RETAIL PRICE,0.21,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.31,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.35,0.35,0.35,0.36,0.36
15: RETAIL PRICE,0.21,0.21,0.22,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.30,0.30,0.30,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.35,0.35,0.35,0.36
16: RETAIL PRICE,0.21,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.30,0.30,0.31,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33,0.34,0.34,0.35,0.35,0.35,0.36,0.36
17: RETAIL PRICE,0.21,0.22,0.22,0.23,0.24,0.25,0.26,0.26,0.27,0.28,0.29,0.30,0.31,0.31,0.32,0.33,0.34,0.35,0.36,0.36,0.37,0.38,0.39,0.39,0.40,0.41,0.42,0.42,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.48
18: RETAIL PRICE,0.21,0.22,0.23,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.34,0.35,0.36,0.37,0.37,0.38,0.39,0.40,0.40,0.41,0.42,0.42,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.48,0.48
19: RETAIL PRICE,0.21,0.22,0.22,0.23,0.24,0.25,0.26,0.26,0.27,0.28,0.29,0.30,0.31,0.31,0.32,0.33,0.34,0.35,0.36,0.36,0.37,0.38,0.39,0.39,0.40,0.41,0.42,0.42,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.48
20: RETAIL PRICE,0.21,0.22,0.23,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.34,0.35,0.36,0.37,0.37,0.38,0.39,0.40,0.40,0.41,0.42,0.42,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.48,0.48
21: RETAIL PRICE,0.21,0.22,0.22,0.23,0.24,0.25,0.26,0.26,0.27,0.28,0.29,0.30,0.31,0.31,0.32,0.33,0.34,0.35,0.36,0.36,0.37,0.38,0.39,0.39,0.40,0.41,0.42,0.42,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.48
22: RETAIL PRICE,0.21,0.22,0.23,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.34,0.35,0.36,0.37,0.38,0.38,0.39,0.40,0.40,0.41,0.42,0.43,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.48,0.48
23: RETAIL PRICE,0.21,0.22,0.22,0.23,0.24,0.25,0.26,0.26,0.27,0.28,0.29,0.30,0.31,0.31,0.32,0.33,0.34,0.35,0.36,0.36,0.37,0.38,0.39,0.39,0.40,0.41,0.42,0.42,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.48
24: RETAIL PRICE,0.21,0.22,0.23,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.34,0.35,0.36,0.37,0.38,0.38,0.39,0.40,0.40,0.41,0.42,0.43,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.48,0.48
25: RETAIL PRICE,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.31,0.32,0.33,0.34,0.35,0.36,0.36,0.37,0.38,0.39,0.40,0.40,0.41,0.42,0.42,0.43,0.44,0.45,0.45,0.46,0.47,0.47,0.48,0.48,0.49
