Years,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00,2024.00,2025.00,2026.00,2027.00,2028.00,2029.00,2030.00,2031.00,2032.00,2033.00,2034.00,2035.00,2036.00,2037.00,2038.00,2039.00,2040.00,2041.00,2042.00,2043.00,2044.00,2045.00,2046.00,2047.00,2048.00,2049.00,Final
1: customers with PV,153571.00,168438.19,185949.54,205471.05,226461.77,248674.13,271965.07,296072.92,320887.47,346621.45,373309.77,401230.48,430267.29,459958.04,490117.24,520330.34,550147.19,578676.25,605925.72,631846.55,656478.85,679812.35,702070.41,723784.84,745109.64,766098.56,786719.88,806967.49,826874.42,846458.74,865739.99,884789.78,903658.96,922334.66,940741.83,959097.86
2: customers with PV,153571.00,203013.29,252033.37,300321.24,347894.86,394287.68,439052.93,481250.01,521000.28,556921.67,588765.22,616614.18,641211.09,664137.39,685825.33,706424.30,726074.75,744858.18,762838.18,780119.83,796796.04,812951.94,828667.84,844262.18,859888.81,875557.29,891277.13,907058.59,922911.80,938847.32,954874.42,971001.95,987239.33,1003595.69,1020078.57,1036696.01
3: customers with PV,153571.00,168438.19,185949.54,205471.05,226461.77,248674.13,271965.07,296072.92,320887.47,346621.45,373309.77,401230.48,430267.29,459958.04,490117.24,520330.34,550147.19,578676.25,605925.72,631846.55,656478.85,679812.35,702070.41,723784.84,745109.64,766098.56,786719.88,806967.49,826874.42,846458.74,865739.99,884789.78,903658.96,922334.66,940741.83,959096.97
4: customers with PV,153571.00,203013.29,252033.37,300321.24,347894.86,394287.68,439052.93,481250.01,521000.28,556921.67,588765.22,616614.18,641211.09,664137.39,685825.33,706424.30,726074.75,744858.18,762838.18,780119.83,796796.04,812951.94,828667.84,844262.18,859888.81,875557.29,891277.13,907058.59,922911.80,938847.32,954874.42,971001.95,987239.33,1003595.69,1020078.57,1036695.05
5: customers with PV,153571.00,168438.19,185949.54,205471.05,226461.77,248674.13,271965.07,296072.92,320887.47,346621.45,373309.77,401230.48,430267.29,459958.04,490117.24,520330.34,550147.19,578676.25,605925.72,631846.55,656478.85,679812.35,702070.41,723784.84,745152.88,766272.16,787090.79,807586.43,827775.93,847660.65,867247.32,886597.29,905752.37,924693.35,943367.61,962100.45
6: customers with PV,153571.00,203013.29,252033.37,300369.38,348166.56,394988.04,440369.94,483339.25,523928.77,560497.11,592851.87,621068.09,646085.49,669528.29,691658.98,712623.02,732578.94,751594.96,769740.97,787126.79,803850.93,820015.10,836015.50,852022.13,868042.78,884085.17,900158.71,916273.67,932440.35,948674.80,964988.81,981390.60,997889.11,1014493.20,1031206.18,1048040.76
7: customers with PV,153571.00,168438.19,185949.54,205471.05,226461.77,248674.13,271965.07,296072.92,320887.47,346621.45,373309.77,401230.48,430267.29,459958.04,490117.24,520330.34,550147.19,578676.25,605925.72,631846.55,656478.85,679812.35,702070.41,723784.84,745152.88,766272.16,787090.79,807586.43,827775.93,847660.65,867247.32,886597.29,905752.37,924693.35,943367.61,962099.56
8: customers with PV,153571.00,203013.29,252033.37,300369.38,348166.56,394988.04,440369.94,483339.25,523928.77,560497.11,592851.87,621068.09,646085.49,669528.29,691658.98,712623.02,732578.94,751594.96,769740.97,787126.79,803850.93,820015.10,836015.50,852022.13,868042.78,884085.17,900158.71,916273.67,932440.35,948674.80,964988.81,981390.60,997889.11,1014493.20,1031206.18,1048039.78
9: customers with PV,153571.00,202217.39,260558.27,322938.27,385363.53,445174.27,499837.90,544794.19,580583.66,610921.29,638507.75,663868.77,687210.85,708631.57,728299.07,747253.04,765840.57,784106.24,802075.93,819753.05,837158.50,854419.50,871708.62,889023.73,906444.09,923989.58,941629.30,959333.60,977105.02,994946.54,1012862.07,1030901.81,1049102.66,1067455.88,1085921.60,1104500.54
10: customers with PV,153571.00,357666.72,505513.39,587579.71,635469.70,669577.68,695076.27,717114.72,737399.74,756314.86,774053.52,791117.55,807826.11,824244.18,840413.51,856374.82,872162.52,887767.48,903192.68,918475.70,933689.03,948889.46,964098.22,979335.26,994618.85,1009966.29,1025393.73,1040917.37,1056552.71,1072314.05,1088214.39,1104266.42,1120483.00,1136876.38,1153457.69,1170237.80
11: customers with PV,153571.00,202217.39,260558.27,322938.27,385363.53,445174.27,499837.90,544794.19,580583.66,610921.29,638507.75,663868.77,687210.85,708631.57,728299.07,747253.04,765840.57,784106.24,802075.93,819753.05,837158.50,854419.50,871708.62,889023.73,906444.09,923989.58,941629.30,959333.60,977105.02,994946.54,1012862.07,1030901.81,1049102.66,1067455.88,1085921.60,1104495.43
12: customers with PV,153571.00,357666.72,505513.39,587579.71,635469.70,669577.68,695076.27,717114.72,737399.74,756314.86,774053.52,791117.55,807826.11,824244.18,840413.51,856374.82,872162.52,887767.48,903192.68,918475.70,933689.03,948889.46,964098.22,979335.26,994618.85,1009966.29,1025393.73,1040917.37,1056552.71,1072314.05,1088214.39,1104266.42,1120483.00,1136876.38,1153457.69,1170232.38
